Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-18,-1.1,3.5,1.957
2003-07-31,2003-09-18,-2.6,-2.0,-1.567
2003-08-31,2003-10-20,-7.2,1.25,0.317
2003-09-30,2003-11-18,0.27,0.0,-0.238
2003-10-31,2003-12-18,2.297,2.0,1.64
2003-11-30,2004-01-19,5.6,3.0,2.675
2003-12-31,2004-02-18,0.14,3.0,3.417
2004-01-31,2004-03-18,5.47,1.5,0.833
2004-02-29,2004-04-20,-7.6,2.4,3.075
2004-03-31,2004-05-19,6.2,-1.5,-1.271
2004-04-30,2004-06-17,20.4,-3.0,-2.114
2004-05-31,2004-07-19,1.3,0.0,-0.7
2004-06-30,2004-08-18,0.815,1.5,0.957
2004-07-31,2004-09-16,3.7,1.5,1.957
2004-08-31,2004-10-18,0.897,1.5,2.471
2004-09-30,2004-11-18,7.4,1.5,1.671
2004-10-31,2004-12-16,2.24,3.6,3.157
2004-11-30,2005-01-19,7.2,2.0,2.214
2004-12-31,2005-02-17,3.88,3.0,1.657
2005-01-31,2005-03-17,1.84,2.0,1.7
2005-02-28,2005-04-18,1.8,1.75,1.317
2005-03-31,2005-05-18,1.94,1.5,0.863
2005-04-30,2005-06-16,0.23,-1.0,-0.314
2005-05-31,2005-07-18,1.7,1.0,0.667
2005-06-30,2005-08-18,-2.08,2.05,1.983
2005-07-31,2005-09-19,3.3,2.25,2.125
2005-08-31,2005-10-18,-2.7,3.0,3.025
2005-09-30,2005-11-17,4.9,2.0,2.014
2005-10-31,2005-12-19,3.8,3.75,2.483
2005-11-30,2006-01-19,5.447,3.0,2.617
2005-12-31,2006-02-16,-4.16,4.5,4.313
2006-01-31,2006-03-20,3.029,3.0,3.071
2006-02-28,2006-04-19,2.1,2.0,2.0
2006-03-31,2006-05-17,3.325,3.0,2.786
2006-04-30,2006-06-19,3.895,3.0,3.093
2006-05-31,2006-07-17,5.721,1.5,1.267
2006-06-30,2006-08-17,0.34,3.25,3.088
2006-07-31,2006-09-18,3.14,1.75,2.125
2006-08-31,2006-10-19,0.335,3.0,2.511
2006-09-30,2006-11-16,-3.077,0.45,0.331
2006-10-31,2006-12-18,-5.001,1.0,1.444
2006-11-30,2007-01-18,10.998,-2.0,-2.033
2006-12-31,2007-02-19,-3.26,3.0,3.244
2007-01-31,2007-03-19,-3.764,0.5,-0.21
2007-02-28,2007-04-18,4.835,-1.5,-1.1
2007-03-31,2007-05-16,4.656,4.2,3.883
2007-04-30,2007-06-18,1.543,3.25,3.063
2007-05-31,2007-07-19,-3.111,2.0,2.367
2007-06-30,2007-08-16,-4.521,1.25,0.875
2007-07-31,2007-09-17,1.502,-1.5,-1.571
2007-08-31,2007-10-18,-3.83,2.25,1.9
2007-09-30,2007-11-19,-5.211,1.15,0.717
2007-10-31,2007-12-17,-24.3,-1.0,-0.643
2007-11-30,2008-01-17,-4.84,1.5,0.643
2007-12-31,2008-02-20,1.241,1.5,0.338
2008-01-31,2008-03-20,0.916,1.9,1.35
2008-02-29,2008-04-21,3.8,1.5,1.75
2008-03-31,2008-05-20,5.296,2.2,2.171
2008-04-30,2008-06-17,9.751,4.0,3.786
2008-05-31,2008-07-17,10.717,3.5,3.625
2008-06-30,2008-08-18,7.247,5.0,5.257
2008-07-31,2008-09-17,-5.594,5.5,4.971
2008-08-31,2008-10-20,-0.73,1.0,-0.2
2008-09-30,2008-11-19,-0.267,-1.35,-1.783
2008-10-31,2008-12-18,2.85,-1.0,-1.0
2008-11-30,2009-01-19,-4.3,1.25,1.5
2008-12-31,2009-02-16,-2.835,-1.4,-1.683
2009-01-31,2009-03-19,10.428,-2.0,-0.75
2009-02-28,2009-04-20,6.107,1.0,1.7
2009-03-31,2009-05-21,6.849,4.0,4.0
2009-04-30,2009-06-22,9.048,5.5,5.88
2009-05-31,2009-07-20,18.893,7.0,7.5
2009-06-30,2009-08-18,10.511,2.0,3.943
2009-07-31,2009-09-21,0.351,9.5,9.0
2009-08-31,2009-10-19,5.082,2.5,2.625
2009-09-30,2009-11-19,13.59,3.0,3.84
2009-10-31,2009-12-17,5.814,6.0,6.286
2009-11-30,2010-01-18,10.538,5.25,5.0
2009-12-31,2010-02-18,11.231,6.5,6.0
2010-01-31,2010-03-18,11.83,8.0,7.643
2010-02-28,2010-04-19,6.72,9.0,8.925
2010-03-31,2010-05-18,-0.616,5.0,5.1
2010-04-30,2010-06-18,12.36,2.5,3.0
2010-05-31,2010-07-19,23.156,6.5,5.833
2010-06-30,2010-08-17,5.389,10.0,10.56
2010-07-31,2010-09-20,5.48,8.0,8.25
2010-08-31,2010-10-18,11.09,6.0,5.925
2010-09-30,2010-11-18,12.253,7.0,7.66
2010-10-31,2010-12-16,9.507,10.0,9.0
2010-11-30,2011-01-17,8.005,9.0,8.7
2010-12-31,2011-02-16,9.626,9.0,8.38
2011-01-31,2011-03-17,13.29,6.0,6.8
2011-02-28,2011-04-18,2.502,10.0,9.35
2011-03-31,2011-05-17,6.339,5.0,6.2
2011-04-30,2011-06-16,8.22,8.0,6.783
2011-05-31,2011-07-18,15.4,,
2011-06-30,2011-08-17,-3.46,10.0,12.75
2011-07-31,2011-09-16,11.78,2.0,0.429
2011-08-31,2011-10-17,7.92,10.0,9.333
2011-09-30,2011-11-17,7.35,4.0,4.0
2011-10-31,2011-12-16,2.03,7.25,6.875
2011-11-30,2012-01-17,14.99,,
2011-12-31,2012-02-16,7.38,10.0,8.333
2012-01-31,2012-03-16,-4.19,9.0,8.25
2012-02-29,2012-04-16,12.49,4.0,4.0
2012-03-31,2012-05-17,-2.08,8.0,7.6
2012-04-30,2012-06-18,10.2,5.0,4.5
2012-05-31,2012-07-16,26.11,7.0,8.0
2012-06-30,2012-08-16,-7.89,10.0,10.5
2012-07-31,2012-09-17,6.67,,
2012-08-31,2012-10-16,6.9,8.25,8.375
2012-09-30,2012-11-16,13.9,,
2012-10-31,2012-12-17,13.26,10.0,8.333
2012-11-30,2013-01-17,5.62,10.0,8.333
2012-12-31,2013-02-19,-1.92,6.75,6.625
2013-01-31,2013-03-18,13.34,,
2013-02-28,2013-04-16,-6.31,,
2013-03-31,2013-05-16,1.19,5.0,4.75
2013-04-30,2013-06-17,14.91,3.0,3.25
2013-05-31,2013-07-17,6.74,,
2013-06-30,2013-08-16,-15.41,7.25,5.625
2013-07-31,2013-09-16,6.09,8.0,7.667
2013-08-31,2013-10-17,2.07,,
2013-09-30,2013-11-18,8.36,,
2013-10-31,2013-12-16,4.41,,
2013-11-30,2014-01-16,8.66,,
2013-12-31,2014-02-18,-4.28,,
2014-01-31,2014-03-17,1.09,,
2014-02-28,2014-04-16,6.08,3.0,3.667
2014-03-31,2014-05-16,-1.23,7.0,6.333
2014-04-30,2014-06-16,10.13,,
2014-05-31,2014-07-17,21.43,5.0,5.333
2014-06-30,2014-08-18,-1.07,5.0,3.333
2014-07-31,2014-09-18,5.3,,
2014-08-31,2014-10-16,10.28,7.0,6.3
2014-09-30,2014-11-17,4.37,7.0,4.5
2014-10-31,2014-12-16,9.53,4.0,3.5
2014-11-30,2015-01-19,4.29,,
2014-12-31,2015-02-17,-13.55,,
2015-01-31,2015-03-16,5.73,-2.0,-3.833
2015-02-28,2015-04-17,9.27,,
2015-03-31,2015-05-15,22.5,,
2015-04-30,2015-06-16,12.94,5.0,11.0
2015-05-31,2015-07-16,-5.45,,
2015-06-30,2015-08-17,8.51,-6.0,-5.0
2015-07-31,2015-09-16,-10.12,,
2015-08-31,2015-10-16,3.11,,
2015-09-30,2015-11-16,3.35,,
2015-10-31,2015-12-16,22.08,,
2015-11-30,2016-01-19,2.58,,
2015-12-31,2016-02-17,-1.41,,
2016-01-31,2016-03-16,13.51,,
2016-02-29,2016-04-18,15.94,,
2016-03-31,2016-05-18,17.17,,
2016-04-30,2016-06-16,15.52,,
2016-05-31,2016-07-18,14.73,,
2016-06-30,2016-08-18,9.02,,
2016-07-31,2016-09-16,5.23,,
2016-08-31,2016-10-17,12.74,,
2016-09-30,2016-11-17,11.77,,
2016-10-31,2016-12-16,15.75,,
2016-11-30,2017-01-19,7.24,,
2016-12-31,2017-02-17,10.23,,
2017-01-31,2017-03-16,6.2,,
2017-02-28,2017-04-18,38.84,,
2017-03-31,2017-05-18,15.13,,
2017-04-30,2017-06-16,10.6,,
2017-05-31,2017-07-17,29.46,,
2017-06-30,2017-08-16,-0.92,,
2017-07-31,2017-09-18,23.95,,
2017-08-31,2017-10-16,9.85,,
2017-09-30,2017-11-16,16.81,,
2017-10-31,2017-12-18,20.81,,
2017-11-30,2018-01-19,19.56,,
2017-12-31,2018-02-16,-1.97,,
2018-01-31,2018-03-16,5.68,,
2018-02-28,2018-04-17,3.96,,
2018-03-31,2018-05-17,6.15,,
2018-04-30,2018-06-15,9.13,,
2018-05-31,2018-07-16,2.18,,
2018-06-30,2018-08-17,11.55,,
2018-07-31,2018-09-17,12.65,,
2018-08-31,2018-10-16,2.82,,
2018-09-30,2018-11-16,7.7,,
2018-10-31,2018-12-17,3.98,,
2018-11-30,2019-01-18,9.45,,
2018-12-31,2019-02-15,-18.96,,
2019-01-31,2019-03-18,28.4,,
2019-02-28,2019-04-16,12.05,,
2019-03-31,2019-05-16,-1.49,,
2019-04-30,2019-06-17,-12.8,,
2019-05-31,2019-07-16,10.195,,
2019-06-30,2019-08-16,-3.98,,
2019-07-31,2019-09-16,-1.17,,
2019-08-31,2019-10-16,4.99,,
2019-09-30,2019-11-15,4.76,,
2019-10-31,2019-12-16,11.32,,
2019-11-30,2020-01-17,-1.75,,
2019-12-31,2020-02-17,-9.57,,
2020-01-31,2020-03-17,17.01,,
2020-02-29,2020-04-29,20.61,,
2020-03-31,2020-05-15,-9.78,,
2020-04-30,2020-06-16,49.04,,
2020-05-31,2020-07-16,22.41,,
2020-06-30,2020-08-17,-13.521,,
2020-07-31,2020-09-16,-8.52,,
2020-08-31,2020-10-16,15.51,,
2020-09-30,2020-11-17,4.463,,
2020-10-31,2020-12-16,6.922,,
2020-11-30,2021-01-18,11.783,,
2020-12-31,2021-02-16,5.081,,
2021-01-31,2021-03-16,1.269,,
2021-02-28,2021-04-16,8.518,,
2021-03-31,2021-05-17,3.248,,
2021-04-30,2021-06-17,9.954,,
2021-05-31,2021-07-16,20.786,,
2021-06-30,2021-08-17,19.7,,
2021-07-31,2021-09-16,14.187,,
2021-08-31,2021-10-18,26.301,,
2021-09-30,2021-11-18,20.022,,
2021-10-31,2021-12-17,23.923,,
2021-11-30,2022-01-17,30.147,,
2021-12-31,2022-02-17,37.555,,
2022-01-31,2022-03-18,13.492,,
2022-02-28,2022-04-19,7.436,,
2022-03-31,2022-05-17,46.938,,
2022-04-30,2022-06-17,22.227,,
2022-05-31,2022-07-15,2.348,,
2022-06-30,2022-08-16,-17.539,,
2022-07-31,2022-09-16,14.83,,
2022-08-31,2022-10-18,22.014,,
2022-09-30,2022-11-18,-22.267,,
2022-10-31,2022-12-16,8.456,,
2022-11-30,2023-01-17,12.763,,
2022-12-31,2023-02-17,21.22,,
2023-01-31,2023-03-17,4.214,,
2023-02-28,2023-04-17,4.624,,
2023-03-31,2023-05-17,-19.073,,
2023-04-30,2023-06-16,13.52,,
2023-05-31,2023-07-17,11.16,,
2023-06-30,2023-08-17,12.56,,
2023-07-31,2023-09-15,11.62,,
2023-08-31,2023-10-17,-8.474,,
2023-09-30,2023-11-17,-15.09,,
2023-10-31,2023-12-15,-15.75,,
2023-11-30,2024-01-17,11.429,,
2023-12-31,2024-02-16,10.44,,
2024-01-31,2024-03-15,8.88,,
2024-02-29,2024-04-17,-8.78,,
2024-03-31,2024-05-17,14.37,,
2024-04-30,2024-06-17,41.16,,
2024-05-31,2024-07-17,20.893,,
2024-06-30,2024-08-16,5.172,,
2024-07-31,2024-09-18,10.979,,
2024-08-31,2024-10-17,9.97,,
2024-09-30,2024-11-18,29.3,,
2024-10-31,2024-12-17,21.55,,
2024-11-30,2025-01-17,16.402,,
2024-12-31,2025-02-17,14.37,,
2025-01-31,2025-03-17,7.908,,
2025-02-28,2025-04-17,-6.457,,
2025-03-31,2025-05-16,-4.229,,
2025-04-30,2025-06-17,,,
2025-05-31,2025-07-17,,,
