Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-12-31,2003-12-31,1.64,,
2004-12-31,2004-12-31,2.26,,
2005-12-31,2005-12-31,2.53,,
2006-12-31,2006-12-31,2.41,,
2007-12-31,2007-12-31,2.37,,
2008-12-31,2008-12-31,0.47,,
2009-12-31,2009-12-31,-2.78,,
2010-12-31,2010-12-31,-3.9,,
2011-12-31,2011-12-31,-2.7,,
2012-12-31,2012-12-31,-1.82,,
2013-12-31,2013-12-31,-0.99,,
2014-12-31,2014-12-31,0.45,,
2015-12-31,2015-12-31,0.59,,
2016-12-31,2016-12-31,0.13,,
2017-12-31,2017-12-31,0.09,,
2018-12-31,2018-12-31,0.46,,
2019-12-31,2019-12-31,0.1,,
2020-12-31,2020-12-31,-10.45,,
2021-12-31,2021-12-31,-3.55,,
2022-12-31,2022-12-31,-0.25,,
2023-12-31,2023-12-31,-0.2,,
2024-12-31,2024-12-31,-1.72,,
