Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,34.4,,
2003-09-30,2003-09-30,35.2,,
2003-12-31,2003-12-31,35.9,,
2004-03-31,2004-03-31,34.9,,
2004-06-30,2004-06-30,36.8,,
2004-09-30,2004-09-30,37.1,,
2004-12-31,2004-12-31,36.8,,
2005-03-31,2005-03-31,37.0,,
2005-06-30,2005-06-30,36.6,,
2005-09-30,2005-09-30,36.5,,
2005-12-31,2005-12-31,37.7,,
2006-03-31,2006-03-31,39.1,,
2006-06-30,2006-06-30,40.6,,
2006-09-30,2006-09-30,41.5,,
2006-12-31,2006-12-31,41.2,,
2007-03-31,2007-03-31,41.6,,
2007-06-30,2007-06-30,43.6,,
2007-09-30,2007-09-30,44.8,,
2007-12-31,2007-12-31,45.4,,
2008-03-31,2008-03-31,45.7,,
2008-06-30,2008-06-30,44.3,,
2008-09-30,2008-09-30,43.9,,
2008-12-31,2008-12-31,43.6,,
2009-03-31,2009-03-31,39.6,,
2009-06-30,2009-06-30,39.2,,
2009-09-30,2009-09-30,40.6,,
2009-12-31,2009-12-31,41.0,,
2010-03-31,2010-03-31,41.9,,
2010-06-30,2010-06-30,43.9,,
2010-09-30,2010-09-30,41.6,,
2010-12-31,2010-12-31,40.8,,
2011-03-31,2011-03-31,41.6,,
2011-06-30,2011-06-30,42.8,,
2011-09-30,2011-09-30,42.3,,
2011-12-31,2011-12-31,42.2,,
2012-03-31,2012-03-31,42.9,,
2012-06-30,2012-06-30,43.2,,
2012-09-30,2012-09-30,42.2,,
2012-12-31,2012-12-31,42.1,,
2013-03-31,2013-03-31,42.4,,
2013-06-30,2013-06-30,42.5,,
2013-09-30,2013-09-30,43.4,,
2013-12-31,2013-12-31,43.1,,
2014-03-31,2014-03-31,43.1,,
2014-06-30,2014-06-30,42.5,,
2014-09-30,2014-09-30,42.6,,
2014-12-31,2014-12-31,42.7,,
2015-03-31,2015-03-31,42.7,,
2015-06-30,2015-06-30,43.3,,
2015-12-31,2015-12-31,46.7,,
2016-03-31,2016-03-31,47.1,,
2016-06-30,2016-06-30,42.8,,
2016-09-30,2016-09-30,44.3,,
2016-12-31,2016-12-31,44.2,,
2017-03-31,2017-03-31,45.9,,
2017-06-30,2017-06-30,46.7,,
2017-09-30,2017-09-30,48.7,,
2017-12-31,2017-12-31,48.3,,
2018-03-31,2018-03-31,48.4,,
2018-06-30,2018-06-30,53.9,,
2018-09-30,2018-09-30,53.9,,
2018-12-31,2018-12-31,51.9,,
2019-03-31,2019-03-31,51.4,,
2019-06-30,2019-06-30,51.3,,
2019-09-30,2019-09-30,50.7,,
2019-12-31,2019-12-31,50.0,,
2020-03-31,2020-03-31,50.5,,
2020-06-30,2020-06-30,47.3,,
2020-09-30,2020-09-30,49.1,,
2020-12-31,2020-12-31,50.3,,
2021-03-31,2021-03-31,52.0,,
2021-06-30,2021-06-30,45.3,,
2021-09-30,2021-09-30,47.5,,
2021-12-31,2021-12-31,49.7,,
2022-03-31,2022-03-31,54.0,,
2022-06-30,2022-06-30,60.0,,
2022-12-31,2022-12-31,62.8,,
2023-03-31,2023-03-31,59.5,,
2023-06-30,2023-06-30,59.5,,
2023-09-30,2023-09-30,62.5,,
2023-12-31,2023-12-31,63.5,,
2024-03-31,2024-03-31,60.9,,
2024-06-30,2024-06-30,59.5,,
2024-09-30,2024-09-30,58.4,,
2024-12-31,2024-12-31,55.9,,
