Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-09,210.4,200.0,200.106
2003-07-31,2003-08-11,223.5,208.5,209.286
2003-08-31,2003-09-09,233.9,211.25,213.688
2003-09-30,2003-10-08,234.6,225.0,223.619
2003-10-31,2003-11-10,237.2,230.0,227.944
2003-11-30,2003-12-08,213.0,230.0,229.767
2003-12-31,2004-01-09,217.6,220.0,220.5
2004-01-31,2004-02-09,195.5,215.0,214.721
2004-02-29,2004-03-08,214.1,213.5,212.745
2004-03-31,2004-04-08,247.0,217.0,216.8
2004-04-30,2004-05-10,241.6,230.0,228.83
2004-05-31,2004-06-08,238.8,230.0,231.776
2004-06-30,2004-07-09,239.3,235.0,234.31
2004-07-31,2004-08-10,218.7,232.0,232.49
2004-08-31,2004-09-09,241.5,225.0,225.714
2004-09-30,2004-10-08,231.0,230.0,231.111
2004-10-31,2004-11-08,225.0,227.0,227.043
2004-11-30,2004-12-08,238.2,220.0,223.535
2004-12-31,2005-01-11,234.4,230.0,229.152
2005-01-31,2005-02-08,203.7,229.0,226.7
2005-02-28,2005-03-08,214.9,225.0,222.55
2005-03-31,2005-04-08,218.5,220.0,221.0
2005-04-30,2005-05-09,230.4,225.0,224.64
2005-05-31,2005-06-08,218.8,225.85,227.259
2005-06-30,2005-07-11,237.2,222.5,222.29
2005-07-31,2005-08-09,242.3,226.0,226.632
2005-08-31,2005-09-09,201.0,230.0,231.686
2005-09-30,2005-10-11,230.5,220.0,219.155
2005-10-31,2005-11-08,206.7,225.0,223.238
2005-11-30,2005-12-08,222.1,215.0,216.74
2005-12-31,2006-01-10,227.7,220.0,220.4
2006-01-31,2006-02-08,247.9,225.0,226.278
2006-02-28,2006-03-08,240.9,229.0,227.755
2006-03-31,2006-04-10,252.3,230.0,230.176
2006-04-30,2006-05-08,218.1,230.0,232.647
2006-05-31,2006-06-08,216.8,221.0,220.961
2006-06-30,2006-07-11,232.2,220.0,219.863
2006-07-31,2006-08-09,236.5,225.0,227.84
2006-08-31,2006-09-11,213.7,229.0,228.306
2006-09-30,2006-10-10,211.3,222.0,221.605
2006-10-31,2006-11-08,223.2,217.0,215.683
2006-11-30,2006-12-08,225.0,220.0,218.955
2006-12-31,2007-01-09,211.5,226.0,226.15
2007-01-31,2007-02-08,249.3,218.0,216.904
2007-02-28,2007-03-08,196.2,220.0,218.53
2007-03-31,2007-04-11,210.9,215.0,212.696
2007-04-30,2007-05-08,211.9,215.0,214.643
2007-05-31,2007-06-08,229.7,215.0,214.643
2007-06-30,2007-07-10,225.5,219.0,218.661
2007-07-31,2007-08-09,215.6,223.5,223.955
2007-08-31,2007-09-11,226.5,220.0,219.696
2007-09-30,2007-10-09,278.2,220.0,220.171
2007-10-31,2007-11-08,219.5,228.0,226.043
