Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,6.5,,
2003-07-31,2003-07-31,7.923,,
2003-08-31,2003-08-31,6.544,,
2003-09-30,2003-09-30,-2.428,,
2003-10-31,2003-10-31,8.265,,
2003-11-30,2003-11-30,-14.603,,
2003-12-31,2003-12-31,-0.217,,
2004-01-31,2004-01-31,-10.584,,
2004-02-29,2004-02-29,12.214,,
2004-03-31,2004-03-31,12.589,,
2004-04-30,2004-04-30,-0.686,,
2004-05-31,2004-05-31,-3.795,,
2004-06-30,2004-06-30,0.177,,
2004-07-31,2004-07-31,-4.629,,
2004-08-31,2004-08-31,19.929,,
2004-09-30,2004-09-30,-10.461,,
2004-10-31,2004-10-31,0.037,,
2004-11-30,2004-11-30,2.977,,
2004-12-31,2004-12-31,-7.215,,
2005-01-31,2005-01-31,-19.481,,
2005-02-28,2005-02-28,14.658,,
2005-03-31,2005-03-31,0.752,,
2005-04-30,2005-04-30,18.955,,
2005-05-31,2005-05-31,-11.272,,
2005-06-30,2005-06-30,5.875,,
2005-07-31,2005-07-31,5.156,,
2005-08-31,2005-08-31,-16.041,,
2005-09-30,2005-09-30,10.991,,
2005-10-31,2005-10-31,-5.929,,
2005-11-30,2005-11-30,7.666,,
2005-12-31,2005-12-31,-1.378,,
2006-01-31,2006-01-31,-4.499,,
2006-02-28,2006-02-28,6.54,,
2006-03-31,2006-03-31,4.903,,
2006-04-30,2006-04-30,-5.122,,
2006-05-31,2006-05-31,-5.753,,
2006-06-30,2006-06-30,9.266,,
2006-07-31,2006-07-31,-0.252,,
2006-08-31,2006-08-31,-12.684,,
2006-09-30,2006-09-30,-3.068,,
2006-10-31,2006-10-31,13.055,,
2006-11-30,2006-11-30,1.804,,
2006-12-31,2006-12-31,-10.719,,
2007-01-31,2007-01-31,15.136,,
2007-02-28,2007-02-28,-19.353,,
2007-03-31,2007-03-31,11.781,,
2007-04-30,2007-04-30,2.44,,
2007-05-31,2007-05-31,4.7,,
2007-06-30,2007-06-30,-3.303,,
2007-07-31,2007-07-31,-2.464,,
2007-08-31,2007-08-31,3.724,,
2007-09-30,2007-09-30,24.627,,
2007-10-31,2007-10-31,-19.161,,
2007-11-30,2007-11-30,0.02,,
2007-12-31,2007-12-31,-24.858,,
2008-01-31,2008-01-31,15.556,,
2008-02-29,2008-02-29,15.639,,
2008-03-31,2008-03-31,1.288,,
2008-04-30,2008-04-30,-5.922,,
2008-05-31,2008-05-31,2.566,,
2008-06-30,2008-06-30,-2.248,,
2008-07-31,2008-07-31,-13.006,,
2008-08-31,2008-08-31,12.51,,
2008-09-30,2008-09-30,4.695,,
2008-10-31,2008-10-31,-4.204,,
2008-11-30,2008-11-30,-22.836,,
2008-12-31,2008-12-31,-11.371,,
2009-01-31,2009-01-31,-11.97,,
2009-02-28,2009-02-28,-12.54,,
2009-03-31,2009-03-31,21.963,,
2009-04-30,2009-04-30,-20.8,,
2009-05-31,2009-05-31,14.382,,
2009-06-30,2009-06-30,11.632,,
2009-07-31,2009-07-31,-3.617,,
2009-08-31,2009-08-31,20.221,,
2009-09-30,2009-09-30,0.74,,
2009-10-31,2009-10-31,12.676,,
2009-11-30,2009-11-30,-7.507,,
2009-12-31,2009-12-31,-0.279,,
2010-01-31,2010-01-31,10.385,,
2010-02-28,2010-02-28,6.07,,
2010-03-31,2010-03-31,-3.199,,
2010-04-30,2010-04-30,5.451,,
2010-05-31,2010-05-31,-3.18,,
2010-06-30,2010-06-30,-4.623,,
2010-07-31,2010-07-31,2.614,,
2010-08-31,2010-08-31,-1.87,,
2010-09-30,2010-09-30,-2.991,,
2010-10-31,2010-10-31,-6.736,,
2010-11-30,2010-11-30,11.489,,
2010-12-31,2010-12-31,-14.055,,
2011-01-31,2011-01-31,1.999,,
2011-02-28,2011-02-28,5.454,,
2011-03-31,2011-03-31,3.144,,
2011-04-30,2011-04-30,1.524,,
2011-05-31,2011-05-31,2.511,,
2011-06-30,2011-06-30,1.941,,
2011-07-31,2011-07-31,6.918,,
2011-08-31,2011-08-31,-8.632,,
2011-09-30,2011-09-30,9.15,,
2011-10-31,2011-10-31,1.561,,
2011-11-30,2011-11-30,-12.937,,
2011-12-31,2011-12-31,8.134,,
2012-01-31,2012-01-31,1.419,,
2012-02-29,2012-02-29,1.967,,
2012-03-31,2012-03-31,3.303,,
2012-04-30,2012-04-30,18.42,,
2012-05-31,2012-05-31,-15.896,,
2012-06-30,2012-06-30,3.973,,
2012-07-31,2012-07-31,-4.07,,
2012-08-31,2012-08-31,9.069,,
2012-09-30,2012-09-30,-3.39,,
2012-10-31,2012-10-31,-8.014,,
2012-11-30,2012-11-30,-3.176,,
2012-12-31,2012-12-31,0.315,,
2013-01-31,2013-01-31,-17.781,,
2013-02-28,2013-02-28,12.39,,
2013-03-31,2013-03-31,-1.53,,
2013-04-30,2013-04-30,-1.472,,
2013-05-31,2013-05-31,8.83,,
2013-06-30,2013-06-30,-1.806,,
2013-07-31,2013-07-31,2.959,,
2013-08-31,2013-08-31,-4.894,,
2013-09-30,2013-09-30,3.83,,
2013-10-31,2013-10-31,2.63,,
2013-11-30,2013-11-30,-3.053,,
2013-12-31,2013-12-31,-4.292,,
2014-01-31,2014-01-31,-0.178,,
2014-02-28,2014-02-28,3.546,,
2014-03-31,2014-03-31,-15.129,,
2014-04-30,2014-04-30,21.859,,
2014-05-31,2014-05-31,-1.343,,
2014-06-30,2014-06-30,-0.329,,
2014-07-31,2014-07-31,3.885,,
2014-08-31,2014-08-31,-3.318,,
2014-09-30,2014-09-30,-2.116,,
2014-10-31,2014-10-31,-6.251,,
2014-11-30,2014-11-30,7.595,,
2014-12-31,2014-12-31,-8.322,,
2015-01-31,2015-01-31,5.46,,
2015-02-28,2015-02-28,-19.868,,
2015-03-31,2015-03-31,29.224,,
2015-04-30,2015-04-30,-6.855,,
2015-05-31,2015-05-31,10.503,,
2015-06-30,2015-06-30,1.017,,
2015-07-31,2015-07-31,-5.177,,
2015-08-31,2015-08-31,12.572,,
2015-09-30,2015-09-30,4.951,,
2015-10-31,2015-10-31,-12.781,,
2015-11-30,2015-11-30,7.933,,
2015-12-31,2015-12-31,-19.485,,
2016-01-31,2016-01-31,2.612,,
2016-02-29,2016-02-29,24.613,,
2016-03-31,2016-03-31,-6.882,,
2016-04-30,2016-04-30,-7.353,,
2016-05-31,2016-05-31,-0.825,,
2016-06-30,2016-06-30,17.294,,
2016-07-31,2016-07-31,-10.788,,
2016-08-31,2016-08-31,-6.114,,
2016-09-30,2016-09-30,19.088,,
2016-10-31,2016-10-31,-10.554,,
2016-11-30,2016-11-30,-4.165,,
2016-12-31,2016-12-31,10.563,,
2017-01-31,2017-01-31,0.575,,
2017-02-28,2017-02-28,1.52,,
2017-03-31,2017-03-31,18.983,,
2017-04-30,2017-04-30,-15.25,,
2017-05-31,2017-05-31,-15.251,,
2017-06-30,2017-06-30,9.228,,
2017-07-31,2017-07-31,4.455,,
2017-08-31,2017-08-31,9.508,,
2017-09-30,2017-09-30,-2.787,,
2017-10-31,2017-10-31,9.508,,
2017-11-30,2017-11-30,1.833,,
2017-12-31,2017-12-31,13.157,,
2018-01-31,2018-01-31,0.573,,
2018-02-28,2018-02-28,5.682,,
2018-03-31,2018-03-31,-2.359,,
2018-04-30,2018-04-30,-4.275,,
2018-05-31,2018-05-31,-9.246,,
2018-06-30,2018-06-30,26.039,,
2018-07-31,2018-07-31,-17.656,,
2018-08-31,2018-08-31,-1.939,,
2018-09-30,2018-09-30,-3.628,,
2018-10-31,2018-10-31,11.226,,
2018-11-30,2018-11-30,5.555,,
2018-12-31,2018-12-31,-4.872,,
2019-01-31,2019-01-31,-5.53,,
2019-02-28,2019-02-28,-17.948,,
2019-03-31,2019-03-31,16.328,,
2019-04-30,2019-04-30,20.092,,
2019-05-31,2019-05-31,-15.385,,
2019-06-30,2019-06-30,24.495,,
2019-07-31,2019-07-31,-9.384,,
2019-08-31,2019-08-31,2.186,,
2019-09-30,2019-09-30,-1.908,,
2019-10-31,2019-10-31,-8.39,,
2019-11-30,2019-11-30,0.679,,
2019-12-31,2019-12-31,-3.422,,
2020-01-31,2020-01-31,10.273,,
2020-02-29,2020-02-29,-2.915,,
2020-03-31,2020-03-31,-7.069,,
2020-04-30,2020-04-30,-15.629,,
2020-05-31,2020-05-31,18.491,,
2020-06-30,2020-06-30,8.662,,
2020-07-31,2020-07-31,15.644,,
2020-08-31,2020-08-31,6.67,,
2020-09-30,2020-09-30,-20.059,,
2020-10-31,2020-10-31,9.664,,
2020-11-30,2020-11-30,13.924,,
2020-12-31,2020-12-31,-12.588,,
2021-01-31,2021-01-31,37.364,,
2021-02-28,2021-02-28,-15.379,,
2021-03-31,2021-03-31,23.646,,
2021-04-30,2021-04-30,-16.386,,
2021-05-31,2021-05-31,2.875,,
2021-06-30,2021-06-30,-1.979,,
2021-07-31,2021-07-31,-1.535,,
2021-08-31,2021-08-31,-4.781,,
2021-09-30,2021-09-30,-3.804,,
2021-10-31,2021-10-31,-5.428,,
2021-11-30,2021-11-30,27.969,,
2021-12-31,2021-12-31,-22.286,,
2022-01-31,2022-01-31,-2.299,,
2022-02-28,2022-02-28,7.22,,
2022-03-31,2022-03-31,-2.322,,
2022-04-30,2022-04-30,6.491,,
2022-05-31,2022-05-31,7.424,,
2022-06-30,2022-06-30,-2.719,,
2022-07-31,2022-07-31,2.108,,
2022-08-31,2022-08-31,-3.259,,
2022-09-30,2022-09-30,10.9,,
2022-10-31,2022-10-31,-11.339,,
2022-11-30,2022-11-30,-0.383,,
2022-12-31,2022-12-31,-5.474,,
2023-01-31,2023-01-31,-15.757,,
2023-02-28,2023-02-28,14.942,,
2023-03-31,2023-03-31,-11.367,,
2023-04-30,2023-04-30,22.426,,
2023-05-31,2023-05-31,-24.85,,
2023-06-30,2023-06-30,43.154,,
2023-07-31,2023-07-31,-9.925,,
2023-08-31,2023-08-31,-2.314,,
2023-09-30,2023-09-30,7.671,,
2023-10-31,2023-10-31,2.319,,
2023-11-30,2023-11-30,-22.586,,
2023-12-31,2023-12-31,18.176,,
2024-01-31,2024-01-31,-6.793,,
2024-02-29,2024-02-29,12.443,,
2024-03-31,2024-03-31,-6.781,,
2024-04-30,2024-04-30,-0.302,,
2024-05-31,2024-05-31,10.972,,
2024-06-30,2024-06-30,-9.946,,
2024-07-31,2024-07-31,14.137,,
2024-08-31,2024-08-31,-22.724,,
2024-09-30,2024-09-30,5.244,,
2024-10-31,2024-10-31,9.183,,
2024-11-30,2024-11-30,9.186,,
2024-12-31,2024-12-31,-13.353,,
2025-01-31,2025-01-31,0.021,,
2025-02-28,2025-02-28,-4.661,,
2025-03-31,2025-03-31,-3.267,,
2025-04-30,2025-04-30,30.065,,
