Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,183.262,,
2003-07-31,2003-07-31,199.451,,
2003-08-31,2003-08-31,212.67,,
2003-09-30,2003-09-30,206.84,,
2003-10-31,2003-10-31,226.281,,
2003-11-30,2003-11-30,189.041,,
2003-12-31,2003-12-31,187.561,,
2004-01-31,2004-01-31,163.398,,
2004-02-29,2004-02-29,184.115,,
2004-03-31,2004-03-31,211.146,,
2004-04-30,2004-04-30,218.586,,
2004-05-31,2004-05-31,209.431,,
2004-06-30,2004-06-30,210.041,,
2004-07-31,2004-07-31,190.183,,
2004-08-31,2004-08-31,232.086,,
2004-09-30,2004-09-30,204.363,,
2004-10-31,2004-10-31,207.83,,
2004-11-30,2004-11-30,215.807,,
2004-12-31,2004-12-31,198.815,,
2005-01-31,2005-01-31,156.355,,
2005-02-28,2005-02-28,180.727,,
2005-03-31,2005-03-31,182.659,,
2005-04-30,2005-04-30,219.388,,
2005-05-31,2005-05-31,191.854,,
2005-06-30,2005-06-30,204.874,,
2005-07-31,2005-07-31,220.61,,
2005-08-31,2005-08-31,180.275,,
2005-09-30,2005-09-30,202.953,,
2005-10-31,2005-10-31,183.496,,
2005-11-30,2005-11-30,199.716,,
2005-12-31,2005-12-31,197.229,,
2006-01-31,2006-01-31,191.672,,
2006-02-28,2006-02-28,203.995,,
2006-03-31,2006-03-31,214.696,,
2006-04-30,2006-04-30,200.326,,
2006-05-31,2006-05-31,188.39,,
2006-06-30,2006-06-30,209.17,,
2006-07-31,2006-07-31,210.721,,
2006-08-31,2006-08-31,180.585,,
2006-09-30,2006-09-30,173.189,,
2006-10-31,2006-10-31,198.68,,
2006-11-30,2006-11-30,202.059,,
2006-12-31,2006-12-31,178.189,,
2007-01-31,2007-01-31,203.645,,
2007-02-28,2007-02-28,157.601,,
2007-03-31,2007-03-31,180.486,,
2007-04-30,2007-04-30,193.964,,
2007-05-31,2007-05-31,204.916,,
2007-06-30,2007-06-30,196.705,,
2007-07-31,2007-07-31,187.111,,
2007-08-31,2007-08-31,196.18,,
2007-09-30,2007-09-30,252.846,,
2007-10-31,2007-10-31,200.796,,
2007-11-30,2007-11-30,200.101,,
2007-12-31,2007-12-31,143.306,,
2008-01-31,2008-01-31,182.657,,
2008-02-29,2008-02-29,215.563,,
2008-03-31,2008-03-31,218.092,,
2008-04-30,2008-04-30,199.789,,
2008-05-31,2008-05-31,204.115,,
2008-06-30,2008-06-30,198.811,,
2008-07-31,2008-07-31,167.906,,
2008-08-31,2008-08-31,192.783,,
2008-09-30,2008-09-30,203.305,,
2008-10-31,2008-10-31,196.727,,
2008-11-30,2008-11-30,147.474,,
2008-12-31,2008-12-31,130.098,,
2009-01-31,2009-01-31,112.618,,
2009-02-28,2009-02-28,96.807,,
2009-03-31,2009-03-31,122.085,,
2009-04-30,2009-04-30,95.831,,
2009-05-31,2009-05-31,110.437,,
2009-06-30,2009-06-30,125.478,,
2009-07-31,2009-07-31,120.552,,
2009-08-31,2009-08-31,147.623,,
2009-09-30,2009-09-30,148.806,,
2009-10-31,2009-10-31,165.353,,
2009-11-30,2009-11-30,151.075,,
2009-12-31,2009-12-31,152.546,,
2010-01-31,2010-01-31,166.566,,
2010-02-28,2010-02-28,178.592,,
2010-03-31,2010-03-31,171.662,,
2010-04-30,2010-04-30,182.047,,
2010-05-31,2010-05-31,173.412,,
2010-06-30,2010-06-30,164.853,,
2010-07-31,2010-07-31,172.83,,
2010-08-31,2010-08-31,169.226,,
2010-09-30,2010-09-30,164.1,,
2010-10-31,2010-10-31,151.249,,
2010-11-30,2010-11-30,171.242,,
2010-12-31,2010-12-31,145.621,,
2011-01-31,2011-01-31,150.256,,
2011-02-28,2011-02-28,161.21,,
2011-03-31,2011-03-31,165.903,,
2011-04-30,2011-04-30,170.162,,
2011-05-31,2011-05-31,173.926,,
2011-06-30,2011-06-30,176.859,,
2011-07-31,2011-07-31,188.122,,
2011-08-31,2011-08-31,170.726,,
2011-09-30,2011-09-30,188.685,,
2011-10-31,2011-10-31,192.751,,
2011-11-30,2011-11-30,165.619,,
2011-12-31,2011-12-31,180.318,,
2012-01-31,2012-01-31,182.752,,
2012-02-29,2012-02-29,187.347,,
2012-03-31,2012-03-31,193.732,,
2012-04-30,2012-04-30,231.196,,
2012-05-31,2012-05-31,190.744,,
2012-06-30,2012-06-30,199.22,,
2012-07-31,2012-07-31,190.097,,
2012-08-31,2012-08-31,210.113,,
2012-09-30,2012-09-30,202.509,,
2012-10-31,2012-10-31,184.815,,
2012-11-30,2012-11-30,178.308,,
2012-12-31,2012-12-31,179.284,,
2013-01-31,2013-01-31,146.068,,
2013-02-28,2013-02-28,166.074,,
2013-03-31,2013-03-31,163.304,,
2013-04-30,2013-04-30,162.125,,
2013-05-31,2013-05-31,177.609,,
2013-06-30,2013-06-30,174.265,,
2013-07-31,2013-07-31,179.162,,
2013-08-31,2013-08-31,169.968,,
2013-09-30,2013-09-30,176.48,,
2013-10-31,2013-10-31,181.693,,
2013-11-30,2013-11-30,176.324,,
2013-12-31,2013-12-31,167.929,,
2014-01-31,2014-01-31,169.052,,
2014-02-28,2014-02-28,174.918,,
2014-03-31,2014-03-31,146.853,,
2014-04-30,2014-04-30,182.584,,
2014-05-31,2014-05-31,179.927,,
2014-06-30,2014-06-30,179.238,,
2014-07-31,2014-07-31,183.139,,
2014-08-31,2014-08-31,176.063,,
2014-09-30,2014-09-30,172.121,,
2014-10-31,2014-10-31,161.135,,
2014-11-30,2014-11-30,175.183,,
2014-12-31,2014-12-31,160.126,,
2015-01-31,2015-01-31,174.01,,
2015-02-28,2015-02-28,133.798,,
2015-03-31,2015-03-31,179.543,,
2015-04-30,2015-04-30,168.792,,
2015-05-31,2015-05-31,185.096,,
2015-06-30,2015-06-30,187.219,,
2015-07-31,2015-07-31,177.748,,
2015-08-31,2015-08-31,201.998,,
2015-09-30,2015-09-30,210.449,,
2015-10-31,2015-10-31,181.684,,
2015-11-30,2015-11-30,198.543,,
2015-12-31,2015-12-31,158.366,,
2016-01-31,2016-01-31,153.716,,
2016-02-29,2016-02-29,190.967,,
2016-03-31,2016-03-31,180.318,,
2016-04-30,2016-04-30,176.294,,
2016-05-31,2016-05-31,176.124,,
2016-06-30,2016-06-30,201.939,,
2016-07-31,2016-07-31,182.997,,
2016-08-31,2016-08-31,171.416,,
2016-09-30,2016-09-30,198.511,,
2016-10-31,2016-10-31,175.866,,
2016-11-30,2016-11-30,167.765,,
2016-12-31,2016-12-31,185.197,,
2017-01-31,2017-01-31,189.133,,
2017-02-28,2017-02-28,191.415,,
2017-03-31,2017-03-31,228.94,,
2017-04-30,2017-04-30,196.993,,
2017-05-31,2017-05-31,181.495,,
2017-06-30,2017-06-30,192.151,,
2017-07-31,2017-07-31,212.079,,
2017-08-31,2017-08-31,209.974,,
2017-09-30,2017-09-30,199.664,,
2017-10-31,2017-10-31,202.58,,
2017-11-30,2017-11-30,230.719,,
2017-12-31,2017-12-31,196.306,,
2018-01-31,2018-01-31,200.341,,
2018-02-28,2018-02-28,212.556,,
2018-03-31,2018-03-31,204.387,,
2018-04-30,2018-04-30,195.504,,
2018-05-31,2018-05-31,179.121,,
2018-06-30,2018-06-30,224.076,,
2018-07-31,2018-07-31,188.97,,
2018-08-31,2018-08-31,184.543,,
2018-09-30,2018-09-30,180.111,,
2018-10-31,2018-10-31,195.624,,
2018-11-30,2018-11-30,205.685,,
2018-12-31,2018-12-31,195.293,,
2019-01-31,2019-01-31,187.189,,
2019-02-28,2019-02-28,149.855,,
2019-03-31,2019-03-31,179.051,,
2019-04-30,2019-04-30,219.365,,
2019-05-31,2019-05-31,186.52,,
2019-06-30,2019-06-30,231.322,,
2019-07-31,2019-07-31,205.982,,
2019-08-31,2019-08-31,211.367,,
2019-09-30,2019-09-30,210.83,,
2019-10-31,2019-10-31,194.495,,
2019-11-30,2019-11-30,190.965,,
2019-12-31,2019-12-31,188.007,,
2020-01-31,2020-01-31,185.77,,
2020-02-29,2020-02-29,196.16,,
2020-03-31,2020-03-31,176.1,,
2020-04-30,2020-04-30,153.612,,
2020-05-31,2020-05-31,178.779,,
2020-06-30,2020-06-30,198.943,,
2020-07-31,2020-07-31,230.453,,
2020-08-31,2020-08-31,249.196,,
2020-09-30,2020-09-30,199.977,,
2020-10-31,2020-10-31,207.904,,
2020-11-30,2020-11-30,239.37,,
2020-12-31,2020-12-31,219.304,,
2021-01-31,2021-01-31,260.541,,
2021-02-28,2021-02-28,233.157,,
2021-03-31,2021-03-31,290.954,,
2021-04-30,2021-04-30,243.68,,
2021-05-31,2021-05-31,252.101,,
2021-06-30,2021-06-30,253.173,,
2021-07-31,2021-07-31,245.247,,
2021-08-31,2021-08-31,230.429,,
2021-09-30,2021-09-30,223.008,,
2021-10-31,2021-10-31,213.635,,
2021-11-30,2021-11-30,281.573,,
2021-12-31,2021-12-31,223.794,,
2022-01-31,2022-01-31,203.407,,
2022-02-28,2022-02-28,224.526,,
2022-03-31,2022-03-31,222.357,,
2022-04-30,2022-04-30,245.537,,
2022-05-31,2022-05-31,261.758,,
2022-06-30,2022-06-30,255.735,,
2022-07-31,2022-07-31,254.051,,
2022-08-31,2022-08-31,244.177,,
2022-09-30,2022-09-30,272.62,,
2022-10-31,2022-10-31,239.543,,
2022-11-30,2022-11-30,236.951,,
2022-12-31,2022-12-31,230.812,,
2023-01-31,2023-01-31,188.017,,
2023-02-28,2023-02-28,225.395,,
2023-03-31,2023-03-31,193.74,,
2023-04-30,2023-04-30,240.736,,
2023-05-31,2023-05-31,179.11,,
2023-06-30,2023-06-30,264.066,,
2023-07-31,2023-07-31,236.867,,
2023-08-31,2023-08-31,231.96,,
2023-09-30,2023-09-30,250.527,,
2023-10-31,2023-10-31,254.525,,
2023-11-30,2023-11-30,193.367,,
2023-12-31,2023-12-31,236.052,,
2024-01-31,2024-01-31,208.015,,
2024-02-29,2024-02-29,237.364,,
2024-03-31,2024-03-31,221.026,,
2024-04-30,2024-04-30,221.993,,
2024-05-31,2024-05-31,247.989,,
2024-06-30,2024-06-30,221.991,,
2024-07-31,2024-07-31,262.368,,
2024-08-31,2024-08-31,199.374,,
2024-09-30,2024-09-30,210.951,,
2024-10-31,2024-10-31,225.165,,
2024-11-30,2024-11-30,247.8,,
2024-12-31,2024-12-31,214.775,,
2025-01-31,2025-01-31,219.744,,
2025-02-28,2025-02-28,208.7,,
2025-03-31,2025-03-31,202.668,,
2025-04-30,2025-04-30,259.788,,
