Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,27.791,,
2003-07-31,2003-07-31,28.23,,
2003-08-31,2003-08-31,26.664,,
2003-09-30,2003-09-30,27.966,,
2003-10-31,2003-10-31,27.647,,
2003-11-30,2003-11-30,28.181,,
2003-12-31,2003-12-31,28.211,,
2004-01-31,2004-01-31,27.107,,
2004-02-29,2004-02-29,28.821,,
2004-03-31,2004-03-31,29.369,,
2004-04-30,2004-04-30,29.612,,
2004-05-31,2004-05-31,31.783,,
2004-06-30,2004-06-30,30.498,,
2004-07-31,2004-07-31,31.664,,
2004-08-31,2004-08-31,30.942,,
2004-09-30,2004-09-30,31.391,,
2004-10-31,2004-10-31,30.966,,
2004-11-30,2004-11-30,30.233,,
2004-12-31,2004-12-31,30.889,,
2005-01-31,2005-01-31,31.719,,
2005-02-28,2005-02-28,31.549,,
2005-03-31,2005-03-31,31.579,,
2005-04-30,2005-04-30,31.663,,
2005-05-31,2005-05-31,32.48,,
2005-06-30,2005-06-30,32.481,,
2005-07-31,2005-07-31,32.156,,
2005-08-31,2005-08-31,32.307,,
2005-09-30,2005-09-30,32.711,,
2005-10-31,2005-10-31,32.747,,
2005-11-30,2005-11-30,33.036,,
2005-12-31,2005-12-31,33.414,,
2006-01-31,2006-01-31,33.559,,
2006-02-28,2006-02-28,32.098,,
2006-03-31,2006-03-31,32.807,,
2006-04-30,2006-04-30,33.579,,
2006-05-31,2006-05-31,33.73,,
2006-06-30,2006-06-30,34.027,,
2006-07-31,2006-07-31,34.184,,
2006-08-31,2006-08-31,34.637,,
2006-09-30,2006-09-30,33.398,,
2006-10-31,2006-10-31,33.704,,
2006-11-30,2006-11-30,34.198,,
2006-12-31,2006-12-31,34.96,,
2007-01-31,2007-01-31,34.982,,
2007-02-28,2007-02-28,34.926,,
2007-03-31,2007-03-31,35.999,,
2007-04-30,2007-04-30,35.089,,
2007-05-31,2007-05-31,34.524,,
2007-06-30,2007-06-30,34.779,,
2007-07-31,2007-07-31,35.433,,
2007-08-31,2007-08-31,34.315,,
