Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,56.3,,
2003-07-31,2003-07-31,56.8,,
2003-08-31,2003-08-31,56.3,,
2003-09-30,2003-09-30,57.9,,
2003-10-31,2003-10-31,54.5,,
2003-11-30,2003-11-30,53.8,,
2003-12-31,2003-12-31,51.8,,
2004-01-31,2004-01-31,63.5,,
2004-02-29,2004-02-29,67.9,,
2004-03-31,2004-03-31,70.9,,
2004-04-30,2004-04-30,75.7,,
2004-05-31,2004-05-31,77.6,,
2004-06-30,2004-06-30,67.3,,
2004-07-31,2004-07-31,67.8,,
2004-08-31,2004-08-31,75.3,,
2004-09-30,2004-09-30,75.5,,
2004-10-31,2004-10-31,69.4,,
2004-11-30,2004-11-30,66.2,,
2004-12-31,2004-12-31,62.0,,
2005-01-31,2005-01-31,69.8,,
2005-02-28,2005-02-28,64.0,,
2005-03-31,2005-03-31,66.8,,
2005-04-30,2005-04-30,65.3,,
2005-05-31,2005-05-31,63.0,,
2005-06-30,2005-06-30,61.1,,
2005-07-31,2005-07-31,61.7,,
2005-08-31,2005-08-31,70.8,,
2005-09-30,2005-09-30,73.4,,
2005-10-31,2005-10-31,73.3,,
2005-11-30,2005-11-30,65.5,,
2005-12-31,2005-12-31,62.4,,
2006-01-31,2006-01-31,70.8,,
2006-02-28,2006-02-28,70.1,,
2006-03-31,2006-03-31,66.9,,
2006-04-30,2006-04-30,72.0,,
2006-05-31,2006-05-31,70.3,,
2006-06-30,2006-06-30,72.4,,
2006-07-31,2006-07-31,67.6,,
2006-08-31,2006-08-31,68.6,,
2006-09-30,2006-09-30,60.7,,
2006-10-31,2006-10-31,61.8,,
2006-11-30,2006-11-30,55.2,,
2006-12-31,2006-12-31,60.8,,
2007-01-31,2007-01-31,62.2,,
2007-02-28,2007-02-28,63.9,,
2007-03-31,2007-03-31,67.7,,
2007-04-30,2007-04-30,64.5,,
2007-05-31,2007-05-31,68.8,,
2007-06-30,2007-06-30,62.9,,
2007-07-31,2007-07-31,62.3,,
2007-08-31,2007-08-31,66.9,,
2007-09-30,2007-09-30,54.9,,
2007-10-31,2007-10-31,53.9,,
2007-11-30,2007-11-30,52.1,,
2007-12-31,2007-12-31,60.1,,
2008-01-31,2008-01-31,67.1,,
2008-02-29,2008-02-29,74.3,,
2008-03-31,2008-03-31,68.7,,
2008-04-30,2008-04-30,80.7,,
2008-05-31,2008-05-31,82.9,,
2008-06-30,2008-06-30,84.1,,
2008-07-31,2008-07-31,80.9,,
2008-08-31,2008-08-31,72.7,,
2008-09-30,2008-09-30,74.6,,
