Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-07,67.4,49.55,49.78
2003-07-31,2003-08-07,47.3,55.0,56.02
2003-08-31,2003-09-08,51.1,52.3,52.95
2003-09-30,2003-10-07,59.4,54.0,53.85
2003-10-31,2003-11-07,56.5,60.0,59.2
2003-11-30,2003-12-08,58.7,56.5,56.65
2003-12-31,2004-01-07,58.5,58.0,57.48
2004-01-31,2004-02-05,53.8,58.5,58.28
2004-02-29,2004-03-04,59.6,55.0,55.25
2004-03-31,2004-04-06,64.0,61.0,60.64
2004-04-30,2004-05-06,57.1,59.5,59.65
2004-05-31,2004-06-04,64.7,59.0,59.35
2004-06-30,2004-07-07,66.0,62.25,62.43
2004-07-31,2004-08-05,51.0,64.0,61.08
2004-08-31,2004-09-07,64.6,55.0,55.26
2004-09-30,2004-10-06,66.0,63.5,64.09
2004-10-31,2004-11-04,56.5,63.0,63.59
2004-11-30,2004-12-06,58.7,58.0,57.78
2004-12-31,2005-01-07,54.6,56.15,56.7
2005-01-31,2005-02-04,50.0,55.0,54.54
2005-02-28,2005-03-04,63.4,54.0,53.77
2005-03-31,2005-04-06,63.7,64.0,62.92
2005-04-30,2005-05-05,58.3,57.0,57.99
2005-05-31,2005-06-06,62.0,60.0,59.77
2005-06-30,2005-07-07,63.3,61.8,61.51
2005-07-31,2005-08-05,51.5,52.5,54.24
2005-08-31,2005-09-08,54.1,57.5,57.27
2005-09-30,2005-10-06,67.3,57.0,56.69
2005-10-31,2005-11-04,64.8,58.0,59.04
2005-11-30,2005-12-06,65.8,61.0,61.85
2005-12-31,2006-01-05,48.3,62.7,62.34
2006-01-31,2006-02-06,54.1,53.5,53.2
2006-02-28,2006-03-06,59.5,59.0,58.65
2006-03-31,2006-04-06,67.2,62.0,61.91
2006-04-30,2006-05-04,55.7,59.0,59.67
2006-05-31,2006-06-06,75.0,58.0,54.98
2006-06-30,2006-07-06,62.2,65.0,64.41
2006-07-31,2006-08-04,60.1,53.0,53.46
2006-08-31,2006-09-07,55.7,61.4,60.91
2006-09-30,2006-10-05,59.9,60.0,59.74
2006-10-31,2006-11-06,59.5,57.0,56.67
2006-11-30,2006-12-06,52.8,59.95,58.94
2006-12-31,2007-01-05,49.4,49.5,49.43
2007-01-31,2007-02-05,53.8,51.75,51.75
2007-02-28,2007-03-05,60.5,57.25,56.81
2007-03-31,2007-04-05,67.3,62.4,62.74
2007-04-30,2007-05-04,60.9,57.5,58.59
2007-05-31,2007-06-06,62.7,65.0,64.82
2007-06-30,2007-07-05,67.4,61.75,62.03
2007-07-31,2007-08-03,54.6,57.0,58.79
2007-08-31,2007-09-06,58.5,56.0,56.28
2007-09-30,2007-10-04,56.0,60.0,59.94
2007-10-31,2007-11-06,57.1,55.0,55.18
2007-11-30,2007-12-06,58.7,55.0,54.76
2007-12-31,2008-01-04,45.9,52.0,52.32
2008-01-31,2008-02-06,56.2,47.0,47.49
2008-02-29,2008-03-06,62.0,56.0,56.56
2008-03-31,2008-04-04,59.0,62.5,62.0
2008-04-30,2008-05-06,57.6,54.0,54.25
2008-05-31,2008-06-05,62.5,59.0,58.54
2008-06-30,2008-07-04,69.6,62.25,61.91
2008-07-31,2008-08-06,65.5,61.0,60.53
2008-08-31,2008-09-05,51.5,61.75,61.11
2008-09-30,2008-10-06,61.0,51.0,52.2
2008-10-31,2008-11-06,52.2,55.0,55.38
2008-11-30,2008-12-04,40.2,50.0,50.17
2008-12-31,2009-01-08,39.1,37.5,37.3
2009-01-31,2009-02-05,36.1,40.0,39.31
2009-02-28,2009-03-05,45.2,37.75,37.31
2009-03-31,2009-04-06,43.2,47.0,46.21
2009-04-30,2009-05-06,53.7,40.75,41.38
2009-05-31,2009-06-04,48.4,54.0,53.8
2009-06-30,2009-07-07,58.2,50.25,50.49
2009-07-31,2009-08-07,51.8,54.0,53.82
2009-08-31,2009-09-04,55.7,54.5,54.5
2009-09-30,2009-10-06,61.7,56.2,56.53
2009-10-31,2009-11-05,61.2,58.0,59.06
2009-11-30,2009-12-04,55.9,60.0,59.25
2009-12-31,2010-01-07,48.4,52.0,52.7
2010-01-31,2010-02-04,50.8,53.0,52.13
2010-02-28,2010-03-04,51.9,56.0,56.18
2010-03-31,2010-04-07,57.8,55.0,55.13
2010-04-30,2010-05-06,58.7,55.5,55.62
2010-05-31,2010-06-04,62.7,60.5,60.69
2010-06-30,2010-07-07,58.9,63.5,63.08
2010-07-31,2010-08-06,54.0,55.5,55.25
2010-08-31,2010-09-08,65.9,55.5,55.6
2010-09-30,2010-10-06,70.3,62.0,62.23
2010-10-31,2010-11-04,56.7,65.0,65.69
2010-11-30,2010-12-06,57.5,56.35,57.14
2010-12-31,2011-01-06,50.0,54.0,54.24
2011-01-31,2011-02-04,41.4,53.15,53.24
2011-02-28,2011-03-04,69.3,51.4,51.27
2011-03-31,2011-04-06,73.2,65.0,64.13
2011-04-30,2011-05-05,57.7,65.2,65.78
2011-05-31,2011-06-06,69.1,60.0,59.07
2011-06-30,2011-07-07,68.2,67.5,65.9
2011-07-31,2011-08-05,45.4,62.0,62.55
2011-08-31,2011-09-07,57.6,52.2,52.8
