Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-11,49.0,-10.0,-4.61
2003-07-31,2003-08-08,-13.3,10.0,4.55
2003-08-31,2003-09-05,-19.0,5.0,7.69
2003-09-30,2003-10-10,46.3,13.5,10.98
2003-10-31,2003-11-07,65.4,10.0,9.61
2003-11-30,2003-12-05,54.1,15.0,16.49
2003-12-31,2004-01-09,53.1,25.0,26.29
2004-01-31,2004-02-06,14.9,20.0,21.84
2004-02-29,2004-03-12,-21.2,18.5,20.1
2004-03-31,2004-04-08,-13.3,14.0,14.02
2004-04-30,2004-05-07,49.6,15.0,12.9
2004-05-31,2004-06-04,56.1,22.3,22.27
2004-06-30,2004-07-09,24.7,25.0,26.1
2004-07-31,2004-08-06,8.7,28.0,27.81
2004-08-31,2004-09-10,-7.0,20.0,20.52
2004-09-30,2004-10-08,43.2,20.25,22.17
2004-10-31,2004-11-05,34.3,29.0,26.34
2004-11-30,2004-12-03,4.6,25.0,26.23
2004-12-31,2005-01-07,33.5,15.0,14.95
2005-01-31,2005-02-04,-5.7,15.0,16.38
2005-02-28,2005-03-11,26.6,15.0,15.94
2005-03-31,2005-04-08,4.4,15.5,18.72
2005-04-30,2005-05-06,29.3,17.0,18.04
2005-05-31,2005-06-10,35.4,16.0,15.93
2005-06-30,2005-07-08,14.2,19.0,19.18
2005-07-31,2005-08-05,5.9,20.0,21.1
2005-08-31,2005-09-09,27.5,20.0,20.45
2005-09-30,2005-10-07,-2.3,20.0,20.85
2005-10-31,2005-11-04,68.7,20.0,20.28
2005-11-30,2005-12-02,30.6,20.0,19.88
2005-12-31,2006-01-06,-2.1,20.0,20.31
2006-01-31,2006-02-10,26.3,25.0,23.82
2006-02-28,2006-03-10,24.7,22.0,20.75
2006-03-31,2006-04-07,50.5,21.0,22.17
2006-04-30,2006-05-05,22.0,15.0,17.72
2006-05-31,2006-06-09,96.7,20.0,19.75
2006-06-30,2006-07-07,-4.6,7.5,5.58
2006-07-31,2006-08-04,-5.5,23.5,22.65
2006-08-31,2006-09-08,-16.0,15.85,16.05
2006-09-30,2006-10-06,16.2,15.0,18.25
2006-10-31,2006-11-03,50.5,15.0,15.45
2006-11-30,2006-12-01,22.4,15.0,14.18
2006-12-31,2007-01-05,61.6,15.0,14.22
2007-01-31,2007-02-09,88.9,13.5,14.29
2007-02-28,2007-03-09,14.2,5.0,5.71
2007-03-31,2007-04-05,54.9,11.0,11.25
2007-04-30,2007-05-11,-5.2,19.0,18.37
2007-05-31,2007-06-08,9.3,14.25,16.52
