Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-09-12,0.1,,-0.03
2003-09-30,2003-12-12,0.7,,0.48
2003-12-31,2004-03-12,-0.3,0.2,0.31
2004-03-31,2004-06-11,0.4,0.3,0.29
2004-06-30,2004-09-13,0.1,0.6,0.65
2004-09-30,2004-12-10,-0.3,0.0,-0.04
2004-12-31,2005-03-10,0.2,0.25,0.18
2005-03-31,2005-06-09,0.2,0.3,0.31
2005-06-30,2005-09-09,0.0,0.1,0.05
2005-09-30,2005-12-09,0.8,0.5,0.49
2005-12-31,2006-03-10,0.5,0.6,0.83
2006-03-31,2006-06-08,0.5,0.4,0.44
2006-06-30,2006-09-13,-0.4,0.0,-0.03
2006-09-30,2006-12-11,-0.1,0.4,0.43
2006-12-31,2007-03-12,0.3,-0.3,-0.37
2007-03-31,2007-06-12,0.7,0.7,0.7
2007-06-30,2007-09-14,0.2,0.4,0.63
2007-09-30,2007-12-13,0.2,0.1,0.16
2007-12-31,2008-03-14,-0.8,-0.3,-0.29
2008-03-31,2008-06-13,-0.3,-0.35,-0.31
2008-06-30,2008-09-10,-0.2,0.3,0.24
2008-09-30,2008-12-10,0.0,0.15,0.0
2008-12-31,2009-03-17,-0.5,0.1,-0.08
2009-03-31,2009-06-16,0.3,-0.4,-0.45
2009-06-30,2009-09-15,0.0,0.7,0.35
2009-09-30,2009-12-15,-0.2,-0.3,-0.36
2009-12-31,2010-03-16,1.4,0.8,0.85
2010-03-31,2010-06-15,0.7,1.2,1.33
2010-06-30,2010-09-14,-0.8,-0.5,-0.59
2010-09-30,2010-12-14,0.1,-0.05,0.04
2010-12-31,2011-03-15,0.5,0.2,0.36
2011-03-31,2011-06-10,0.4,0.9,0.95
2011-06-30,2011-09-09,-0.9,-0.7,-0.61
2011-09-30,2011-12-09,0.4,-0.3,-0.25
2011-12-31,2012-03-09,0.7,0.6,0.58
2012-03-31,2012-06-08,0.1,0.3,0.31
2012-06-30,2012-09-07,-0.4,-0.2,-0.17
2012-09-30,2012-12-07,-0.5,-0.35,-0.27
2012-12-31,2013-03-08,0.1,0.0,-0.04
2013-03-31,2013-06-07,0.2,0.2,0.13
2013-06-30,2013-09-06,0.5,0.3,0.31
2013-09-30,2013-12-06,0.2,0.3,0.31
2013-12-31,2014-03-07,1.0,0.5,9.87
2014-03-31,2014-06-06,-0.1,0.0,0.08
2014-06-30,2014-09-05,1.8,1.6,1.56
2014-09-30,2014-12-05,0.1,-0.2,-0.14
2014-12-31,2015-03-06,-0.1,0.0,0.05
2015-03-31,2015-06-05,-0.1,-0.2,-0.16
2015-06-30,2015-09-04,-0.6,-0.75,-0.6
2015-09-30,2015-12-04,0.1,0.3,0.36
2015-12-31,2016-03-04,0.1,0.0,-0.02
2016-03-31,2016-06-03,0.4,0.4,0.38
2016-06-30,2016-09-02,-0.3,-0.4,-0.32
2016-09-30,2016-12-02,1.2,1.0,1.04
2016-12-31,2017-03-08,0.4,0.4,0.47
2017-03-31,2017-06-02,1.4,1.15,1.2
2017-06-30,2017-09-06,-0.1,,
2017-09-30,2017-12-06,-0.6,,
2017-12-31,2018-03-07,0.2,0.1,44.62
2018-03-31,2018-06-05,-0.3,,
2018-06-30,2018-09-05,0.7,0.45,0.33
2018-09-30,2018-12-04,0.3,0.2,0.3
2018-12-31,2019-03-06,-0.4,-0.3,-0.29
2019-03-31,2019-06-05,0.3,0.35,0.23
2019-06-30,2019-09-04,0.2,0.1,0.3
2019-09-30,2019-12-04,0.2,0.2,0.12
2019-12-31,2020-03-04,-0.1,0.2,0.2
2020-03-31,2020-06-03,3.4,2.0,2.37
2020-06-30,2020-09-02,9.8,6.5,5.22
2020-09-30,2020-12-02,-10.3,-7.0,-4.79
2020-12-31,2021-03-04,-2.0,-1.9,-1.52
2021-03-31,2021-06-04,-1.7,-0.9,-1.06
2021-06-30,2021-09-03,0.6,1.6,1.11
2021-09-30,2021-12-03,-1.5,-0.55,-0.45
2021-12-31,2022-03-04,-0.5,-0.2,-0.15
2022-03-31,2022-06-03,-0.5,,
2022-06-30,2022-09-02,0.2,,
2022-09-30,2022-12-01,0.6,,
2022-12-31,2023-03-03,-0.5,,
2023-03-31,2023-06-07,-0.6,,
2023-06-30,2023-09-06,-0.6,-0.5,-0.27
2023-09-30,2023-12-06,-0.8,-0.6,-0.37
2023-12-31,2024-03-06,0.4,0.18,0.16
2024-03-31,2024-06-05,-0.3,-0.1,-0.16
2024-06-30,2024-09-05,-0.2,-0.05,-0.05
2024-09-30,2024-12-04,-0.4,-0.25,-0.06
2024-12-31,2025-03-05,0.6,0.65,0.57
2025-03-31,2025-06-04,0.2,0.1,0.26
