Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,7.16,,
2003-07-31,2003-07-31,6.85,,
2003-08-31,2003-08-31,5.76,,
2003-09-30,2003-09-30,5.5,,
2003-10-31,2003-10-31,6.04,,
2003-11-30,2003-11-30,6.58,,
2003-12-31,2003-12-31,6.75,,
2004-01-31,2004-01-31,8.4,,
2004-02-29,2004-02-29,9.75,,
2004-03-31,2004-03-31,9.18,,
2004-04-30,2004-04-30,9.08,,
2004-05-31,2004-05-31,9.16,,
2004-06-30,2004-06-30,7.83,,
2004-07-31,2004-07-31,7.48,,
2004-08-31,2004-08-31,8.97,,
2004-09-30,2004-09-30,9.07,,
2004-10-31,2004-10-31,9.69,,
2004-11-30,2004-11-30,9.3,,
2004-12-31,2004-12-31,10.27,,
2005-01-31,2005-01-31,9.26,,
2005-02-28,2005-02-28,10.24,,
2005-03-31,2005-03-31,10.28,,
2005-04-30,2005-04-30,10.06,,
2005-05-31,2005-05-31,9.51,,
2005-06-30,2005-06-30,10.63,,
2005-07-31,2005-07-31,10.82,,
2005-08-31,2005-08-31,9.97,,
2005-09-30,2005-09-30,9.8,,
2005-10-31,2005-10-31,9.21,,
2005-11-30,2005-11-30,8.58,,
2005-12-31,2005-12-31,7.6,,
2006-01-31,2006-01-31,7.25,,
2006-02-28,2006-02-28,7.1,,
2006-03-31,2006-03-31,7.34,,
2006-04-30,2006-04-30,6.47,,
2006-05-31,2006-05-31,6.51,,
2006-06-30,2006-06-30,6.38,,
2006-07-31,2006-07-31,6.3,,
2006-08-31,2006-08-31,7.0,,
2006-09-30,2006-09-30,8.01,,
2006-10-31,2006-10-31,8.19,,
2006-11-30,2006-11-30,8.98,,
2006-12-31,2006-12-31,9.86,,
2007-01-31,2007-01-31,10.11,,
2007-02-28,2007-02-28,9.42,,
2007-03-31,2007-03-31,9.43,,
2007-04-30,2007-04-30,10.2,,
2007-05-31,2007-05-31,10.37,,
2007-06-30,2007-06-30,10.27,,
2007-07-31,2007-07-31,10.72,,
2007-08-31,2007-08-31,11.94,,
2007-09-30,2007-09-30,12.67,,
2007-10-31,2007-10-31,12.02,,
2007-11-30,2007-11-30,12.63,,
2007-12-31,2007-12-31,12.24,,
2008-01-31,2008-01-31,12.71,,
2008-02-29,2008-02-29,12.27,,
2008-03-31,2008-03-31,12.69,,
2008-04-30,2008-04-30,12.93,,
2008-05-31,2008-05-31,13.28,,
2008-06-30,2008-06-30,13.85,,
2008-07-31,2008-07-31,12.92,,
2008-08-31,2008-08-31,11.53,,
2008-09-30,2008-09-30,10.19,,
2008-10-31,2008-10-31,10.85,,
2008-11-30,2008-11-30,10.02,,
2008-12-31,2008-12-31,9.29,,
2009-01-31,2009-01-31,7.77,,
2009-02-28,2009-02-28,6.92,,
2009-03-31,2009-03-31,5.34,,
2009-04-30,2009-04-30,4.79,,
2009-05-31,2009-05-31,3.25,,
2009-06-30,2009-06-30,2.28,,
2009-07-31,2009-07-31,2.45,,
2009-08-31,2009-08-31,1.89,,
2009-09-30,2009-09-30,1.67,,
2009-10-31,2009-10-31,1.2,,
2009-11-30,2009-11-30,0.79,,
2009-12-31,2009-12-31,1.05,,
2010-01-31,2010-01-31,1.54,,
2010-02-28,2010-02-28,3.17,,
2010-03-31,2010-03-31,3.1,,
2010-04-30,2010-04-30,4.05,,
2010-05-31,2010-05-31,5.5,,
2010-06-30,2010-06-30,6.15,,
2010-07-31,2010-07-31,6.45,,
2010-08-31,2010-08-31,7.23,,
2010-09-30,2010-09-30,6.58,,
2010-10-31,2010-10-31,7.05,,
2010-11-30,2010-11-30,7.12,,
2010-12-31,2010-12-31,7.25,,
2011-01-31,2011-01-31,7.86,,
2011-02-28,2011-02-28,7.51,,
2011-03-31,2011-03-31,8.41,,
2011-04-30,2011-04-30,7.85,,
2011-05-31,2011-05-31,6.88,,
2011-06-30,2011-06-30,6.61,,
2011-07-31,2011-07-31,6.1,,
2011-08-31,2011-08-31,6.53,,
2011-09-30,2011-09-30,8.03,,
2011-10-31,2011-10-31,7.22,,
2011-11-30,2011-11-30,7.58,,
2011-12-31,2011-12-31,7.71,,
2012-01-31,2012-01-31,7.84,,
2012-02-29,2012-02-29,7.42,,
2012-03-31,2012-03-31,7.24,,
2012-04-30,2012-04-30,7.07,,
2012-05-31,2012-05-31,7.37,,
2012-06-30,2012-06-30,7.27,,
2012-07-31,2012-07-31,7.56,,
2012-08-31,2012-08-31,6.48,,
2012-09-30,2012-09-30,5.22,,
2012-10-31,2012-10-31,5.99,,
2012-11-30,2012-11-30,5.75,,
2012-12-31,2012-12-31,5.59,,
2013-01-31,2013-01-31,5.12,,
2013-02-28,2013-02-28,5.86,,
2013-03-31,2013-03-31,5.55,,
2013-04-30,2013-04-30,5.73,,
2013-05-31,2013-05-31,5.84,,
2013-06-30,2013-06-30,6.05,,
2013-07-31,2013-07-31,5.43,,
2013-08-31,2013-08-31,6.39,,
2013-09-30,2013-09-30,7.32,,
2013-10-31,2013-10-31,7.62,,
2013-11-30,2013-11-30,8.52,,
2013-12-31,2013-12-31,8.98,,
2014-01-31,2014-01-31,9.92,,
2014-02-28,2014-02-28,8.54,,
2014-03-31,2014-03-31,8.63,,
2014-04-30,2014-04-30,8.38,,
2014-05-31,2014-05-31,8.1,,
2014-06-30,2014-06-30,8.0,,
2014-07-31,2014-07-31,8.95,,
2014-08-31,2014-08-31,8.61,,
2014-09-30,2014-09-30,8.47,,
2014-10-31,2014-10-31,8.07,,
2014-11-30,2014-11-30,7.17,,
2014-12-31,2014-12-31,6.57,,
2015-01-31,2015-01-31,5.99,,
2015-02-28,2015-02-28,6.93,,
2015-03-31,2015-03-31,7.12,,
2015-04-30,2015-04-30,6.83,,
2015-05-31,2015-05-31,6.75,,
2015-06-30,2015-06-30,6.72,,
2015-07-31,2015-07-31,8.02,,
2015-08-31,2015-08-31,8.41,,
2015-09-30,2015-09-30,8.33,,
2015-10-31,2015-10-31,7.55,,
2015-11-30,2015-11-30,8.03,,
2015-12-31,2015-12-31,8.65,,
2016-01-31,2016-01-31,8.88,,
2016-02-29,2016-02-29,8.9,,
2016-03-31,2016-03-31,7.65,,
2016-04-30,2016-04-30,8.23,,
2016-05-31,2016-05-31,9.44,,
2016-06-30,2016-06-30,9.73,,
2016-07-31,2016-07-31,8.7,,
2016-08-31,2016-08-31,7.93,,
2016-09-30,2016-09-30,7.88,,
2016-10-31,2016-10-31,8.84,,
2016-11-30,2016-11-30,8.35,,
2016-12-31,2016-12-31,8.05,,
2017-01-31,2017-01-31,7.51,,
2017-02-28,2017-02-28,6.65,,
2017-03-31,2017-03-31,8.2,,
2017-04-30,2017-04-30,8.67,,
2017-05-31,2017-05-31,7.54,,
2017-06-30,2017-06-30,6.44,,
2017-07-31,2017-07-31,4.87,,
2017-08-31,2017-08-31,4.7,,
2017-09-30,2017-09-30,4.35,,
2017-10-31,2017-10-31,4.38,,
2017-11-30,2017-11-30,4.65,,
2017-12-31,2017-12-31,4.61,,
2018-01-31,2018-01-31,4.05,,
2018-02-28,2018-02-28,5.08,,
2018-03-31,2018-03-31,4.55,,
2018-04-30,2018-04-30,3.57,,
2018-05-31,2018-05-31,3.34,,
2018-06-30,2018-06-30,4.34,,
2018-07-31,2018-07-31,4.94,,
2018-08-31,2018-08-31,5.36,,
2018-09-30,2018-09-30,5.57,,
2018-10-31,2018-10-31,5.44,,
2018-11-30,2018-11-30,5.56,,
2018-12-31,2018-12-31,6.42,,
2019-01-31,2019-01-31,6.39,,
2019-02-28,2019-02-28,6.22,,
2019-03-31,2019-03-31,7.38,,
2019-04-30,2019-04-30,8.15,,
2019-05-31,2019-05-31,7.85,,
2019-06-30,2019-06-30,7.55,,
2019-07-31,2019-07-31,7.9,,
2019-08-31,2019-08-31,8.25,,
2019-09-30,2019-09-30,8.29,,
2019-10-31,2019-10-31,8.55,,
2019-11-30,2019-11-30,8.38,,
2019-12-31,2019-12-31,7.87,,
2020-01-31,2020-01-31,8.47,,
2020-02-29,2020-02-29,8.57,,
2020-03-31,2020-03-31,10.2,,
2020-04-30,2020-04-30,13.04,,
2020-05-31,2020-05-31,14.84,,
2020-06-30,2020-06-30,16.28,,
2020-07-31,2020-07-31,15.88,,
2020-08-31,2020-08-31,15.32,,
2020-09-30,2020-09-30,15.49,,
2020-10-31,2020-10-31,12.23,,
2020-11-30,2020-11-30,11.96,,
2020-12-31,2020-12-31,11.59,,
2021-01-31,2021-01-31,11.84,,
2021-02-28,2021-02-28,11.86,,
2021-03-31,2021-03-31,9.1,,
2021-04-30,2021-04-30,5.35,,
2021-05-31,2021-05-31,4.86,,
2021-06-30,2021-06-30,3.67,,
2021-07-31,2021-07-31,4.71,,
2021-08-31,2021-08-31,5.34,,
2021-09-30,2021-09-30,4.89,,
2021-10-31,2021-10-31,7.35,,
2021-11-30,2021-11-30,8.05,,
2021-12-31,2021-12-31,7.92,,
2022-01-31,2022-01-31,8.24,,
2022-02-28,2022-02-28,8.22,,
2022-03-31,2022-03-31,8.5,,
2022-04-30,2022-04-30,9.42,,
2022-05-31,2022-05-31,9.13,,
2022-06-30,2022-06-30,9.21,,
2022-07-31,2022-07-31,8.29,,
2022-08-31,2022-08-31,7.85,,
2022-09-30,2022-09-30,8.38,,
2022-10-31,2022-10-31,8.44,,
2022-11-30,2022-11-30,8.22,,
2022-12-31,2022-12-31,8.12,,
2023-01-31,2023-01-31,8.21,,
