Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,45209.41,,
2003-07-31,2003-07-31,47451.07,,
2003-08-31,2003-08-31,45518.21,,
2003-09-30,2003-09-30,47731.57,,
2003-10-31,2003-10-31,47226.83,,
2003-11-30,2003-11-30,47764.52,,
2003-12-31,2003-12-31,47420.63,,
2004-01-31,2004-01-31,46639.28,,
2004-02-29,2004-02-29,47416.42,,
2004-03-31,2004-03-31,48457.94,,
2004-04-30,2004-04-30,48947.28,,
2004-05-31,2004-05-31,48906.24,,
2004-06-30,2004-06-30,49422.15,,
2004-07-31,2004-07-31,48975.28,,
2004-08-31,2004-08-31,49303.45,,
2004-09-30,2004-09-30,48838.82,,
2004-10-31,2004-10-31,49115.46,,
2004-11-30,2004-11-30,48390.19,,
2004-12-31,2004-12-31,48150.1,,
2005-01-31,2005-01-31,50298.06,,
2005-02-28,2005-02-28,50052.82,,
2005-03-31,2005-03-31,49069.37,,
2005-04-30,2005-04-30,49039.37,,
2005-05-31,2005-05-31,49100.6,,
2005-06-30,2005-06-30,49104.95,,
2005-07-31,2005-07-31,48733.08,,
2005-08-31,2005-08-31,49994.9,,
2005-09-30,2005-09-30,50754.43,,
2005-10-31,2005-10-31,51149.29,,
2005-11-30,2005-11-30,50429.67,,
2005-12-31,2005-12-31,51479.37,,
2006-01-31,2006-01-31,51602.38,,
2006-02-28,2006-02-28,50342.33,,
2006-03-31,2006-03-31,50712.77,,
2006-04-30,2006-04-30,50384.79,,
2006-05-31,2006-05-31,49642.26,,
2006-06-30,2006-06-30,50510.48,,
2006-07-31,2006-07-31,50509.44,,
2006-08-31,2006-08-31,50858.56,,
2006-09-30,2006-09-30,49735.12,,
2006-10-31,2006-10-31,48965.05,,
2006-11-30,2006-11-30,49904.52,,
2006-12-31,2006-12-31,52359.21,,
2007-01-31,2007-01-31,50304.66,,
2007-02-28,2007-02-28,50223.54,,
2007-03-31,2007-03-31,51344.23,,
2007-04-30,2007-04-30,51476.1,,
2007-05-31,2007-05-31,50506.86,,
2007-06-30,2007-06-30,49753.12,,
2007-07-31,2007-07-31,49636.88,,
2007-08-31,2007-08-31,49305.45,,
2007-09-30,2007-09-30,49089.58,,
2007-10-31,2007-10-31,48914.13,,
2007-11-30,2007-11-30,49381.51,,
2007-12-31,2007-12-31,47737.01,,
2008-01-31,2008-01-31,47787.27,,
2008-02-29,2008-02-29,49226.16,,
2008-03-31,2008-03-31,48552.26,,
2008-04-30,2008-04-30,49332.23,,
2008-05-31,2008-05-31,50864.86,,
2008-06-30,2008-06-30,51957.81,,
2008-07-31,2008-07-31,53050.87,,
2008-08-31,2008-08-31,51164.66,,
2008-09-30,2008-09-30,50728.62,,
2008-10-31,2008-10-31,49877.37,,
2008-11-30,2008-11-30,46869.27,,
2008-12-31,2008-12-31,42558.3,,
2009-01-31,2009-01-31,40378.65,,
2009-02-28,2009-02-28,41405.75,,
2009-03-31,2009-03-31,40060.22,,
2009-04-30,2009-04-30,40389.24,,
2009-05-31,2009-05-31,38330.99,,
2009-06-30,2009-06-30,39364.41,,
2009-07-31,2009-07-31,41323.11,,
2009-08-31,2009-08-31,40713.28,,
2009-09-30,2009-09-30,41287.59,,
2009-10-31,2009-10-31,41186.34,,
2009-11-30,2009-11-30,41869.14,,
2009-12-31,2009-12-31,42421.9,,
2010-01-31,2010-01-31,42775.96,,
2010-02-28,2010-02-28,42986.05,,
2010-03-31,2010-03-31,43357.5,,
2010-04-30,2010-04-30,44038.07,,
2010-05-31,2010-05-31,44514.11,,
2010-06-30,2010-06-30,44463.62,,
2010-07-31,2010-07-31,43920.56,,
2010-08-31,2010-08-31,44325.44,,
2010-09-30,2010-09-30,44364.48,,
2010-10-31,2010-10-31,44928.02,,
2010-11-30,2010-11-30,44269.01,,
2010-12-31,2010-12-31,45331.88,,
2011-01-31,2011-01-31,46818.28,,
2011-02-28,2011-02-28,46040.31,,
2011-03-31,2011-03-31,46594.32,,
2011-04-30,2011-04-30,46322.39,,
2011-05-31,2011-05-31,45826.98,,
2011-06-30,2011-06-30,45596.87,,
2011-07-31,2011-07-31,46987.37,,
2011-08-31,2011-08-31,47613.96,,
2011-09-30,2011-09-30,48552.17,,
2011-10-31,2011-10-31,48792.49,,
2011-11-30,2011-11-30,49109.75,,
2011-12-31,2011-12-31,50027.28,,
2012-01-31,2012-01-31,49184.85,,
2012-02-29,2012-02-29,48357.58,,
2012-03-31,2012-03-31,49100.19,,
2012-04-30,2012-04-30,49415.13,,
2012-05-31,2012-05-31,49626.34,,
2012-06-30,2012-06-30,49072.29,,
2012-07-31,2012-07-31,48424.82,,
2012-08-31,2012-08-31,48558.61,,
2012-09-30,2012-09-30,48624.73,,
2012-10-31,2012-10-31,48120.9,,
2012-11-30,2012-11-30,48790.33,,
2012-12-31,2012-12-31,48059.95,,
2013-01-31,2013-01-31,48045.05,,
2013-02-28,2013-02-28,49403.52,,
2013-03-31,2013-03-31,48913.59,,
2013-04-30,2013-04-30,48592.84,,
2013-05-31,2013-05-31,48630.68,,
2013-06-30,2013-06-30,48366.57,,
2013-07-31,2013-07-31,48370.75,,
2013-08-31,2013-08-31,49112.76,,
2013-09-30,2013-09-30,49233.45,,
2013-10-31,2013-10-31,49910.1,,
2013-11-30,2013-11-30,50194.48,,
2013-12-31,2013-12-31,49321.73,,
2014-01-31,2014-01-31,49261.37,,
2014-02-28,2014-02-28,50885.3,,
2014-03-31,2014-03-31,50833.45,,
2014-04-30,2014-04-30,50666.46,,
2014-05-31,2014-05-31,51629.54,,
2014-06-30,2014-06-30,51737.81,,
2014-07-31,2014-07-31,52872.58,,
2014-08-31,2014-08-31,51267.59,,
2014-09-30,2014-09-30,52419.75,,
2014-10-31,2014-10-31,52249.13,,
2014-11-30,2014-11-30,51122.01,,
2014-12-31,2014-12-31,51664.72,,
2015-01-31,2015-01-31,49919.28,,
2015-02-28,2015-02-28,49466.08,,
2015-03-31,2015-03-31,51094.89,,
2015-04-30,2015-04-30,49772.71,,
2015-05-31,2015-05-31,50110.92,,
2015-06-30,2015-06-30,50994.05,,
2015-07-31,2015-07-31,51941.93,,
2015-08-31,2015-08-31,51685.64,,
2015-09-30,2015-09-30,50961.61,,
2015-10-31,2015-10-31,50403.25,,
2015-11-30,2015-11-30,50680.42,,
2015-12-31,2015-12-31,51016.9,,
2016-01-31,2016-01-31,52597.72,,
2016-02-29,2016-02-29,50253.52,,
2016-03-31,2016-03-31,49713.46,,
2016-04-30,2016-04-30,50519.85,,
2016-05-31,2016-05-31,49956.4,,
2016-06-30,2016-06-30,50641.74,,
2016-07-31,2016-07-31,51017.21,,
2016-08-31,2016-08-31,51431.19,,
2016-09-30,2016-09-30,51569.39,,
2016-10-31,2016-10-31,51675.93,,
2016-11-30,2016-11-30,52305.72,,
2016-12-31,2016-12-31,53579.46,,
2017-01-31,2017-01-31,54032.14,,
2017-02-28,2017-02-28,53687.2,,
2017-03-31,2017-03-31,53601.32,,
2017-04-30,2017-04-30,54438.13,,
2017-05-31,2017-05-31,54836.44,,
2017-06-30,2017-06-30,53915.54,,
2017-07-31,2017-07-31,52856.22,,
2017-08-31,2017-08-31,53705.5,,
2017-09-30,2017-09-30,54102.62,,
2017-10-31,2017-10-31,54080.16,,
2017-11-30,2017-11-30,55878.88,,
2017-12-31,2017-12-31,55945.53,,
2018-01-31,2018-01-31,55354.79,,
2018-02-28,2018-02-28,56757.29,,
2018-03-31,2018-03-31,56831.03,,
2018-04-30,2018-04-30,56544.91,,
2018-05-31,2018-05-31,57230.62,,
2018-06-30,2018-06-30,58708.19,,
2018-07-31,2018-07-31,58491.5,,
2018-08-31,2018-08-31,58103.7,,
2018-09-30,2018-09-30,57920.74,,
2018-10-31,2018-10-31,58502.47,,
2018-11-30,2018-11-30,57567.73,,
