Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2014-03-31,2014-04-01,,,
2014-04-30,2014-05-01,,,
2014-05-31,2014-06-02,,,
2014-06-30,2014-07-02,,,
2014-07-31,2014-08-01,,,
2014-08-31,2014-09-02,,,
2014-09-30,2014-10-01,,,
2014-10-31,2014-11-03,,,
2014-11-30,2014-12-01,,,
2014-12-31,2015-01-02,,,
2015-01-31,2015-02-02,,,
2015-02-28,2015-03-02,,,
2015-03-31,2015-04-01,,,
2015-04-30,2015-05-01,,,
2015-05-31,2015-06-01,,,
2015-06-30,2015-07-02,,,
2015-07-31,2015-08-04,,,
2015-08-31,2015-09-01,,,
2015-09-30,2015-10-01,,,
2015-10-31,2015-11-02,,,
2015-11-30,2015-12-01,,,
2015-12-31,2016-01-04,,,
2016-01-31,2016-02-01,,,
2016-02-29,2016-03-01,,,
2016-03-31,2016-04-01,,,
2016-04-30,2016-05-02,,,
2016-05-31,2016-06-01,,,
2016-06-30,2016-07-04,,,
2016-07-31,2016-08-02,,,
2016-08-31,2016-09-01,,,
2016-09-30,2016-10-03,,,
2016-10-31,2016-11-01,,,
2016-11-30,2016-12-01,,,
2016-12-31,2017-01-03,,,
2017-01-31,2017-02-01,,,
2017-02-28,2017-03-01,,,
2017-03-31,2017-04-03,,,
2017-04-30,2017-05-01,,,
2017-05-31,2017-06-01,,,
2017-06-30,2017-07-04,,,
2017-07-31,2017-08-01,,,
2017-08-31,2017-09-01,,,
2017-09-30,2017-10-02,,,
2017-10-31,2017-11-01,,,
2017-11-30,2017-12-01,,,
2017-12-31,2018-01-02,,,
2018-01-31,2018-02-01,,,
2018-02-28,2018-03-01,,,
2018-03-31,2018-04-02,,,
2018-04-30,2018-05-01,,,
2018-05-31,2018-06-01,,,
2018-06-30,2018-07-03,,,
2018-07-31,2018-08-01,,,
2018-08-31,2018-09-04,,,
2018-09-30,2018-10-01,,,
2018-10-31,2018-11-01,,,
2018-11-30,2018-12-03,,,
2018-12-31,2019-01-02,,,
2019-01-31,2019-02-01,,,
2019-02-28,2019-03-01,,,
2019-03-31,2019-04-01,,,
2019-04-30,2019-05-01,,,
2019-05-31,2019-06-03,,,
2019-06-30,2019-07-02,,,
2019-07-31,2019-08-01,,,
2019-08-31,2019-09-03,,,
2019-09-30,2019-10-01,,,
2019-10-31,2019-11-01,,,
2019-11-30,2019-12-02,,,
2019-12-31,2020-01-02,,,
2020-01-31,2020-02-03,,,
2020-02-29,2020-03-02,,,
2020-03-31,2020-04-01,,,
2020-04-30,2020-05-01,,,
2020-05-31,2020-06-01,,,
2020-06-30,2020-07-02,,,
2020-07-31,2020-08-04,,,
2020-08-31,2020-09-01,,,
2020-09-30,2020-10-01,,,
2020-10-31,2020-11-02,,,
2020-11-30,2020-12-01,,,
2020-12-31,2021-01-04,,,
2021-01-31,2021-02-01,,,
2021-02-28,2021-03-01,,,
2021-03-31,2021-04-01,,,
2021-04-30,2021-05-03,,,
2021-05-31,2021-06-01,,,
2021-06-30,2021-07-02,,,
2021-07-31,2021-08-03,,,
2021-08-31,2021-09-01,,,
2021-09-30,2021-10-01,,,
2021-10-31,2021-11-01,,,
2021-11-30,2021-12-01,,,
2021-12-31,2022-01-04,,,
2022-01-31,2022-02-01,,,
2022-02-28,2022-03-01,,,
2022-03-31,2022-04-01,,,
2022-04-30,2022-05-02,,,
2022-05-31,2022-06-01,,,
2022-06-30,2022-07-04,54.6,,
2022-07-31,2022-08-02,52.5,,
2022-08-31,2022-09-01,48.7,,
2022-09-30,2022-10-03,49.8,,
2022-10-31,2022-11-01,48.8,,
2022-11-30,2022-12-01,49.6,,
2022-12-31,2023-01-03,49.2,,
2023-01-31,2023-02-01,51.0,,
2023-02-28,2023-03-01,52.4,,
2023-03-31,2023-04-03,48.6,,
2023-04-30,2023-05-01,50.2,,
2023-05-31,2023-06-01,49.0,,
2023-06-30,2023-07-04,48.8,,
2023-07-31,2023-08-01,49.6,,
2023-08-31,2023-09-01,48.0,,
2023-09-30,2023-10-02,47.5,,
2023-10-31,2023-11-01,48.6,,
2023-11-30,2023-12-01,47.7,,
2023-12-31,2024-01-02,45.4,,
2024-01-31,2024-02-01,48.3,46.5,46.1
2024-02-29,2024-03-01,49.7,,
2024-03-31,2024-04-01,49.8,,
2024-04-30,2024-05-01,49.4,,
2024-05-31,2024-06-03,49.3,,
2024-06-30,2024-07-02,49.3,,
2024-07-31,2024-08-01,47.8,,
2024-08-31,2024-09-03,49.5,,
2024-09-30,2024-10-01,50.4,,
2024-10-31,2024-11-01,51.1,,
2024-11-30,2024-12-02,52.0,,
2024-12-31,2025-01-02,52.2,,
2025-01-31,2025-02-03,51.6,,
2025-02-28,2025-03-03,47.8,,
2025-03-31,2025-04-01,46.3,,
2025-04-30,2025-05-01,45.3,,
2025-05-31,2025-06-02,46.1,,
