Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,62163.46,,
2003-07-31,2003-07-31,62055.92,,
2003-08-31,2003-08-31,62029.34,,
2003-09-30,2003-09-30,61467.31,,
2003-10-31,2003-10-31,61492.18,,
2003-11-30,2003-11-30,61494.61,,
2003-12-31,2003-12-31,61099.55,,
2004-01-31,2004-01-31,60585.28,,
2004-02-29,2004-02-29,61369.9,,
2004-03-31,2004-03-31,61598.99,,
2004-04-30,2004-04-30,62028.35,,
2004-05-31,2004-05-31,62685.35,,
2004-06-30,2004-06-30,62775.63,,
2004-07-31,2004-07-31,63015.13,,
2004-08-31,2004-08-31,63971.96,,
2004-09-30,2004-09-30,64219.51,,
2004-10-31,2004-10-31,64360.73,,
2004-11-30,2004-11-30,64230.0,,
2004-12-31,2004-12-31,64472.84,,
2005-01-31,2005-01-31,65344.97,,
2005-02-28,2005-02-28,65725.81,,
2005-03-31,2005-03-31,65850.93,,
2005-04-30,2005-04-30,65379.44,,
2005-05-31,2005-05-31,65419.03,,
2005-06-30,2005-06-30,65201.24,,
2005-07-31,2005-07-31,65695.76,,
2005-08-31,2005-08-31,65407.18,,
2005-09-30,2005-09-30,64800.14,,
2005-10-31,2005-10-31,65043.48,,
2005-11-30,2005-11-30,65161.63,,
2005-12-31,2005-12-31,64992.64,,
2006-01-31,2006-01-31,65171.48,,
2006-02-28,2006-02-28,65354.53,,
2006-03-31,2006-03-31,65446.49,,
2006-04-30,2006-04-30,64938.98,,
2006-05-31,2006-05-31,65129.1,,
2006-06-30,2006-06-30,64467.56,,
2006-07-31,2006-07-31,65178.96,,
2006-08-31,2006-08-31,65160.68,,
2006-09-30,2006-09-30,65228.33,,
2006-10-31,2006-10-31,65314.27,,
2006-11-30,2006-11-30,65430.33,,
2006-12-31,2006-12-31,64807.98,,
2007-01-31,2007-01-31,64705.77,,
2007-02-28,2007-02-28,65254.36,,
2007-03-31,2007-03-31,65454.04,,
2007-04-30,2007-04-30,65984.06,,
2007-05-31,2007-05-31,65383.84,,
2007-06-30,2007-06-30,65194.67,,
2007-07-31,2007-07-31,65387.86,,
2007-08-31,2007-08-31,65045.49,,
2007-09-30,2007-09-30,64624.37,,
2007-10-31,2007-10-31,64034.0,,
2007-11-30,2007-11-30,64648.58,,
2007-12-31,2007-12-31,64749.0,,
2008-01-31,2008-01-31,64873.75,,
2008-02-29,2008-02-29,64542.43,,
2008-03-31,2008-03-31,64947.37,,
2008-04-30,2008-04-30,64889.47,,
2008-05-31,2008-05-31,66157.84,,
2008-06-30,2008-06-30,66856.07,,
2008-07-31,2008-07-31,66825.21,,
2008-08-31,2008-08-31,67465.04,,
2008-09-30,2008-09-30,67278.22,,
2008-10-31,2008-10-31,68015.46,,
2008-11-30,2008-11-30,67702.33,,
2008-12-31,2008-12-31,66302.65,,
2009-01-31,2009-01-31,65631.12,,
2009-02-28,2009-02-28,65258.75,,
2009-03-31,2009-03-31,64068.35,,
2009-04-30,2009-04-30,63009.62,,
2009-05-31,2009-05-31,62071.23,,
2009-06-30,2009-06-30,61769.73,,
2009-07-31,2009-07-31,60596.6,,
2009-08-31,2009-08-31,60456.53,,
2009-09-30,2009-09-30,58982.94,,
2009-10-31,2009-10-31,59006.9,,
2009-11-30,2009-11-30,59155.05,,
2009-12-31,2009-12-31,58659.67,,
2010-01-31,2010-01-31,58272.49,,
2010-02-28,2010-02-28,58532.78,,
2010-03-31,2010-03-31,57941.22,,
2010-04-30,2010-04-30,57909.42,,
2010-05-31,2010-05-31,57478.62,,
2010-06-30,2010-06-30,58038.31,,
2010-07-31,2010-07-31,58291.73,,
2010-08-31,2010-08-31,59289.68,,
2010-09-30,2010-09-30,59186.94,,
2010-10-31,2010-10-31,59231.8,,
2010-11-30,2010-11-30,60048.23,,
2010-12-31,2010-12-31,60483.51,,
2011-01-31,2011-01-31,60450.33,,
2011-02-28,2011-02-28,60683.93,,
2011-03-31,2011-03-31,62142.02,,
2011-04-30,2011-04-30,62836.53,,
2011-05-31,2011-05-31,63556.68,,
2011-06-30,2011-06-30,64139.63,,
2011-07-31,2011-07-31,64172.27,,
2011-08-31,2011-08-31,64408.16,,
2011-09-30,2011-09-30,64853.23,,
2011-10-31,2011-10-31,65249.25,,
2011-11-30,2011-11-30,65344.76,,
2011-12-31,2011-12-31,65590.18,,
2012-01-31,2012-01-31,65640.22,,
2012-02-29,2012-02-29,65472.43,,
2012-03-31,2012-03-31,65111.89,,
2012-04-30,2012-04-30,65800.3,,
2012-05-31,2012-05-31,66506.08,,
2012-06-30,2012-06-30,65747.25,,
2012-07-31,2012-07-31,66108.74,,
2012-08-31,2012-08-31,66414.73,,
2012-09-30,2012-09-30,66565.07,,
2012-10-31,2012-10-31,66911.58,,
2012-11-30,2012-11-30,66543.08,,
2012-12-31,2012-12-31,66281.49,,
2013-01-31,2013-01-31,67173.75,,
2013-02-28,2013-02-28,66904.98,,
2013-03-31,2013-03-31,67203.77,,
2013-04-30,2013-04-30,67179.02,,
2013-05-31,2013-05-31,66698.15,,
2013-06-30,2013-06-30,66681.39,,
2013-07-31,2013-07-31,67055.32,,
2013-08-31,2013-08-31,67321.29,,
2013-09-30,2013-09-30,67126.54,,
2013-10-31,2013-10-31,67438.63,,
2013-11-30,2013-11-30,67680.24,,
2013-12-31,2013-12-31,67904.2,,
2014-01-31,2014-01-31,69271.33,,
2014-02-28,2014-02-28,70070.74,,
2014-03-31,2014-03-31,70111.41,,
2014-04-30,2014-04-30,70455.01,,
2014-05-31,2014-05-31,69725.98,,
2014-06-30,2014-06-30,69641.91,,
2014-07-31,2014-07-31,69656.5,,
2014-08-31,2014-08-31,69569.91,,
