Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,44804.61,,
2003-07-31,2003-07-31,47222.49,,
2003-08-31,2003-08-31,45010.07,,
2003-09-30,2003-09-30,48318.16,,
2003-10-31,2003-10-31,45987.19,,
2003-11-30,2003-11-30,47477.54,,
2003-12-31,2003-12-31,47161.88,,
2004-01-31,2004-01-31,48329.53,,
2004-02-29,2004-02-29,47766.81,,
2004-03-31,2004-03-31,48242.01,,
2004-04-30,2004-04-30,49749.55,,
2004-05-31,2004-05-31,49078.48,,
2004-06-30,2004-06-30,49126.83,,
2004-07-31,2004-07-31,49998.56,,
2004-08-31,2004-08-31,48729.76,,
2004-09-30,2004-09-30,48500.54,,
2004-10-31,2004-10-31,48618.76,,
2004-11-30,2004-11-30,47712.94,,
2004-12-31,2004-12-31,47525.53,,
2005-01-31,2005-01-31,52603.61,,
2005-02-28,2005-02-28,50077.99,,
2005-03-31,2005-03-31,49732.12,,
2005-04-30,2005-04-30,50050.27,,
2005-05-31,2005-05-31,49553.39,,
2005-06-30,2005-06-30,49282.97,,
2005-07-31,2005-07-31,49651.41,,
2005-08-31,2005-08-31,50813.22,,
2005-09-30,2005-09-30,50765.4,,
2005-10-31,2005-10-31,51553.84,,
2005-11-30,2005-11-30,50664.27,,
2005-12-31,2005-12-31,51534.06,,
2006-01-31,2006-01-31,52246.24,,
2006-02-28,2006-02-28,50902.26,,
2006-03-31,2006-03-31,51486.48,,
2006-04-30,2006-04-30,49509.89,,
2006-05-31,2006-05-31,49766.06,,
2006-06-30,2006-06-30,50620.86,,
2006-07-31,2006-07-31,51248.68,,
2006-08-31,2006-08-31,50407.11,,
2006-09-30,2006-09-30,50324.3,,
2006-10-31,2006-10-31,49232.14,,
2006-11-30,2006-11-30,50859.24,,
2006-12-31,2006-12-31,53861.15,,
2007-01-31,2007-01-31,51468.23,,
2007-02-28,2007-02-28,52493.08,,
2007-03-31,2007-03-31,51630.4,,
2007-04-30,2007-04-30,52186.16,,
2007-05-31,2007-05-31,51461.78,,
2007-06-30,2007-06-30,50218.68,,
2007-07-31,2007-07-31,51630.53,,
2007-08-31,2007-08-31,49622.5,,
2007-09-30,2007-09-30,48217.11,,
2007-10-31,2007-10-31,48034.14,,
2007-11-30,2007-11-30,51677.34,,
2007-12-31,2007-12-31,49584.42,,
2008-01-31,2008-01-31,48312.68,,
2008-02-29,2008-02-29,49310.62,,
2008-03-31,2008-03-31,51387.92,,
2008-04-30,2008-04-30,49057.04,,
2008-05-31,2008-05-31,52464.55,,
2008-06-30,2008-06-30,52709.72,,
2008-07-31,2008-07-31,53746.13,,
2008-08-31,2008-08-31,53245.75,,
2008-09-30,2008-09-30,50262.38,,
2008-10-31,2008-10-31,53412.38,,
2008-11-30,2008-11-30,47175.57,,
2008-12-31,2008-12-31,40920.7,,
2009-01-31,2009-01-31,37746.71,,
2009-02-28,2009-02-28,41059.49,,
2009-03-31,2009-03-31,39933.89,,
2009-04-30,2009-04-30,36554.87,,
2009-05-31,2009-05-31,34938.52,,
2009-06-30,2009-06-30,40334.99,,
2009-07-31,2009-07-31,39799.72,,
2009-08-31,2009-08-31,38330.89,,
2009-09-30,2009-09-30,39523.8,,
2009-10-31,2009-10-31,39933.04,,
2009-11-30,2009-11-30,40474.41,,
2009-12-31,2009-12-31,42986.49,,
2010-01-31,2010-01-31,42434.39,,
2010-02-28,2010-02-28,43612.01,,
2010-03-31,2010-03-31,43120.72,,
2010-04-30,2010-04-30,44134.91,,
2010-05-31,2010-05-31,45324.83,,
2010-06-30,2010-06-30,45399.9,,
2010-07-31,2010-07-31,43436.37,,
2010-08-31,2010-08-31,45484.93,,
2010-09-30,2010-09-30,42926.48,,
2010-10-31,2010-10-31,44821.57,,
2010-11-30,2010-11-30,44207.85,,
2010-12-31,2010-12-31,44871.64,,
2011-01-31,2011-01-31,46958.18,,
2011-02-28,2011-02-28,46292.29,,
2011-03-31,2011-03-31,51625.67,,
2011-04-30,2011-04-30,46475.41,,
2011-05-31,2011-05-31,46018.18,,
2011-06-30,2011-06-30,47460.9,,
2011-07-31,2011-07-31,47868.91,,
2011-08-31,2011-08-31,47851.35,,
2011-09-30,2011-09-30,50607.8,,
2011-10-31,2011-10-31,48611.94,,
2011-11-30,2011-11-30,49942.72,,
2011-12-31,2011-12-31,49098.27,,
2012-01-31,2012-01-31,48611.01,,
2012-02-29,2012-02-29,48916.82,,
2012-03-31,2012-03-31,50278.16,,
2012-04-30,2012-04-30,49306.78,,
2012-05-31,2012-05-31,49965.16,,
2012-06-30,2012-06-30,50522.28,,
2012-07-31,2012-07-31,47257.71,,
2012-08-31,2012-08-31,47768.0,,
2012-09-30,2012-09-30,48403.33,,
2012-10-31,2012-10-31,47954.39,,
2012-11-30,2012-11-30,51282.09,,
2012-12-31,2012-12-31,49821.23,,
2013-01-31,2013-01-31,51541.53,,
2013-02-28,2013-02-28,49938.48,,
2013-03-31,2013-03-31,48273.86,,
2013-04-30,2013-04-30,48469.24,,
2013-05-31,2013-05-31,49102.54,,
2013-06-30,2013-06-30,50651.82,,
2013-07-31,2013-07-31,48348.77,,
2013-08-31,2013-08-31,49468.77,,
2013-09-30,2013-09-30,47530.7,,
2013-10-31,2013-10-31,49915.85,,
2013-11-30,2013-11-30,50253.44,,
2013-12-31,2013-12-31,52510.01,,
2014-01-31,2014-01-31,52062.79,,
2014-02-28,2014-02-28,62845.34,,
2014-03-31,2014-03-31,50128.29,,
2014-04-30,2014-04-30,51000.3,,
2014-05-31,2014-05-31,51267.55,,
2014-06-30,2014-06-30,51461.13,,
2014-07-31,2014-07-31,53096.28,,
2014-08-31,2014-08-31,51187.45,,
2014-09-30,2014-09-30,53866.62,,
2014-10-31,2014-10-31,52869.86,,
2014-11-30,2014-11-30,51479.06,,
2014-12-31,2014-12-31,52189.15,,
2015-01-31,2015-01-31,58287.76,,
2015-02-28,2015-02-28,47707.15,,
2015-03-31,2015-03-31,51166.24,,
2015-04-30,2015-04-30,47686.76,,
2015-05-31,2015-05-31,48794.77,,
2015-06-30,2015-06-30,49290.8,,
2015-07-31,2015-07-31,54638.86,,
2015-08-31,2015-08-31,51535.9,,
2015-09-30,2015-09-30,49817.65,,
2015-10-31,2015-10-31,49172.02,,
2015-11-30,2015-11-30,50190.14,,
2015-12-31,2015-12-31,49098.6,,
2016-01-31,2016-01-31,52658.83,,
2016-02-29,2016-02-29,48155.5,,
2016-03-31,2016-03-31,47295.59,,
2016-04-30,2016-04-30,50939.99,,
2016-05-31,2016-05-31,51044.37,,
2016-06-30,2016-06-30,52577.4,,
2016-07-31,2016-07-31,50700.55,,
2016-08-31,2016-08-31,50104.43,,
2016-09-30,2016-09-30,51418.11,,
2016-10-31,2016-10-31,52407.24,,
2016-11-30,2016-11-30,51987.94,,
2016-12-31,2016-12-31,51902.28,,
2017-01-31,2017-01-31,53899.86,,
2017-02-28,2017-02-28,54287.67,,
2017-03-31,2017-03-31,54899.09,,
2017-04-30,2017-04-30,55874.92,,
2017-05-31,2017-05-31,53550.98,,
2017-06-30,2017-06-30,51977.68,,
2017-07-31,2017-07-31,51215.54,,
2017-08-31,2017-08-31,53798.19,,
