Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,36188.6,,
2003-07-31,2003-07-31,35960.01,,
2003-08-31,2003-08-31,35451.87,,
2003-09-30,2003-09-30,36038.46,,
2003-10-31,2003-10-31,34798.82,,
2003-11-30,2003-11-30,34511.85,,
2003-12-31,2003-12-31,34253.1,,
2004-01-31,2004-01-31,35943.35,,
2004-02-29,2004-02-29,36293.74,,
2004-03-31,2004-03-31,36077.81,,
2004-04-30,2004-04-30,36880.07,,
2004-05-31,2004-05-31,37052.31,,
2004-06-30,2004-06-30,36756.99,,
2004-07-31,2004-07-31,37780.27,,
2004-08-31,2004-08-31,37206.58,,
2004-09-30,2004-09-30,36868.31,,
2004-10-31,2004-10-31,36371.61,,
2004-11-30,2004-11-30,35694.36,,
2004-12-31,2004-12-31,35069.8,,
2005-01-31,2005-01-31,37375.36,,
2005-02-28,2005-02-28,37400.52,,
2005-03-31,2005-03-31,38063.27,,
2005-04-30,2005-04-30,39074.18,,
2005-05-31,2005-05-31,39526.97,,
2005-06-30,2005-06-30,39704.99,,
2005-07-31,2005-07-31,40623.32,,
2005-08-31,2005-08-31,41441.64,,
2005-09-30,2005-09-30,41452.61,,
2005-10-31,2005-10-31,41857.16,,
2005-11-30,2005-11-30,42091.76,,
2005-12-31,2005-12-31,42146.44,,
2006-01-31,2006-01-31,42790.31,,
2006-02-28,2006-02-28,43350.23,,
2006-03-31,2006-03-31,44123.94,,
2006-04-30,2006-04-30,43249.04,,
2006-05-31,2006-05-31,43372.83,,
2006-06-30,2006-06-30,43483.21,,
2006-07-31,2006-07-31,44222.45,,
2006-08-31,2006-08-31,43771.01,,
2006-09-30,2006-09-30,44360.19,,
2006-10-31,2006-10-31,44627.28,,
2006-11-30,2006-11-30,45581.99,,
2006-12-31,2006-12-31,47083.93,,
2007-01-31,2007-01-31,48247.5,,
2007-02-28,2007-02-28,50517.04,,
2007-03-31,2007-03-31,50803.22,,
2007-04-30,2007-04-30,51513.28,,
2007-05-31,2007-05-31,52468.2,,
2007-06-30,2007-06-30,52933.77,,
2007-07-31,2007-07-31,54927.42,,
2007-08-31,2007-08-31,55244.47,,
2007-09-30,2007-09-30,54371.99,,
2007-10-31,2007-10-31,53492.0,,
2007-11-30,2007-11-30,55787.83,,
2007-12-31,2007-12-31,57635.24,,
2008-01-31,2008-01-31,58160.65,,
2008-02-29,2008-02-29,58245.1,,
2008-03-31,2008-03-31,61080.77,,
2008-04-30,2008-04-30,60805.58,,
2008-05-31,2008-05-31,62405.27,,
2008-06-30,2008-06-30,63157.18,,
2008-07-31,2008-07-31,63852.45,,
2008-08-31,2008-08-31,65933.54,,
2008-09-30,2008-09-30,65467.29,,
2008-10-31,2008-10-31,69002.3,,
2008-11-30,2008-11-30,69308.6,,
2008-12-31,2008-12-31,67671.0,,
2009-01-31,2009-01-31,65039.06,,
2009-02-28,2009-02-28,64692.8,,
2009-03-31,2009-03-31,64566.47,,
2009-04-30,2009-04-30,60732.11,,
2009-05-31,2009-05-31,57339.64,,
2009-06-30,2009-06-30,58310.21,,
2009-07-31,2009-07-31,56786.82,,
2009-08-31,2009-08-31,54404.43,,
2009-09-30,2009-09-30,52640.63,,
2009-10-31,2009-10-31,51387.34,,
2009-11-30,2009-11-30,49992.61,,
2009-12-31,2009-12-31,50557.2,,
2010-01-31,2010-01-31,50215.63,,
2010-02-28,2010-02-28,50841.59,,
2010-03-31,2010-03-31,50604.81,,
2010-04-30,2010-04-30,50701.65,,
2010-05-31,2010-05-31,51512.37,,
2010-06-30,2010-06-30,52448.66,,
2010-07-31,2010-07-31,51964.47,,
2010-08-31,2010-08-31,53123.96,,
2010-09-30,2010-09-30,51685.96,,
2010-10-31,2010-10-31,51579.51,,
2010-11-30,2010-11-30,51518.35,,
2010-12-31,2010-12-31,51058.11,,
2011-01-31,2011-01-31,51198.01,,
2011-02-28,2011-02-28,51449.99,,
2011-03-31,2011-03-31,56481.35,,
2011-04-30,2011-04-30,56634.37,,
2011-05-31,2011-05-31,56825.58,,
2011-06-30,2011-06-30,58689.6,,
2011-07-31,2011-07-31,59571.14,,
2011-08-31,2011-08-31,59808.53,,
2011-09-30,2011-09-30,61864.16,,
2011-10-31,2011-10-31,61683.61,,
2011-11-30,2011-11-30,62516.58,,
2011-12-31,2011-12-31,61587.56,,
2012-01-31,2012-01-31,61013.72,,
2012-02-29,2012-02-29,61572.96,,
2012-03-31,2012-03-31,62750.93,,
2012-04-30,2012-04-30,62642.58,,
2012-05-31,2012-05-31,62981.41,,
2012-06-30,2012-06-30,64431.39,,
