Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,149816.0,,
2003-07-31,2003-07-31,148957.0,,
2003-08-31,2003-08-31,145108.0,,
2003-09-30,2003-09-30,141988.0,,
2003-10-31,2003-10-31,124427.0,,
2003-11-30,2003-11-30,115126.0,,
2003-12-31,2003-12-31,112870.0,,
2004-01-31,2004-01-31,85238.0,,
2004-02-29,2004-02-29,94777.0,,
2004-03-31,2004-03-31,149605.0,,
2004-04-30,2004-04-30,160195.0,,
2004-05-31,2004-05-31,166136.0,,
2004-06-30,2004-06-30,154134.0,,
2004-07-31,2004-07-31,136563.0,,
2004-08-31,2004-08-31,136187.0,,
2004-09-30,2004-09-30,130699.0,,
2004-10-31,2004-10-31,123552.0,,
2004-11-30,2004-11-30,120287.0,,
2004-12-31,2004-12-31,117822.0,,
2005-01-31,2005-01-31,82019.0,,
2005-02-28,2005-02-28,106064.0,,
2005-03-31,2005-03-31,148296.0,,
2005-04-30,2005-04-30,167441.0,,
2005-05-31,2005-05-31,161865.0,,
2005-06-30,2005-06-30,166024.0,,
2005-07-31,2005-07-31,158796.0,,
2005-08-31,2005-08-31,146862.0,,
2005-09-30,2005-09-30,128431.0,,
2005-10-31,2005-10-31,118993.0,,
2005-11-30,2005-11-30,124111.0,,
2005-12-31,2005-12-31,121408.0,,
2006-01-31,2006-01-31,89422.0,,
2006-02-28,2006-02-28,100740.0,,
2006-03-31,2006-03-31,155990.0,,
2006-04-30,2006-04-30,159436.0,,
2006-05-31,2006-05-31,173291.0,,
2006-06-30,2006-06-30,162029.0,,
2006-07-31,2006-07-31,145521.0,,
2006-08-31,2006-08-31,157868.0,,
2006-09-30,2006-09-30,140065.0,,
2006-10-31,2006-10-31,123076.0,,
2006-11-30,2006-11-30,127732.0,,
2006-12-31,2006-12-31,131157.0,,
2007-01-31,2007-01-31,94413.0,,
2007-02-28,2007-02-28,99877.0,,
2007-03-31,2007-03-31,154450.0,,
2007-04-30,2007-04-30,172428.0,,
2007-05-31,2007-05-31,189076.0,,
2007-06-30,2007-06-30,172487.0,,
2007-07-31,2007-07-31,145370.0,,
2007-08-31,2007-08-31,160883.0,,
2007-09-30,2007-09-30,134516.0,,
2007-10-31,2007-10-31,124072.0,,
2007-11-30,2007-11-30,120012.0,,
2007-12-31,2007-12-31,122954.0,,
2008-01-31,2008-01-31,105546.0,,
2008-02-29,2008-02-29,113877.0,,
2008-03-31,2008-03-31,153505.0,,
2008-04-30,2008-04-30,179289.0,,
2008-05-31,2008-05-31,188137.0,,
2008-06-30,2008-06-30,163064.0,,
2008-07-31,2008-07-31,152704.0,,
2008-08-31,2008-08-31,149607.0,,
2008-09-30,2008-09-30,137479.0,,
2008-10-31,2008-10-31,126064.0,,
2008-11-30,2008-11-30,107709.0,,
2008-12-31,2008-12-31,97164.0,,
2009-01-31,2009-01-31,78817.0,,
2009-02-28,2009-02-28,82039.0,,
2009-03-31,2009-03-31,129831.0,,
2009-04-30,2009-04-30,146026.0,,
2009-05-31,2009-05-31,156025.0,,
2009-06-30,2009-06-30,140442.0,,
2009-07-31,2009-07-31,141621.0,,
2009-08-31,2009-08-31,136971.0,,
2009-09-30,2009-09-30,131275.0,,
2009-10-31,2009-10-31,123607.0,,
2009-11-30,2009-11-30,104589.0,,
2009-12-31,2009-12-31,113613.0,,
2010-01-31,2010-01-31,83512.0,,
2010-02-28,2010-02-28,101788.0,,
2010-03-31,2010-03-31,148052.0,,
2010-04-30,2010-04-30,152187.0,,
2010-05-31,2010-05-31,157082.0,,
2010-06-30,2010-06-30,156891.0,,
2010-07-31,2010-07-31,150800.0,,
2010-08-31,2010-08-31,138210.0,,
2010-09-30,2010-09-30,137349.0,,
2010-10-31,2010-10-31,125731.0,,
2010-11-30,2010-11-30,118521.0,,
2010-12-31,2010-12-31,114376.0,,
2011-01-31,2011-01-31,86320.0,,
2011-02-28,2011-02-28,98147.0,,
2011-03-31,2011-03-31,156452.0,,
2011-04-30,2011-04-30,162613.0,,
2011-05-31,2011-05-31,152064.0,,
2011-06-30,2011-06-30,168119.0,,
2011-07-31,2011-07-31,144171.0,,
2011-08-31,2011-08-31,143653.0,,
2011-09-30,2011-09-30,137660.0,,
2011-10-31,2011-10-31,129049.0,,
2011-11-30,2011-11-30,124466.0,,
2011-12-31,2011-12-31,117863.0,,
2012-01-31,2012-01-31,100448.0,,
2012-02-29,2012-02-29,109817.0,,
2012-03-31,2012-03-31,161688.0,,
2012-04-30,2012-04-30,161372.0,,
2012-05-31,2012-05-31,180368.0,,
2012-06-30,2012-06-30,173190.0,,
2012-07-31,2012-07-31,151451.0,,
2012-08-31,2012-08-31,152577.0,,
2012-09-30,2012-09-30,146270.0,,
2012-10-31,2012-10-31,138892.0,,
2012-11-30,2012-11-30,128849.0,,
2012-12-31,2012-12-31,111881.0,,
2013-01-31,2013-01-31,97872.0,,
2013-02-28,2013-02-28,105811.0,,
2013-03-31,2013-03-31,159953.0,,
2013-04-30,2013-04-30,175181.0,,
2013-05-31,2013-05-31,189030.0,,
2013-06-30,2013-06-30,174439.0,,
2013-07-31,2013-07-31,161835.0,,
2013-08-31,2013-08-31,161371.0,,
2013-09-30,2013-09-30,151644.0,,
2013-10-31,2013-10-31,148181.0,,
2013-11-30,2013-11-30,135776.0,,
2013-12-31,2013-12-31,115368.0,,
2014-01-31,2014-01-31,97624.0,,
2014-02-28,2014-02-28,107501.0,,
2014-03-31,2014-03-31,160655.0,,
2014-04-30,2014-04-30,181391.0,,
2014-05-31,2014-05-31,198479.0,,
2014-06-30,2014-06-30,179556.0,,
2014-07-31,2014-07-31,180682.0,,
2014-08-31,2014-08-31,174757.0,,
2014-09-30,2014-09-30,172069.0,,
2014-10-31,2014-10-31,159144.0,,
2014-11-30,2014-11-30,141763.0,,
2014-12-31,2014-12-31,134829.0,,
2015-01-31,2015-01-31,101597.0,,
2015-02-28,2015-02-28,111933.0,,
2015-03-31,2015-03-31,164402.0,,
2015-04-30,2015-04-30,192647.0,,
2015-05-31,2015-05-31,201603.0,,
2015-06-30,2015-06-30,181780.0,,
2015-07-31,2015-07-31,181324.0,,
2015-08-31,2015-08-31,178591.0,,
2015-09-30,2015-09-30,178738.0,,
2015-10-31,2015-10-31,166521.0,,
2015-11-30,2015-11-30,148163.0,,
2015-12-31,2015-12-31,132218.0,,
2016-01-31,2016-01-31,110686.0,,
2016-02-29,2016-02-29,121933.0,,
2016-03-31,2016-03-31,178227.0,,
2016-04-30,2016-04-30,203557.0,,
2016-05-31,2016-05-31,198425.0,,
2016-06-30,2016-06-30,193818.0,,
2016-07-31,2016-07-31,175846.0,,
2016-08-31,2016-08-31,174976.0,,
2016-09-30,2016-09-30,177191.0,,
2016-10-31,2016-10-31,157414.0,,
2016-11-30,2016-11-30,163320.0,,
2016-12-31,2016-12-31,128352.0,,
2017-01-31,2017-01-31,112996.0,,
2017-02-28,2017-02-28,125284.0,,
2017-03-31,2017-03-31,190744.0,,
2017-04-30,2017-04-30,200291.0,,
2017-05-31,2017-05-31,220436.0,,
2017-06-30,2017-06-30,207008.0,,
2017-07-31,2017-07-31,184809.0,,
2017-08-31,2017-08-31,187208.0,,
2017-09-30,2017-09-30,190640.0,,
2017-10-31,2017-10-31,167892.0,,
2017-11-30,2017-11-30,161903.0,,
2017-12-31,2017-12-31,127734.0,,
2018-01-31,2018-01-31,120179.0,,
2018-02-28,2018-02-28,128399.0,,
2018-03-31,2018-03-31,190863.0,,
2018-04-30,2018-04-30,195838.0,,
2018-05-31,2018-05-31,220858.0,,
2018-06-30,2018-06-30,206988.0,,
2018-07-31,2018-07-31,179754.0,,
2018-08-31,2018-08-31,185349.0,,
2018-09-30,2018-09-30,181516.0,,
