Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1237.72,,
2003-09-30,2003-09-30,1258.296,,
2003-12-31,2003-12-31,1272.884,,
2004-03-31,2004-03-31,1296.216,,
2004-06-30,2004-06-30,1328.148,,
2004-09-30,2004-09-30,1351.48,,
2004-12-31,2004-12-31,1367.08,,
2005-03-31,2005-03-31,1380.324,,
2005-06-30,2005-06-30,1399.608,,
2005-09-30,2005-09-30,1436.992,,
2005-12-31,2005-12-31,1469.436,,
2006-03-31,2006-03-31,1476.0,,
2006-06-30,2006-06-30,1490.716,,
2006-09-30,2006-09-30,1504.936,,
2006-12-31,2006-12-31,1514.764,,
2007-03-31,2007-03-31,1547.276,,
2007-06-30,2007-06-30,1576.612,,
2007-09-30,2007-09-30,1582.248,,
2007-12-31,2007-12-31,1604.508,,
2008-03-31,2008-03-31,1637.296,,
2008-06-30,2008-06-30,1677.448,,
2008-09-30,2008-09-30,1694.512,,
2008-12-31,2008-12-31,1618.908,,
2009-03-31,2009-03-31,1557.232,,
2009-06-30,2009-06-30,1548.488,,
2009-09-30,2009-09-30,1567.924,,
2009-12-31,2009-12-31,1611.692,,
2010-03-31,2010-03-31,1644.032,,
2010-06-30,2010-06-30,1653.24,,
2010-09-30,2010-09-30,1665.372,,
2010-12-31,2010-12-31,1701.548,,
2011-03-31,2011-03-31,1737.952,,
2011-06-30,2011-06-30,1759.852,,
2011-09-30,2011-09-30,1785.748,,
2011-12-31,2011-12-31,1812.7,,
2012-03-31,2012-03-31,1815.12,,
2012-06-30,2012-06-30,1818.984,,
2012-09-30,2012-09-30,1830.636,,
2012-12-31,2012-12-31,1844.064,,
2013-03-31,2013-03-31,1876.844,,
2013-06-30,2013-06-30,1886.592,,
2013-09-30,2013-09-30,1912.428,,
2013-12-31,2013-12-31,1933.124,,
2014-03-31,2014-03-31,1963.452,,
2014-06-30,2014-06-30,1988.404,,
2014-09-30,2014-09-30,2013.792,,
2014-12-31,2014-12-31,2013.944,,
2015-03-31,2015-03-31,1984.3,,
2015-06-30,2015-06-30,1984.92,,
2015-09-30,2015-09-30,2000.864,,
2015-12-31,2015-12-31,1991.68,,
2016-03-31,2016-03-31,1998.42,,
2016-06-30,2016-06-30,2002.152,,
2016-09-30,2016-09-30,2035.42,,
2016-12-31,2016-12-31,2066.148,,
2017-03-31,2017-03-31,2107.948,,
2017-06-30,2017-06-30,2130.02,,
2017-09-30,2017-09-30,2141.752,,
2017-12-31,2017-12-31,2182.844,,
2018-03-31,2018-03-31,2207.068,,
2018-06-30,2018-06-30,2240.068,,
2018-09-30,2018-09-30,2258.952,,
2018-12-31,2018-12-31,2236.612,,
2019-03-31,2019-03-31,2268.912,,
2019-06-30,2019-06-30,2312.68,,
2019-09-30,2019-09-30,2322.476,,
2019-12-31,2019-12-31,2350.184,,
2020-03-31,2020-03-31,2288.016,,
2020-06-30,2020-06-30,2015.932,,
2020-09-30,2020-09-30,2246.484,,
2020-12-31,2020-12-31,2331.676,,
2021-03-31,2021-03-31,2431.388,,
2021-06-30,2021-06-30,2488.016,,
2021-09-30,2021-09-30,2563.304,,
2021-12-31,2021-12-31,2660.564,,
2022-03-31,2022-03-31,2775.108,,
2022-06-30,2022-06-30,2890.184,,
2022-09-30,2022-09-30,2872.008,,
2022-12-31,2022-12-31,2866.46,,
2023-03-31,2023-03-31,2883.136,,
2023-06-30,2023-06-30,2904.42,,
2023-09-30,2023-09-30,2951.168,,
2023-12-31,2023-12-31,2996.516,,
2024-03-31,2024-03-31,3004.688,,
2024-06-30,2024-06-30,3055.252,,
2024-09-30,2024-09-30,3092.788,,
2024-12-31,2024-12-31,3136.656,,
2025-03-31,2025-03-31,3174.264,,
