Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,4.37,,
2003-09-30,2003-09-30,4.497,,
2003-12-31,2003-12-31,3.816,,
2004-03-31,2004-03-31,3.69,,
2004-06-30,2004-06-30,7.306,,
2004-09-30,2004-09-30,7.406,,
2004-12-31,2004-12-31,7.4,,
2005-03-31,2005-03-31,6.489,,
2005-06-30,2005-06-30,5.38,,
2005-09-30,2005-09-30,6.327,,
2005-12-31,2005-12-31,7.487,,
2006-03-31,2006-03-31,6.931,,
2006-06-30,2006-06-30,6.51,,
2006-09-30,2006-09-30,4.728,,
2006-12-31,2006-12-31,3.085,,
2007-03-31,2007-03-31,4.829,,
2007-06-30,2007-06-30,5.762,,
2007-09-30,2007-09-30,5.137,,
2007-12-31,2007-12-31,5.925,,
2008-03-31,2008-03-31,5.818,,
2008-06-30,2008-06-30,6.396,,
2008-09-30,2008-09-30,7.095,,
2008-12-31,2008-12-31,0.897,,
2009-03-31,2009-03-31,-4.89,,
2009-06-30,2009-06-30,-7.688,,
2009-09-30,2009-09-30,-7.47,,
2009-12-31,2009-12-31,-0.446,,
2010-03-31,2010-03-31,5.574,,
2010-06-30,2010-06-30,6.765,,
2010-09-30,2010-09-30,6.215,,
2010-12-31,2010-12-31,5.575,,
2011-03-31,2011-03-31,5.713,,
2011-06-30,2011-06-30,6.449,,
2011-09-30,2011-09-30,7.228,,
2011-12-31,2011-12-31,6.532,,
2012-03-31,2012-03-31,4.44,,
2012-06-30,2012-06-30,3.36,,
2012-09-30,2012-09-30,2.514,,
2012-12-31,2012-12-31,1.73,,
2013-03-31,2013-03-31,3.401,,
2013-06-30,2013-06-30,3.717,,
2013-09-30,2013-09-30,4.468,,
2013-12-31,2013-12-31,4.83,,
2014-03-31,2014-03-31,4.615,,
2014-06-30,2014-06-30,5.397,,
2014-09-30,2014-09-30,5.3,,
2014-12-31,2014-12-31,4.181,,
2015-03-31,2015-03-31,1.062,,
2015-06-30,2015-06-30,-0.175,,
2015-09-30,2015-09-30,-0.642,,
2015-12-31,2015-12-31,-1.105,,
2016-03-31,2016-03-31,0.712,,
2016-06-30,2016-06-30,0.868,,
2016-09-30,2016-09-30,1.727,,
2016-12-31,2016-12-31,3.739,,
2017-03-31,2017-03-31,5.481,,
2017-06-30,2017-06-30,6.387,,
2017-09-30,2017-09-30,5.224,,
2017-12-31,2017-12-31,5.648,,
2018-03-31,2018-03-31,4.702,,
2018-06-30,2018-06-30,5.167,,
2018-09-30,2018-09-30,5.472,,
2018-12-31,2018-12-31,2.463,,
2019-03-31,2019-03-31,2.802,,
2019-06-30,2019-06-30,3.242,,
2019-09-30,2019-09-30,2.812,,
2019-12-31,2019-12-31,5.078,,
2020-03-31,2020-03-31,0.842,,
2020-06-30,2020-06-30,-12.831,,
2020-09-30,2020-09-30,-3.272,,
2020-12-31,2020-12-31,-0.788,,
2021-03-31,2021-03-31,6.266,,
2021-06-30,2021-06-30,23.418,,
2021-09-30,2021-09-30,14.103,,
2021-12-31,2021-12-31,14.105,,
2022-03-31,2022-03-31,14.137,,
2022-06-30,2022-06-30,16.164,,
2022-09-30,2022-09-30,12.043,,
2022-12-31,2022-12-31,7.739,,
2023-03-31,2023-03-31,3.893,,
2023-06-30,2023-06-30,0.493,,
2023-09-30,2023-09-30,2.756,,
2023-12-31,2023-12-31,4.537,,
2024-03-31,2024-03-31,4.216,,
2024-06-30,2024-06-30,5.193,,
2024-09-30,2024-09-30,4.799,,
2024-12-31,2024-12-31,4.677,,
2025-03-31,2025-03-31,5.644,,
