Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,14.03,,
2003-09-30,2003-09-30,14.08667,,
2003-12-31,2003-12-31,5.433333,,
2004-03-31,2004-03-31,-22.18667,,
2004-06-30,2004-06-30,-15.35667,,
2004-09-30,2004-09-30,-27.16333,,
2004-12-31,2004-12-31,-35.34333,,
2005-03-31,2005-03-31,-23.75667,,
2005-06-30,2005-06-30,-33.65667,,
2005-09-30,2005-09-30,-9.673333,,
2005-12-31,2005-12-31,-6.113333,,
2006-03-31,2006-03-31,-9.613333,,
2006-06-30,2006-06-30,-9.233334,,
2006-09-30,2006-09-30,12.95667,,
2006-12-31,2006-12-31,0.743333,,
2007-03-31,2007-03-31,-12.96333,,
2007-06-30,2007-06-30,-20.03667,,
2007-09-30,2007-09-30,38.40334,,
2007-12-31,2007-12-31,53.76333,,
2008-03-31,2008-03-31,37.09667,,
2008-06-30,2008-06-30,31.463333,,
2008-09-30,2008-09-30,53.010002,,
2008-12-31,2008-12-31,71.51,,
2009-03-31,2009-03-31,38.886665,,
2009-06-30,2009-06-30,24.199999,,
2009-09-30,2009-09-30,7.84,,
2009-12-31,2009-12-31,-2.696667,,
2010-03-31,2010-03-31,-12.583333,,
2010-06-30,2010-06-30,-12.726666,,
2010-09-30,2010-09-30,-14.223333,,
2010-12-31,2010-12-31,-25.186666,,
2011-03-31,2011-03-31,-14.343333,,
2011-06-30,2011-06-30,-42.21,,
2011-09-30,2011-09-30,-20.28,,
2011-12-31,2011-12-31,-14.67,,
2012-03-31,2012-03-31,-12.86667,,
2012-06-30,2012-06-30,-8.136667,,
2012-09-30,2012-09-30,-15.80333,,
2012-12-31,2012-12-31,-5.126667,,
2013-03-31,2013-03-31,-2.043333,,
2013-06-30,2013-06-30,-10.04667,,
2013-09-30,2013-09-30,-2.213333,,
2013-12-31,2013-12-31,-4.166667,,
2014-03-31,2014-03-31,-7.0,,
2014-06-30,2014-06-30,-12.45,,
2014-09-30,2014-09-30,-0.49,,
2014-12-31,2014-12-31,-4.92,,
2015-03-31,2015-03-31,17.84,,
2015-06-30,2015-06-30,2.8,,
2015-09-30,2015-09-30,8.66,,
2015-12-31,2015-12-31,6.39,,
2016-03-31,2016-03-31,7.6,,
2016-06-30,2016-06-30,35.18,,
2016-09-30,2016-09-30,6.43,,
2016-12-31,2016-12-31,-4.96,,
2017-03-31,2017-03-31,-2.671534,,
2017-06-30,2017-06-30,-4.217466,,
2017-09-30,2017-09-30,-0.9,,
2017-12-31,2017-12-31,-4.0,,
2018-03-31,2018-03-31,-1.1,,
2018-06-30,2018-06-30,-8.78,,
2018-09-30,2018-09-30,-13.11201,,
2018-12-31,2018-12-31,-12.90555,,
2019-03-31,2019-03-31,0.45755,,
2019-06-30,2019-06-30,-6.847359,,
2019-09-30,2019-09-30,5.26444,,
2019-12-31,2019-12-31,-14.64868,,
2020-03-31,2020-03-31,-6.871168,,
2020-06-30,2020-06-30,12.17584,,
2020-09-30,2020-09-30,-2.326105,,
2020-12-31,2020-12-31,-3.003799,,
2021-03-31,2021-03-31,-6.976037,,
2021-06-30,2021-06-30,-23.49,,
2021-09-30,2021-09-30,-19.02,,
2021-12-31,2021-12-31,-10.07,,
2022-03-31,2022-03-31,-4.31,,
2022-06-30,2022-06-30,-2.86,,
2022-09-30,2022-09-30,-6.62,,
2022-12-31,2022-12-31,-3.12,,
2023-03-31,2023-03-31,10.19,,
2023-06-30,2023-06-30,4.24,,
2023-09-30,2023-09-30,8.93,,
2023-12-31,2023-12-31,0.37,,
2024-03-31,2024-03-31,0.72,,
2024-06-30,2024-06-30,16.309999,,
2024-09-30,2024-09-30,3.43,,
2024-12-31,2024-12-31,-0.73,,
2025-03-31,2025-03-31,6.08,,
