Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1.0498,,
2003-07-31,2003-07-31,1.5524,,
2003-08-31,2003-08-31,2.1438,,
2003-09-30,2003-09-30,2.7634,,
2003-10-31,2003-10-31,3.3607,,
2003-11-30,2003-11-30,3.8954,,
2003-12-31,2003-12-31,4.3458,,
2004-01-31,2004-01-31,4.714,,
2004-02-29,2004-02-29,4.9927,,
2004-03-31,2004-03-31,5.1389,,
2004-04-30,2004-04-30,5.1122,,
2004-05-31,2004-05-31,4.9165,,
2004-06-30,2004-06-30,4.5935,,
2004-07-31,2004-07-31,4.1679,,
2004-08-31,2004-08-31,3.6891,,
2004-09-30,2004-09-30,3.1994,,
2004-10-31,2004-10-31,2.7461,,
2004-11-30,2004-11-30,2.3556,,
2004-12-31,2004-12-31,2.0437,,
2005-01-31,2005-01-31,1.7948,,
2005-02-28,2005-02-28,1.5982,,
2005-03-31,2005-03-31,1.4531,,
2005-04-30,2005-04-30,1.3731,,
2005-05-31,2005-05-31,1.3729,,
2005-06-30,2005-06-30,1.4301,,
2005-07-31,2005-07-31,1.5269,,
2005-08-31,2005-08-31,1.656,,
2005-09-30,2005-09-30,1.8113,,
2005-10-31,2005-10-31,1.982,,
2005-11-30,2005-11-30,2.1468,,
2005-12-31,2005-12-31,2.2842,,
2006-01-31,2006-01-31,2.3943,,
2006-02-28,2006-02-28,2.4734,,
2006-03-31,2006-03-31,2.5235,,
2006-04-30,2006-04-30,2.5372,,
2006-05-31,2006-05-31,2.4956,,
2006-06-30,2006-06-30,2.4233,,
2006-07-31,2006-07-31,2.3343,,
2006-08-31,2006-08-31,2.241,,
2006-09-30,2006-09-30,2.1413,,
2006-10-31,2006-10-31,2.0512,,
2006-11-30,2006-11-30,1.9837,,
2006-12-31,2006-12-31,1.9433,,
2007-01-31,2007-01-31,1.9124,,
2007-02-28,2007-02-28,1.9174,,
2007-03-31,2007-03-31,1.9586,,
2007-04-30,2007-04-30,2.028,,
2007-05-31,2007-05-31,2.1111,,
2007-06-30,2007-06-30,2.1718,,
2007-07-31,2007-07-31,2.1963,,
2007-08-31,2007-08-31,2.1699,,
2007-09-30,2007-09-30,2.0861,,
2007-10-31,2007-10-31,1.9266,,
2007-11-30,2007-11-30,1.7017,,
2007-12-31,2007-12-31,1.4509,,
2008-01-31,2008-01-31,1.2436,,
2008-02-29,2008-02-29,1.0776,,
2008-03-31,2008-03-31,0.9235,,
2008-04-30,2008-04-30,0.7558,,
2008-05-31,2008-05-31,0.5402,,
2008-06-30,2008-06-30,0.2327,,
2008-07-31,2008-07-31,-0.1959,,
2008-08-31,2008-08-31,-0.7608,,
2008-09-30,2008-09-30,-1.4402,,
2008-10-31,2008-10-31,-2.1521,,
2008-11-30,2008-11-30,-2.7915,,
2008-12-31,2008-12-31,-3.272,,
2009-01-31,2009-01-31,-3.5334,,
2009-02-28,2009-02-28,-3.5465,,
2009-03-31,2009-03-31,-3.2893,,
2009-04-30,2009-04-30,-2.7652,,
2009-05-31,2009-05-31,-2.0041,,
2009-06-30,2009-06-30,-1.0181,,
2009-07-31,2009-07-31,0.1613,,
2009-08-31,2009-08-31,1.4835,,
2009-09-30,2009-09-30,2.8774,,
2009-10-31,2009-10-31,4.2435,,
2009-11-30,2009-11-30,5.471,,
2009-12-31,2009-12-31,6.4656,,
2010-01-31,2010-01-31,7.1179,,
2010-02-28,2010-02-28,7.3716,,
2010-03-31,2010-03-31,7.2396,,
2010-04-30,2010-04-30,6.7502,,
2010-05-31,2010-05-31,6.0058,,
2010-06-30,2010-06-30,5.1074,,
