Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-29,-1.0,0.3,0.24
2003-07-31,2003-09-03,1.3,0.5,0.48
2003-08-31,2003-09-30,0.3,0.55,0.52
2003-09-30,2003-10-29,0.2,-0.35,-0.33
2003-10-31,2003-11-26,-0.9,-0.5,-0.45
2003-11-30,2004-01-05,-0.4,0.1,0.1
2003-12-31,2004-01-29,0.3,0.3,0.32
2004-01-31,2004-03-02,0.4,0.3,0.24
2004-02-29,2004-03-31,1.8,0.45,0.6
2004-03-31,2004-04-29,0.5,0.6,0.69
2004-04-30,2004-05-28,0.8,0.8,0.88
2004-05-31,2004-06-29,1.5,1.2,1.28
2004-06-30,2004-07-29,-0.5,-0.5,-0.42
2004-07-31,2004-08-30,-0.4,-0.5,-0.39
2004-08-31,2004-09-29,0.1,0.0,0.04
2004-09-30,2004-10-28,-0.6,-0.5,-0.36
2004-10-31,2004-12-01,-0.5,0.0,0.03
2004-11-30,2005-01-05,-1.7,-1.0,-0.98
2004-12-31,2005-01-28,0.3,0.2,0.18
2005-01-31,2005-03-01,0.5,0.3,0.35
2005-02-28,2005-03-30,1.1,0.9,0.93
2005-03-31,2005-04-28,0.3,0.7,0.75
2005-04-30,2005-05-30,0.5,0.6,0.64
2005-05-31,2005-06-30,0.0,0.05,-0.03
2005-06-30,2005-07-28,0.0,0.4,0.39
2005-07-31,2005-08-30,-0.4,0.3,0.19
2005-08-31,2005-09-29,0.3,0.45,0.62
2005-09-30,2005-10-28,0.4,0.5,0.54
2005-10-31,2005-11-29,-0.1,0.05,0.03
2005-11-30,2006-01-04,-0.6,-0.5,-0.69
2005-12-31,2006-01-30,-0.3,0.35,0.29
2006-01-31,2006-03-01,0.5,0.2,0.1
2006-02-28,2006-03-30,-0.4,-0.4,-0.39
2006-03-31,2006-05-01,0.8,0.35,0.39
2006-04-30,2006-05-30,1.3,0.5,0.5
2006-05-31,2006-06-29,0.3,0.2,-0.02
2006-06-30,2006-07-28,-0.4,0.1,0.13
2006-07-31,2006-08-30,1.7,0.6,0.62
2006-08-31,2006-09-28,-0.5,0.0,-0.05
