Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-29,1.2,1.75,1.94
2003-07-31,2003-09-03,-1.5,-0.45,-0.52
2003-08-31,2003-09-30,1.1,0.75,0.53
2003-09-30,2003-10-29,-3.1,-1.5,-1.33
2003-10-31,2003-11-26,1.1,0.2,0.04
2003-11-30,2004-01-05,1.5,1.0,1.23
2003-12-31,2004-01-29,2.4,2.0,2.31
2004-01-31,2004-03-02,2.4,2.0,1.99
2004-02-29,2004-03-31,3.4,1.85,1.65
2004-03-31,2004-04-29,4.5,2.05,2.14
2004-04-30,2004-05-28,-0.2,3.5,3.16
2004-05-31,2004-06-29,2.9,3.1,3.24
2004-06-30,2004-07-29,-1.7,-1.0,-0.75
2004-07-31,2004-08-30,0.9,1.0,0.57
2004-08-31,2004-09-29,3.3,0.8,0.85
2004-09-30,2004-10-28,0.3,1.5,0.85
2004-10-31,2004-12-01,3.8,2.5,2.37
2004-11-30,2005-01-05,-5.3,-2.0,-2.01
2004-12-31,2005-01-28,-4.3,-0.3,-0.51
2005-01-31,2005-03-01,4.5,1.85,1.7
2005-02-28,2005-03-30,3.1,2.5,2.46
2005-03-31,2005-04-28,6.2,3.5,3.6
2005-04-30,2005-05-30,-1.6,1.0,1.4
2005-05-31,2005-06-30,-3.1,-1.0,-1.44
2005-06-30,2005-07-28,5.4,2.75,2.68
2005-07-31,2005-08-30,1.2,2.0,2.03
2005-08-31,2005-09-29,4.4,3.75,3.75
2005-09-30,2005-10-28,-0.3,4.0,4.11
2005-10-31,2005-11-29,-1.4,-0.5,-0.11
2005-11-30,2006-01-04,-1.7,-2.0,-2.64
2005-12-31,2006-01-30,-1.2,1.7,1.97
2006-01-31,2006-03-01,5.0,2.8,2.28
2006-02-28,2006-03-30,-3.2,-2.2,-2.33
2006-03-31,2006-05-01,0.8,1.5,1.22
2006-04-30,2006-05-30,5.7,2.0,2.06
2006-05-31,2006-06-29,5.6,1.0,1.56
2006-06-30,2006-07-28,-2.5,-0.5,-0.22
2006-07-31,2006-08-30,5.2,2.0,1.85
2006-08-31,2006-09-28,-3.5,0.5,0.31
2006-09-30,2006-10-30,-5.2,-4.0,-3.78
2006-10-31,2006-11-29,-2.8,-1.5,-1.66
2006-11-30,2007-01-04,0.9,1.1,1.19
2006-12-31,2007-01-30,5.2,0.5,0.84
2007-01-31,2007-03-01,-3.1,-2.0,-1.96
2007-02-28,2007-03-30,2.6,1.8,2.11
2007-03-31,2007-05-01,1.3,1.5,1.43
2007-04-30,2007-05-30,3.3,0.95,1.31
2007-05-31,2007-06-28,-0.2,0.7,0.52
2007-06-30,2007-07-30,0.6,-0.3,-0.3
2007-07-31,2007-08-30,3.9,0.5,0.47
2007-08-31,2007-09-28,-2.8,-1.2,-1.14
2007-09-30,2007-10-30,-0.9,0.7,0.91
