Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,6.436666,,
2003-09-30,2003-09-30,-0.813334,,
2003-12-31,2003-12-31,2.196667,,
2004-03-31,2004-03-31,-19.19,,
2004-06-30,2004-06-30,-24.97333,,
2004-09-30,2004-09-30,-35.96667,,
2004-12-31,2004-12-31,-28.25667,,
2005-03-31,2005-03-31,-33.92333,,
2005-06-30,2005-06-30,-33.20667,,
2005-09-30,2005-09-30,-8.416667,,
2005-12-31,2005-12-31,-16.14333,,
2006-03-31,2006-03-31,-7.31,,
2006-06-30,2006-06-30,-11.16333,,
2006-09-30,2006-09-30,0.306667,,
2006-12-31,2006-12-31,-3.05,,
2007-03-31,2007-03-31,-21.17,,
2007-06-30,2007-06-30,-23.84333,,
2007-09-30,2007-09-30,28.97333,,
2007-12-31,2007-12-31,40.97334,,
2008-03-31,2008-03-31,46.79667,,
2008-06-30,2008-06-30,46.516666,,
2008-09-30,2008-09-30,46.533333,,
2008-12-31,2008-12-31,80.113335,,
2009-03-31,2009-03-31,81.73,,
2009-06-30,2009-06-30,42.583336,,
2009-09-30,2009-09-30,5.486667,,
2009-12-31,2009-12-31,-14.723333,,
2010-03-31,2010-03-31,-25.300001,,
2010-06-30,2010-06-30,-36.843334,,
2010-09-30,2010-09-30,-30.303333,,
2010-12-31,2010-12-31,-47.573334,,
2011-03-31,2011-03-31,-49.073334,,
2011-06-30,2011-06-30,-57.06667,,
2011-09-30,2011-09-30,-33.47334,,
2011-12-31,2011-12-31,2.01,,
2012-03-31,2012-03-31,-20.9,,
2012-06-30,2012-06-30,-13.52,,
2012-09-30,2012-09-30,-15.87,,
2012-12-31,2012-12-31,-1.683333,,
2013-03-31,2013-03-31,-9.536667,,
2013-06-30,2013-06-30,-15.39667,,
2013-09-30,2013-09-30,-12.47333,,
2013-12-31,2013-12-31,-17.51667,,
2014-03-31,2014-03-31,-14.84,,
2014-06-30,2014-06-30,-13.22,,
2014-09-30,2014-09-30,-20.41,,
2014-12-31,2014-12-31,-0.48,,
2015-03-31,2015-03-31,-4.52,,
2015-06-30,2015-06-30,0.0,,
2015-09-30,2015-09-30,-0.28,,
2015-12-31,2015-12-31,4.4,,
2016-03-31,2016-03-31,5.17,,
2016-06-30,2016-06-30,12.56,,
2016-09-30,2016-09-30,0.06,,
2016-12-31,2016-12-31,-0.28,,
2017-03-31,2017-03-31,-1.036424,,
2017-06-30,2017-06-30,8.3529,,
2017-09-30,2017-09-30,-0.04,,
2017-12-31,2017-12-31,-8.72,,
2018-03-31,2018-03-31,-9.38,,
2018-06-30,2018-06-30,-8.93,,
2018-09-30,2018-09-30,-8.775223,,
2018-12-31,2018-12-31,-19.046391,,
2019-03-31,2019-03-31,-5.80465,,
2019-06-30,2019-06-30,-4.670894,,
2019-09-30,2019-09-30,-1.378658,,
2019-12-31,2019-12-31,-16.582029,,
2020-03-31,2020-03-31,22.242689,,
2020-06-30,2020-06-30,26.139629,,
2020-09-30,2020-09-30,16.879311,,
2020-12-31,2020-12-31,-3.051124,,
2021-03-31,2021-03-31,-22.92803,,
2021-06-30,2021-06-30,3.63,,
2021-09-30,2021-09-30,-9.02,,
2021-12-31,2021-12-31,-8.68,,
2022-03-31,2022-03-31,-3.45,,
2022-06-30,2022-06-30,1.57,,
2022-09-30,2022-09-30,7.76,,
2022-12-31,2022-12-31,11.25,,
2023-03-31,2023-03-31,12.42,,
2023-06-30,2023-06-30,10.98,,
2023-09-30,2023-09-30,17.459999,,
2023-12-31,2023-12-31,11.14,,
2024-03-31,2024-03-31,4.55,,
2024-06-30,2024-06-30,-2.62,,
2024-09-30,2024-09-30,0.0,,
2024-12-31,2024-12-31,-3.05,,
2025-03-31,2025-03-31,-3.05,,
