Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,64.7,,
2003-07-31,2003-07-31,64.9,,
2003-08-31,2003-08-31,65.2,,
2003-09-30,2003-09-30,65.5,,
2003-10-31,2003-10-31,65.8,,
2003-11-30,2003-11-30,66.3,,
2003-12-31,2003-12-31,66.5,,
2004-01-31,2004-01-31,66.7,,
2004-02-29,2004-02-29,66.9,,
2004-03-31,2004-03-31,67.2,,
2004-04-30,2004-04-30,67.7,,
2004-05-31,2004-05-31,68.2,,
2004-06-30,2004-06-30,68.7,,
2004-07-31,2004-07-31,68.8,,
2004-08-31,2004-08-31,69.1,,
2004-09-30,2004-09-30,69.3,,
2004-10-31,2004-10-31,69.5,,
2004-11-30,2004-11-30,69.8,,
2004-12-31,2004-12-31,69.9,,
2005-01-31,2005-01-31,70.1,,
2005-02-28,2005-02-28,70.3,,
2005-03-31,2005-03-31,70.6,,
2005-04-30,2005-04-30,71.0,,
2005-05-31,2005-05-31,71.3,,
2005-06-30,2005-06-30,71.9,,
2005-07-31,2005-07-31,72.0,,
2005-08-31,2005-08-31,72.3,,
2005-09-30,2005-09-30,72.7,,
2005-10-31,2005-10-31,73.2,,
2005-11-30,2005-11-30,73.6,,
2005-12-31,2005-12-31,74.1,,
2006-01-31,2006-01-31,74.7,,
2006-02-28,2006-02-28,75.2,,
2006-03-31,2006-03-31,76.0,,
2006-04-30,2006-04-30,76.9,,
2006-05-31,2006-05-31,77.8,,
2006-06-30,2006-06-30,79.0,,
2006-07-31,2006-07-31,79.8,,
2006-08-31,2006-08-31,81.0,,
2006-09-30,2006-09-30,81.4,,
2006-10-31,2006-10-31,81.6,,
2006-11-30,2006-11-30,82.0,,
2006-12-31,2006-12-31,82.0,,
2007-01-31,2007-01-31,82.3,,
2007-02-28,2007-02-28,82.7,,
2007-03-31,2007-03-31,83.0,,
2007-04-30,2007-04-30,83.7,,
2007-05-31,2007-05-31,84.6,,
2007-06-30,2007-06-30,85.1,,
2007-07-31,2007-07-31,85.9,,
2007-08-31,2007-08-31,86.3,,
2007-09-30,2007-09-30,86.5,,
2007-10-31,2007-10-31,86.6,,
2007-11-30,2007-11-30,87.0,,
2007-12-31,2007-12-31,87.1,,
2008-01-31,2008-01-31,87.6,,
2008-02-29,2008-02-29,87.9,,
2008-03-31,2008-03-31,88.1,,
2008-04-30,2008-04-30,88.1,,
