Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2011-01-31,2011-03-09,1.9,1.9,2.0
2011-02-28,2011-04-12,2.1,2.0,2.0
2011-03-31,2011-05-12,1.9,2.2,2.2
2011-04-30,2011-06-09,1.9,1.8,1.9
2011-05-31,2011-07-07,1.9,1.7,1.8
2011-06-30,2011-08-11,2.1,2.1,2.1
2011-07-31,2011-09-08,2.3,2.5,2.5
2011-08-31,2011-10-12,2.3,2.3,2.3
2011-09-30,2011-11-09,2.3,2.2,2.2
2011-10-31,2011-12-08,2.5,2.5,2.5
2011-11-30,2012-01-12,2.5,2.4,2.5
2011-12-31,2012-02-09,2.5,2.5,2.2
2012-01-31,2012-03-08,2.4,2.5,2.5
2012-02-29,2012-04-12,2.3,,
2012-03-31,2012-05-10,2.6,2.4,2.4
2012-04-30,2012-06-14,2.5,2.6,2.6
2012-05-31,2012-07-12,2.4,2.3,2.3
2012-06-30,2012-08-09,2.3,2.3,2.3
2012-07-31,2012-09-13,2.3,2.3,2.3
2012-08-31,2012-10-11,2.4,2.3,2.3
2012-09-30,2012-11-08,2.4,2.3,2.3
2012-10-31,2012-12-13,2.4,2.3,2.3
2012-11-30,2013-01-10,2.2,2.4,2.3
2012-12-31,2013-02-07,2.3,2.2,2.2
2013-01-31,2013-03-14,2.2,2.3,2.3
2013-02-28,2013-04-11,2.1,2.1,2.2
2013-03-31,2013-05-09,2.0,2.1,2.1
2013-04-30,2013-06-13,2.0,1.9,1.9
2013-05-31,2013-07-11,1.8,1.9,1.9
2013-06-30,2013-08-08,1.8,1.7,1.7
2013-07-31,2013-09-12,1.9,1.9,1.9
2013-08-31,2013-10-10,1.8,,
2013-09-30,2013-11-14,1.6,1.7,1.8
2013-10-31,2013-12-12,1.5,1.5,1.5
2013-11-30,2014-01-09,1.4,,
2013-12-31,2014-02-13,1.3,1.3,1.3
2014-01-31,2014-03-13,1.5,1.3,1.3
2014-02-28,2014-04-10,1.5,,
2014-03-31,2014-05-08,1.6,,
2014-04-30,2014-06-12,1.6,,
2014-05-31,2014-07-10,1.5,,
2014-06-30,2014-08-14,1.5,,
2014-07-31,2014-09-11,1.4,1.6,2.6
2014-08-31,2014-10-09,1.5,1.5,1.5
2014-09-30,2014-11-13,1.6,1.7,1.7
2014-10-31,2014-12-11,1.6,,
2014-11-30,2015-01-08,1.7,,
2014-12-31,2015-02-12,1.7,1.7,1.7
2015-01-31,2015-03-12,1.4,1.6,1.6
2015-02-28,2015-04-09,1.4,1.4,1.4
2015-03-31,2015-05-14,1.2,1.3,1.3
2015-04-30,2015-06-11,1.1,,
2015-05-31,2015-07-09,1.2,,
2015-06-30,2015-08-13,1.3,,
2015-07-31,2015-09-10,1.3,1.3,1.4
2015-08-31,2015-10-08,1.3,,
2015-09-30,2015-11-12,1.3,1.3,1.3
2015-10-31,2015-12-10,1.5,1.3,1.3
2015-11-30,2016-01-14,1.6,,
2015-12-31,2016-02-11,1.6,,
2016-01-31,2016-03-10,1.8,1.8,1.8
2016-02-29,2016-04-14,1.8,1.8,1.8
2016-03-31,2016-05-12,2.0,1.9,1.9
2016-04-30,2016-06-09,2.1,2.1,2.1
2016-05-31,2016-07-14,2.7,2.2,2.2
2016-06-30,2016-08-11,2.5,,
2016-07-31,2016-09-08,2.8,2.5,2.6
2016-08-31,2016-10-13,2.7,2.8,2.9
2016-09-30,2016-11-10,2.8,2.8,2.8
2016-10-31,2016-12-08,3.0,2.8,2.8
2016-11-30,2017-01-12,3.0,3.1,3.1
2016-12-31,2017-02-09,3.0,3.1,3.1
2017-01-31,2017-03-09,3.1,,
2017-02-28,2017-04-13,3.3,3.1,3.1
2017-03-31,2017-05-11,3.3,,
2017-04-30,2017-06-08,3.9,3.3,3.4
2017-05-31,2017-07-13,3.8,3.5,3.5
2017-06-30,2017-08-10,3.9,,
2017-07-31,2017-09-14,3.8,,
2017-08-31,2017-10-12,3.8,,
2017-09-30,2017-11-09,3.8,3.8,3.8
2017-10-31,2017-12-14,3.5,,
2017-11-30,2018-01-11,3.4,,
2017-12-31,2018-02-08,3.3,,
2018-01-31,2018-03-08,3.2,3.3,3.3
2018-02-28,2018-04-12,2.6,3.0,3.0
2018-03-31,2018-05-10,2.4,2.4,2.4
2018-04-30,2018-06-14,1.6,1.7,1.7
2018-05-31,2018-07-12,0.9,1.0,0.9
2018-06-30,2018-08-09,0.8,0.8,0.8
2018-07-31,2018-09-13,0.5,0.5,0.5
2018-08-31,2018-10-11,0.4,0.5,0.5
2018-09-30,2018-11-08,0.2,0.2,0.2
2018-10-31,2018-12-13,0.1,0.1,0.0
2018-11-30,2019-01-10,0.0,0.0,0.0
2018-12-31,2019-02-14,0.0,0.0,0.0
2019-01-31,2019-03-14,-0.1,0.0,0.0
2019-02-28,2019-04-11,0.1,0.1,0.0
2019-03-31,2019-05-09,0.1,0.1,0.1
2019-04-30,2019-06-13,0.1,0.1,0.1
2019-05-31,2019-07-11,0.0,0.2,0.2
2019-06-30,2019-08-08,-0.2,-0.1,-0.1
2019-07-31,2019-09-12,-0.4,-0.2,-0.2
2019-08-31,2019-10-10,-0.3,-0.4,-0.4
2019-09-30,2019-11-14,-0.1,-0.2,0.2
2019-10-31,2019-12-20,0.0,,
2019-11-30,2019-12-20,-0.1,0.0,0.0
2019-12-31,2020-01-22,0.1,-0.1,-0.1
