Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-14,3.6,4.1,4.125
2003-07-31,2003-09-11,4.4,3.8,3.781
2003-08-31,2003-10-10,5.22,4.4,4.367
2003-09-30,2003-11-13,5.6,5.0,4.97
2003-10-31,2003-12-12,5.1,5.65,5.656
2003-11-30,2004-01-14,4.3,5.0,5.037
2003-12-31,2004-02-13,5.42,4.5,4.511
2004-01-31,2004-03-10,5.2,5.2,5.286
2004-02-29,2004-04-14,5.7,5.2,5.255
2004-03-31,2004-05-12,6.2,5.6,5.609
2004-04-30,2004-06-11,7.6,6.3,6.209
2004-05-31,2004-07-13,5.22,7.4,7.343
2004-06-30,2004-08-13,8.6,5.5,5.729
2004-07-31,2004-09-10,6.2,7.2,7.335
2004-08-31,2004-10-14,7.4,6.7,6.661
2004-09-30,2004-11-10,5.06,7.0,6.955
2004-10-31,2004-12-14,4.35,5.5,5.432
2004-11-30,2005-01-12,7.3,4.5,4.504
2004-12-31,2005-02-10,5.2,5.2,5.433
2005-01-31,2005-03-11,4.0,5.485,5.464
2005-02-28,2005-04-12,4.8,4.5,4.57
2005-03-31,2005-05-11,4.2,5.0,5.004
2005-04-30,2005-06-10,5.055,4.45,4.433
2005-05-31,2005-07-13,3.99,4.8,4.82
2005-06-30,2005-08-12,4.95,4.3,4.305
2005-07-31,2005-09-13,5.82,5.1,5.078
2005-08-31,2005-10-13,5.6,6.0,6.071
2005-09-30,2005-11-10,7.0,6.0,5.941
2005-10-31,2005-12-14,7.2,6.9,6.955
2005-11-30,2006-01-12,6.9,6.8,6.756
2005-12-31,2006-02-10,7.7,6.9,6.821
2006-01-31,2006-03-09,6.3,7.35,7.215
2006-02-28,2006-04-12,6.31,6.0,6.065
2006-03-31,2006-05-12,5.1,6.1,6.158
2006-04-30,2006-06-09,4.07,5.485,5.404
2006-05-31,2006-07-12,4.1,4.5,4.475
2006-06-30,2006-08-10,4.7,4.25,4.33
2006-07-31,2006-09-12,3.9,4.9,4.928
2006-08-31,2006-10-12,4.2,4.2,4.16
2006-09-30,2006-11-09,4.0,3.7,3.716
2006-10-31,2006-12-12,3.8,3.8,3.799
2006-11-30,2007-01-10,4.7,3.95,3.985
2006-12-31,2007-02-13,4.98,4.7,4.638
2007-01-31,2007-03-09,6.35,4.8,4.696
2007-02-28,2007-04-13,4.8,6.0,5.928
2007-03-31,2007-05-10,4.6,5.45,5.421
2007-04-30,2007-06-08,5.8,4.8,4.736
2007-05-31,2007-07-12,5.9,5.5,5.529
2007-06-30,2007-08-14,5.3,5.6,5.635
2007-07-31,2007-09-11,3.66,5.0,5.129
2007-08-31,2007-10-11,4.1,3.7,3.75
2007-09-30,2007-11-09,2.6,3.85,3.877
2007-10-31,2007-12-12,3.32,2.3,2.452
2007-11-30,2008-01-11,3.7,3.3,3.32
2007-12-31,2008-02-14,2.35,3.4,3.49
2008-01-31,2008-03-11,3.3,2.6,2.526
2008-02-29,2008-04-10,4.9,3.4,3.276
2008-03-31,2008-05-09,5.5,4.5,4.522
2008-04-30,2008-06-10,5.1,5.7,5.515
2008-05-31,2008-07-11,5.54,5.3,5.21
2008-06-30,2008-08-12,5.76,5.8,5.647
2008-07-31,2008-09-11,4.9,5.6,5.582
2008-08-31,2008-10-10,5.8,4.4,4.342
2008-09-30,2008-11-13,4.5,4.8,4.605
2008-10-31,2008-12-11,3.8,3.3,3.123
2008-11-30,2009-01-13,1.279,3.0,2.919
2008-12-31,2009-02-11,-0.5,0.5,0.494
2009-01-31,2009-03-13,-1.0,-1.0,-0.783
2009-02-28,2009-04-09,0.1,-1.2,-1.193
2009-03-31,2009-05-12,1.1,0.5,0.356
2009-04-30,2009-06-10,-0.2,1.0,0.969
2009-05-31,2009-07-10,-1.4,-0.5,-0.409
2009-06-30,2009-08-12,-0.1,-0.7,-0.516
2009-07-31,2009-09-10,-1.426,0.1,0.085
2009-08-31,2009-10-09,-2.0,-0.9,-0.98
2009-09-30,2009-11-13,-0.927,-1.75,-1.755
2009-10-31,2009-12-10,0.4,-0.7,-0.835
2009-11-30,2010-01-12,-0.3,0.5,0.288
2009-12-31,2010-02-10,-0.2,-0.05,-0.165
2010-01-31,2010-03-11,0.8,0.2,0.147
2010-02-28,2010-04-13,1.4,0.6,0.687
2010-03-31,2010-05-12,0.3,1.6,1.468
2010-04-30,2010-06-10,0.2,0.6,0.655
2010-05-31,2010-07-13,-0.5,0.0,0.01
2010-06-30,2010-08-11,-1.1,-0.3,-0.371
2010-07-31,2010-09-09,-2.7,-0.82,-0.901
2010-08-31,2010-10-14,-1.3,-2.25,-2.263
2010-09-30,2010-11-10,-2.5,-1.6,-1.577
2010-10-31,2010-12-10,-1.7,-2.05,-2.203
2010-11-30,2011-01-13,-0.1,-2.0,-1.888
2010-12-31,2011-02-11,3.0,-0.3,-0.206
2011-01-31,2011-03-10,0.1,2.6,2.478
2011-02-28,2011-04-12,0.03,0.5,0.45
2011-03-31,2011-05-11,0.6,0.4,0.329
2011-04-30,2011-06-09,-0.9,0.6,0.533
2011-05-31,2011-07-12,-0.8,-0.78,-0.777
2011-06-30,2011-08-11,-1.6,-0.8,-0.707
2011-07-31,2011-09-08,-0.75,-1.0,-1.1
2011-08-31,2011-10-13,-0.62,-1.0,-1.024
2011-09-30,2011-11-10,1.25,-0.56,-0.611
2011-10-31,2011-12-09,-0.89,0.7,0.59
2011-11-30,2012-01-13,1.07,-0.5,-0.261
2011-12-31,2012-02-10,2.69,0.8,0.726
2012-01-31,2012-03-09,2.1,2.0,2.095
2012-02-29,2012-04-12,0.29,2.05,1.915
2012-03-31,2012-05-10,0.35,0.5,0.493
2012-04-30,2012-06-08,-0.37,0.175,0.187
2012-05-31,2012-07-11,-0.79,-0.425,-0.432
2012-06-30,2012-08-09,-1.81,-1.0,-1.312
2012-07-31,2012-09-11,-2.34,-1.45,-1.343
2012-08-31,2012-10-11,-1.32,-1.9,-1.857
2012-09-30,2012-11-08,-0.83,-1.5,-1.333
2012-10-31,2012-12-11,-0.17,-1.2,-1.119
2012-11-30,2013-01-11,-1.96,-0.6,-0.555
2012-12-31,2013-02-08,-0.9,-1.45,-1.362
2013-01-31,2013-03-07,-0.24,-0.6,-0.601
2013-02-28,2013-04-05,-1.02,0.1,0.139
2013-03-31,2013-05-02,0.02,-0.7,-0.698
2013-04-30,2013-06-04,-0.57,-0.5,-0.355
2013-05-31,2013-07-03,-0.3,-0.7,-0.635
2013-06-30,2013-08-06,-0.47,-0.51,-0.537
2013-07-31,2013-09-04,-0.93,-0.25,-0.33
2013-08-31,2013-10-08,-1.31,-0.7,-0.685
2013-09-30,2013-11-14,-0.44,-1.0,-1.092
2013-10-31,2013-12-04,0.08,-0.765,-0.824
2013-11-30,2014-01-07,-0.94,-0.1,-0.113
2013-12-31,2014-02-06,-1.66,-0.65,-0.506
2014-01-31,2014-03-07,-0.18,-1.2,-1.175
2014-02-28,2014-04-03,0.29,0.2,0.118
2014-03-31,2014-05-06,0.08,0.2,0.285
2014-04-30,2014-06-04,-0.64,0.2,0.132
2014-05-31,2014-07-03,-0.15,-0.3,-0.268
2014-06-30,2014-08-06,1.86,0.0,-0.074
2014-07-31,2014-09-04,2.58,1.15,1.183
2014-08-31,2014-10-03,-0.61,1.6,1.527
2014-09-30,2014-11-04,0.71,-0.3,-0.362
2014-10-31,2014-12-05,0.1,0.15,0.171
2014-11-30,2015-01-07,-0.64,-0.2,-0.107
2014-12-31,2015-02-05,-0.65,-1.1,-1.18
2015-01-31,2015-03-06,-2.45,-1.0,-1.159
2015-02-28,2015-04-02,-0.98,-2.0,-2.006
2015-03-31,2015-05-05,-3.02,-0.8,-0.795
2015-04-30,2015-06-03,-2.97,-2.15,-2.147
2015-05-31,2015-07-07,-3.34,-2.55,-2.586
2015-06-30,2015-08-05,-0.48,-2.9,-2.931
2015-07-31,2015-09-03,-0.59,-1.2,-1.266
2015-08-31,2015-10-06,-2.53,-1.2,-1.227
2015-09-30,2015-11-04,-1.73,-1.75,-1.683
2015-10-31,2015-12-04,-2.76,-1.7,-1.636
2015-11-30,2016-01-06,-1.99,-2.6,-2.613
2015-12-31,2016-02-05,-0.59,-2.2,-2.181
2016-01-31,2016-03-04,-0.655,-0.9,-0.959
2016-02-29,2016-04-05,-1.908,-0.9,-0.786
2016-03-31,2016-05-04,-3.41,-1.4,-1.314
2016-04-30,2016-06-03,-2.94,-2.55,-2.538
2016-05-31,2016-07-06,-3.28,-2.7,-2.68
2016-06-30,2016-08-05,-3.63,-2.84,-2.789
2016-07-31,2016-09-02,-2.49,-3.3,-3.282
2016-08-31,2016-10-05,-1.94,-2.45,-2.613
2016-09-30,2016-11-04,-4.08,-1.7,-1.824
2016-10-31,2016-12-06,-1.13,-1.7,-1.712
2016-11-30,2017-01-06,0.53,-1.6,-1.768
2016-12-31,2017-02-07,0.92,0.2,0.102
2017-01-31,2017-03-07,0.81,0.75,0.747
2017-02-28,2017-04-04,-0.97,0.6,0.507
2017-03-31,2017-05-04,-0.14,-1.0,-1.051
2017-04-30,2017-06-02,-0.37,-0.015,-0.057
2017-05-31,2017-07-06,-1.09,-0.5,-0.438
2017-06-30,2017-08-04,-3.6,-1.25,-1.282
2017-07-31,2017-09-06,-3.04,-3.3,-3.241
2017-08-31,2017-10-05,-3.41,-2.6,-2.7
2017-09-30,2017-11-03,-3.18,-3.0,-3.021
2017-10-31,2017-12-05,-1.47,-2.65,-2.635
2017-11-30,2018-01-05,-2.54,-1.125,-1.2
2017-12-31,2018-02-06,-3.19,-2.315,-2.232
2018-01-31,2018-03-07,-1.91,-2.5,-2.523
2018-02-28,2018-04-05,-2.69,-2.1,-2.125
2018-03-31,2018-05-03,-4.14,-2.25,-2.209
2018-04-30,2018-06-06,-1.9,-3.4,-3.415
2018-05-31,2018-07-06,-2.77,-2.2,-1.957
2018-06-30,2018-08-03,-0.63,-2.3,-2.37
2018-07-31,2018-09-05,-0.11,-1.0,-1.133
2018-08-31,2018-10-05,0.53,-0.52,-0.606
2018-09-30,2018-11-02,-0.42,0.2,0.176
2018-10-31,2018-12-06,-1.17,-0.725,-0.776
2018-11-30,2019-01-08,-2.06,-2.15,-2.134
2018-12-31,2019-03-06,-4.59,-2.43,-2.506
2019-01-31,2019-03-27,-4.25,-3.55,-3.32
2019-02-28,2019-04-17,-2.9,-3.25,-3.024
2019-03-31,2019-05-09,-3.21,-2.4,-2.333
2019-04-30,2019-06-06,-0.97,-2.8,-2.814
2019-05-31,2019-07-03,0.76,-1.7,-1.709
2019-06-30,2019-08-02,0.14,-0.3,-0.26
2019-07-31,2019-09-04,-1.12,-0.35,-0.55
2019-08-31,2019-10-04,-0.96,-1.2,-1.143
2019-09-30,2019-11-05,-0.98,-0.65,-0.717
2019-10-31,2019-12-05,-1.08,-1.45,-1.466
2019-11-30,2020-01-07,-1.09,-1.2,-1.399
2019-12-31,2020-02-05,-0.37,-0.605,-0.581
2020-01-31,2020-03-06,-1.47,-0.775,-0.812
2020-02-29,2020-04-02,-0.98,-2.3,-2.163
2020-03-31,2020-05-05,-1.41,-2.5,-2.253
2020-04-30,2020-06-04,-3.251,-3.0,-2.633
2020-05-31,2020-07-02,-0.68,-3.0,-3.582
2020-06-30,2020-08-05,-3.19,-0.9,-0.779
2020-07-31,2020-09-03,-2.45,-2.5,-2.113
2020-08-31,2020-10-06,-2.45,-2.05,-2.008
2020-09-30,2020-11-04,-3.25,-2.35,-2.261
2020-10-31,2020-12-04,-3.76,-3.1,-3.053
2020-11-30,2021-01-07,-3.34,-3.5,-3.395
2020-12-31,2021-02-05,-1.67,-3.0,-3.037
2021-01-31,2021-03-05,1.41,-1.4,-1.373
2021-02-28,2021-04-07,1.04,1.3,1.041
2021-03-31,2021-05-04,-1.14,0.55,0.589
2021-04-30,2021-06-08,0.59,-0.8,-0.912
2021-05-31,2021-07-02,-1.39,0.435,0.417
2021-06-30,2021-08-05,3.2,-0.6,-0.638
2021-07-31,2021-09-02,0.78,1.7,1.89
2021-08-31,2021-10-05,1.94,0.425,0.502
2021-09-30,2021-11-04,1.86,1.6,1.791
2021-10-31,2021-12-07,2.09,2.08,1.947
2021-11-30,2022-01-06,3.13,2.03,1.964
2021-12-31,2022-02-08,-0.14,2.45,2.608
2022-01-31,2022-03-08,2.618,1.5,1.127
2022-02-28,2022-04-05,2.66,3.0,3.032
2022-03-31,2022-05-04,2.49,3.9,3.929
2022-04-30,2022-06-07,1.5,2.8,2.91
2022-05-31,2022-07-07,5.32,2.4,2.543
2022-06-30,2022-08-04,5.05,4.9,4.622
2022-07-31,2022-09-07,4.05,3.775,3.595
2022-08-31,2022-10-05,1.52,3.5,3.546
2022-09-30,2022-11-03,1.14,1.2,1.075
2022-10-31,2022-12-06,1.21,0.9,0.954
2022-11-30,2023-01-05,-0.04,0.5,0.82
2022-12-31,2023-02-07,-0.16,-0.5,-0.661
2023-01-31,2023-03-08,1.92,-0.12,-0.178
2023-02-28,2023-04-05,0.42,1.7,1.399
2023-03-31,2023-05-04,0.972,0.2,0.098
2023-04-30,2023-06-07,1.94,0.55,0.88
2023-05-31,2023-07-06,-3.44,1.2,1.533
2023-06-30,2023-08-08,-3.73,-2.785,-2.919
2023-07-31,2023-09-06,-0.99,-3.525,-3.428
2023-08-31,2023-10-05,0.72,-1.41,-1.39
2023-09-30,2023-11-07,2.038,1.0,1.131
2023-10-31,2023-12-06,2.967,1.8,1.667
2023-11-30,2024-01-09,1.57,2.0,1.874
2023-12-31,2024-02-07,-0.31,1.0,0.965
2024-01-31,2024-03-07,0.5,0.0,-0.174
2024-02-29,2024-04-04,1.39,0.675,0.761
2024-03-31,2024-05-02,-2.28,1.21,1.154
2024-04-30,2024-06-06,-1.05,-1.04,-1.397
2024-05-31,2024-07-03,-1.93,-1.27,-1.105
2024-06-30,2024-08-06,0.64,-2.04,-1.944
2024-07-31,2024-09-04,0.684,0.65,0.796
2024-08-31,2024-10-08,-1.1,-0.5,-0.414
2024-09-30,2024-11-05,-1.26,-0.95,-0.937
2024-10-31,2024-12-05,-0.92,-1.05,-0.817
2024-11-30,2025-01-07,-0.32,-0.9,-0.737
2024-12-31,2025-02-05,0.71,1.025,1.093
2025-01-31,2025-03-06,3.97,1.3,2.094
2025-02-28,2025-04-03,-1.52,3.5,3.143
2025-03-31,2025-05-06,-0.51,-1.6,-1.558
2025-04-30,2025-06-05,-7.14,-1.5,-1.455
2025-05-31,2025-07-03,,,
