Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-11,7.7,7.8,7.85
2003-07-31,2003-08-08,7.8,7.7,7.72
2003-08-31,2003-09-05,8.0,7.8,7.81
2003-09-30,2003-10-10,8.0,8.0,8.0
2003-10-31,2003-11-07,7.6,8.0,8.0
2003-11-30,2003-12-05,7.5,7.6,7.64
2003-12-31,2004-01-09,7.4,7.5,7.51
2004-01-31,2004-02-06,7.4,7.4,7.39
2004-02-29,2004-03-12,7.4,7.4,7.4
2004-03-31,2004-04-08,7.5,7.4,7.41
2004-04-30,2004-05-07,7.3,7.5,7.51
2004-05-31,2004-06-04,7.2,7.3,7.29
2004-06-30,2004-07-09,7.3,7.2,7.18
2004-07-31,2004-08-06,7.2,7.2,7.23
2004-08-31,2004-09-10,7.2,7.2,7.19
2004-09-30,2004-10-08,7.1,7.2,7.18
2004-10-31,2004-11-05,7.1,7.1,7.08
2004-11-30,2004-12-03,7.3,7.1,7.08
2004-12-31,2005-01-07,7.0,7.3,7.26
2005-01-31,2005-02-04,7.0,7.0,7.05
2005-02-28,2005-03-11,7.0,7.0,7.04
2005-03-31,2005-04-08,6.9,7.0,7.0
2005-04-30,2005-05-06,6.8,6.9,6.93
2005-05-31,2005-06-10,6.8,6.8,6.81
2005-06-30,2005-07-08,6.7,6.8,6.81
2005-07-31,2005-08-05,6.8,6.7,6.7
2005-08-31,2005-09-09,6.8,6.8,6.77
2005-09-30,2005-10-07,6.7,6.8,6.77
2005-10-31,2005-11-04,6.6,6.7,6.71
2005-11-30,2005-12-02,6.4,6.6,6.63
2005-12-31,2006-01-06,6.5,6.4,6.39
2006-01-31,2006-02-10,6.6,6.5,6.48
2006-02-28,2006-03-10,6.4,6.6,6.59
2006-03-31,2006-04-07,6.3,6.4,6.39
2006-04-30,2006-05-05,6.4,6.3,6.32
2006-05-31,2006-06-09,6.1,6.4,6.39
2006-06-30,2006-07-07,6.1,6.2,6.16
2006-07-31,2006-08-04,6.4,6.1,6.11
2006-08-31,2006-09-08,6.5,6.3,6.36
2006-09-30,2006-10-06,6.4,6.5,6.45
2006-10-31,2006-11-03,6.2,6.4,6.43
2006-11-30,2006-12-01,6.3,6.25,6.25
2006-12-31,2007-01-05,6.1,6.3,6.32
2007-01-31,2007-02-09,6.2,6.1,6.15
2007-02-28,2007-03-09,6.1,6.2,6.18
2007-03-31,2007-04-05,6.1,6.1,6.12
2007-04-30,2007-05-11,6.1,6.1,6.08
2007-05-31,2007-06-08,6.1,6.1,6.12
2007-06-30,2007-07-06,6.1,6.1,6.09
2007-07-31,2007-08-10,6.0,6.1,6.09
2007-08-31,2007-09-07,6.0,6.0,6.04
2007-09-30,2007-10-05,5.9,6.0,6.06
2007-10-31,2007-11-02,5.8,5.9,5.92
2007-11-30,2007-12-07,5.9,5.9,5.87
2007-12-31,2008-01-11,5.9,5.9,5.91
2008-01-31,2008-02-08,5.8,6.0,5.96
2008-02-29,2008-03-07,5.8,5.9,5.9
2008-03-31,2008-04-04,6.0,5.8,5.84
2008-04-30,2008-05-09,6.1,6.0,6.01
2008-05-31,2008-06-06,6.1,6.1,6.1
2008-06-30,2008-07-11,6.2,6.1,6.14
2008-07-31,2008-08-08,6.1,6.2,6.24
2008-08-31,2008-09-05,6.1,6.2,6.2
