Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,42.777,,
2003-07-31,2003-07-31,42.29,,
2003-08-31,2003-08-31,42.381,,
2003-09-30,2003-09-30,42.921,,
2003-10-31,2003-10-31,42.308,,
2003-11-30,2003-11-30,42.544,,
2003-12-31,2003-12-31,42.622,,
2004-01-31,2004-01-31,42.445,,
2004-02-29,2004-02-29,43.284,,
2004-03-31,2004-03-31,43.559,,
2004-04-30,2004-04-30,43.518,,
2004-05-31,2004-05-31,44.48,,
2004-06-30,2004-06-30,44.43,,
2004-07-31,2004-07-31,44.424,,
2004-08-31,2004-08-31,44.389,,
2004-09-30,2004-09-30,44.606,,
2004-10-31,2004-10-31,44.997,,
2004-11-30,2004-11-30,45.4,,
2004-12-31,2004-12-31,45.944,,
2005-01-31,2005-01-31,46.362,,
2005-02-28,2005-02-28,46.453,,
2005-03-31,2005-03-31,46.866,,
2005-04-30,2005-04-30,47.039,,
2005-05-31,2005-05-31,47.29,,
2005-06-30,2005-06-30,47.599,,
2005-07-31,2005-07-31,47.488,,
2005-08-31,2005-08-31,47.266,,
2005-09-30,2005-09-30,47.818,,
2005-10-31,2005-10-31,48.202,,
2005-11-30,2005-11-30,48.098,,
2005-12-31,2005-12-31,48.716,,
2006-01-31,2006-01-31,48.773,,
2006-02-28,2006-02-28,49.382,,
2006-03-31,2006-03-31,49.307,,
2006-04-30,2006-04-30,50.1,,
2006-05-31,2006-05-31,50.139,,
2006-06-30,2006-06-30,50.329,,
2006-07-31,2006-07-31,50.916,,
2006-08-31,2006-08-31,51.412,,
2006-09-30,2006-09-30,51.521,,
2006-10-31,2006-10-31,51.879,,
2006-11-30,2006-11-30,52.212,,
2006-12-31,2006-12-31,51.853,,
2007-01-31,2007-01-31,52.935,,
2007-02-28,2007-02-28,53.385,,
2007-03-31,2007-03-31,53.512,,
2007-04-30,2007-04-30,54.027,,
2007-05-31,2007-05-31,53.521,,
2007-06-30,2007-06-30,53.137,,
2007-07-31,2007-07-31,52.773,,
2007-08-31,2007-08-31,53.162,,
2007-09-30,2007-09-30,53.151,,
2007-10-31,2007-10-31,53.516,,
2007-11-30,2007-11-30,53.279,,
2007-12-31,2007-12-31,53.086,,
2008-01-31,2008-01-31,53.293,,
2008-02-29,2008-02-29,53.466,,
2008-03-31,2008-03-31,53.507,,
2008-04-30,2008-04-30,53.769,,
2008-05-31,2008-05-31,54.128,,
2008-06-30,2008-06-30,54.892,,
2008-07-31,2008-07-31,55.476,,
2008-08-31,2008-08-31,55.83,,
2008-09-30,2008-09-30,56.058,,
2008-10-31,2008-10-31,56.917,,
2008-11-30,2008-11-30,57.538,,
2008-12-31,2008-12-31,57.319,,
2009-01-31,2009-01-31,56.968,,
2009-02-28,2009-02-28,57.081,,
2009-03-31,2009-03-31,56.77,,
2009-04-30,2009-04-30,55.984,,
2009-05-31,2009-05-31,55.214,,
2009-06-30,2009-06-30,54.494,,
2009-07-31,2009-07-31,53.769,,
2009-08-31,2009-08-31,53.125,,
2009-09-30,2009-09-30,52.398,,
2009-10-31,2009-10-31,51.845,,
2009-11-30,2009-11-30,51.496,,
2009-12-31,2009-12-31,51.563,,
2010-01-31,2010-01-31,50.873,,
2010-02-28,2010-02-28,51.007,,
2010-03-31,2010-03-31,50.809,,
2010-04-30,2010-04-30,50.905,,
2010-05-31,2010-05-31,51.621,,
2010-06-30,2010-06-30,51.988,,
2010-07-31,2010-07-31,52.179,,
2010-08-31,2010-08-31,51.818,,
2010-09-30,2010-09-30,52.209,,
2010-10-31,2010-10-31,52.28,,
2010-11-30,2010-11-30,52.78,,
2010-12-31,2010-12-31,52.747,,
2011-01-31,2011-01-31,53.637,,
2011-02-28,2011-02-28,53.732,,
2011-03-31,2011-03-31,54.226,,
2011-04-30,2011-04-30,55.055,,
2011-05-31,2011-05-31,55.376,,
2011-06-30,2011-06-30,55.296,,
2011-07-31,2011-07-31,55.511,,
2011-08-31,2011-08-31,55.99,,
2011-09-30,2011-09-30,56.288,,
2011-10-31,2011-10-31,56.678,,
2011-11-30,2011-11-30,57.126,,
2011-12-31,2011-12-31,58.418,,
2012-01-31,2012-01-31,58.573,,
2012-02-29,2012-02-29,59.176,,
2012-03-31,2012-03-31,59.37,,
2012-04-30,2012-04-30,59.516,,
2012-05-31,2012-05-31,59.73,,
2012-06-30,2012-06-30,59.658,,
2012-07-31,2012-07-31,60.506,,
2012-08-31,2012-08-31,60.894,,
2012-09-30,2012-09-30,61.051,,
2012-10-31,2012-10-31,61.314,,
2012-11-30,2012-11-30,61.333,,
2012-12-31,2012-12-31,61.341,,
2013-01-31,2013-01-31,61.307,,
2013-02-28,2013-02-28,61.5,,
2013-03-31,2013-03-31,61.244,,
2013-04-30,2013-04-30,61.371,,
2013-05-31,2013-05-31,61.697,,
2013-06-30,2013-06-30,61.988,,
2013-07-31,2013-07-31,61.75,,
2013-08-31,2013-08-31,61.503,,
2013-09-30,2013-09-30,61.147,,
2013-10-31,2013-10-31,61.343,,
2013-11-30,2013-11-30,61.116,,
2013-12-31,2013-12-31,61.407,,
2014-01-31,2014-01-31,61.98,,
2014-02-28,2014-02-28,62.424,,
2014-03-31,2014-03-31,63.862,,
2014-04-30,2014-04-30,64.547,,
2014-05-31,2014-05-31,64.945,,
2014-06-30,2014-06-30,65.448,,
2014-07-31,2014-07-31,66.429,,
2014-08-31,2014-08-31,66.599,,
2014-09-30,2014-09-30,67.392,,
2014-10-31,2014-10-31,67.413,,
2014-11-30,2014-11-30,67.687,,
2014-12-31,2014-12-31,68.654,,
2015-01-31,2015-01-31,70.488,,
2015-02-28,2015-02-28,70.733,,
