Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-20,0.0,-0.1,-0.1
2003-07-31,2003-09-19,1.1,0.5,0.6
2003-08-31,2003-10-21,-4.6,-0.4,-0.5
2003-09-30,2003-11-24,6.1,4.5,4.3
2003-10-31,2003-12-23,-0.1,-0.2,-0.3
2003-11-30,2004-01-26,-0.1,0.3,0.2
2003-12-31,2004-02-26,0.8,0.3,0.3
2004-01-31,2004-03-26,-3.2,-0.1,-0.2
2004-02-29,2004-04-27,-0.3,1.5,2.0
2004-03-31,2004-05-25,4.6,1.0,1.3
2004-04-30,2004-06-23,1.0,0.3,0.2
2004-05-31,2004-07-20,0.3,0.5,0.6
2004-06-30,2004-08-20,0.6,0.5,0.6
2004-07-31,2004-09-20,0.1,0.5,0.4
2004-08-31,2004-10-20,0.7,0.5,0.5
2004-09-30,2004-11-19,-1.9,0.3,0.2
2004-10-31,2004-12-20,0.2,-0.1,-0.1
2004-11-30,2005-01-21,0.5,0.3,0.1
2004-12-31,2005-02-18,1.1,0.4,0.5
2005-01-31,2005-03-21,-0.2,0.5,0.7
2005-02-28,2005-04-19,1.1,0.5,0.6
2005-03-31,2005-05-18,0.5,0.2,0.1
2005-04-30,2005-06-17,0.9,0.7,0.6
2005-05-31,2005-07-20,0.2,0.5,0.3
2005-06-30,2005-08-17,0.5,0.7,0.7
2005-07-31,2005-09-20,-0.5,0.6,0.5
2005-08-31,2005-10-19,0.7,0.6,0.7
2005-09-30,2005-11-18,-0.1,0.5,0.4
2005-10-31,2005-12-19,2.2,0.5,0.5
2005-11-30,2006-01-20,-0.2,0.3,0.1
2005-12-31,2006-02-17,0.4,0.5,0.6
2006-01-31,2006-03-17,1.8,0.3,0.3
2006-02-28,2006-04-21,-1.1,0.0,-0.1
2006-03-31,2006-05-17,0.8,0.7,0.7
2006-04-30,2006-06-19,0.1,0.4,0.0
2006-05-31,2006-07-20,0.9,0.4,0.4
2006-06-30,2006-08-18,-0.6,0.3,0.3
2006-07-31,2006-09-20,2.1,0.6,0.6
2006-08-31,2006-10-19,0.5,0.3,0.3
2006-09-30,2006-11-20,-1.6,-0.4,-0.3
2006-10-31,2006-12-20,-0.2,0.0,0.1
2006-11-30,2007-01-19,0.1,0.6,0.7
2006-12-31,2007-02-19,2.7,0.8,0.9
2007-01-31,2007-03-19,-0.5,-0.6,-0.5
2007-02-28,2007-04-19,0.8,0.1,0.0
2007-03-31,2007-05-17,1.9,0.5,0.7
2007-04-30,2007-06-20,-3.1,0.4,0.3
2007-05-31,2007-07-19,0.6,0.5,0.7
2007-06-30,2007-08-17,0.2,0.3,0.3
2007-07-31,2007-09-20,2.0,0.5,0.5
2007-08-31,2007-10-17,-2.0,-0.5,-0.3
2007-09-30,2007-11-19,1.1,0.0,-0.1
2007-10-31,2007-12-19,0.5,0.2,0.1
2007-11-30,2008-01-21,0.3,0.5,0.5
2007-12-31,2008-02-19,-2.9,-0.7,-0.6
2008-01-31,2008-03-19,2.6,1.0,0.7
2008-02-29,2008-04-18,-1.8,0.4,0.4
2008-03-31,2008-05-20,0.6,0.3,0.4
2008-04-30,2008-06-19,1.4,0.8,0.8
2008-05-31,2008-07-18,1.6,0.5,0.7
2008-06-30,2008-08-19,2.0,0.7,0.7
2008-07-31,2008-09-18,2.3,0.8,0.8
2008-08-31,2008-10-20,-1.5,-1.0,-1.1
2008-09-30,2008-11-20,1.5,-0.6,-0.5
2008-10-31,2008-12-17,-1.8,-0.5,-0.5
2008-11-30,2009-01-21,-1.6,-1.5,-1.5
2008-12-31,2009-02-18,-3.4,-2.0,-2.1
2009-01-31,2009-03-18,-4.2,-2.7,-2.7
2009-02-28,2009-04-21,-0.6,1.0,1.3
2009-03-31,2009-05-21,-0.6,-0.8,-0.8
2009-04-30,2009-06-17,-0.6,-0.5,-0.6
2009-05-31,2009-07-20,-0.3,-2.0,-2.0
2009-06-30,2009-08-20,0.6,0.2,0.2
2009-07-31,2009-09-18,2.8,0.9,1.0
2009-08-31,2009-10-20,-1.4,-0.4,0.0
2009-09-30,2009-11-19,0.2,1.0,1.0
2009-10-31,2009-12-18,0.3,0.5,0.6
2009-11-30,2010-01-21,2.5,0.5,0.4
2009-12-31,2010-02-17,0.7,0.8,0.9
2010-01-31,2010-03-17,3.0,0.5,0.5
2010-02-28,2010-04-21,-1.2,1.0,1.1
2010-03-31,2010-05-19,1.4,0.6,0.6
2010-04-30,2010-06-17,-0.3,0.3,0.3
2010-05-31,2010-07-21,-0.1,0.4,0.6
2010-06-30,2010-08-19,-0.3,0.4,0.3
2010-07-31,2010-09-20,-0.1,0.1,0.2
2010-08-31,2010-10-20,1.2,0.5,0.5
2010-09-30,2010-11-18,0.4,-0.3,-0.1
2010-10-31,2010-12-20,0.0,0.8,0.8
2010-11-30,2011-01-20,1.2,0.4,0.4
2010-12-31,2011-02-17,0.8,0.9,0.9
2011-01-31,2011-03-17,1.5,0.6,0.8
2011-02-28,2011-04-19,-0.6,-0.2,-0.1
2011-03-31,2011-05-18,0.1,1.2,1.3
2011-04-30,2011-06-17,-0.1,-0.3,-0.3
2011-05-31,2011-07-20,1.9,0.1,0.2
2011-06-30,2011-08-18,0.2,-0.5,-0.1
2011-07-31,2011-09-20,0.8,0.7,0.7
2011-08-31,2011-10-20,0.2,0.5,0.5
2011-09-30,2011-11-21,0.3,0.7,0.7
2011-10-31,2011-12-19,0.9,0.1,0.2
2011-11-30,2012-01-20,-0.4,0.5,0.5
2011-12-31,2012-02-21,0.9,0.6,0.7
2012-01-31,2012-03-19,-1.0,0.3,0.3
2012-02-29,2012-04-23,1.6,-0.2,0.0
2012-03-31,2012-05-17,0.4,0.3,0.2
2012-04-30,2012-06-19,1.5,0.2,0.2
2012-05-31,2012-07-19,0.9,0.2,0.1
2012-06-30,2012-08-21,-0.1,0.3,0.2
2012-07-31,2012-09-21,-0.6,-0.2,-0.3
2012-08-31,2012-10-18,0.5,0.2,0.2
2012-09-30,2012-11-20,-1.4,0.5,0.4
2012-10-31,2012-12-19,0.9,0.5,0.4
2012-11-30,2013-01-21,0.7,0.5,0.4
2012-12-31,2013-02-19,-0.9,-0.4,-0.3
2013-01-31,2013-03-19,0.3,0.4,0.4
2013-02-28,2013-04-19,0.0,0.3,0.4
2013-03-31,2013-05-17,0.3,0.4,0.5
2013-04-30,2013-06-19,0.2,0.3,0.3
2013-05-31,2013-07-18,2.3,0.3,0.3
2013-06-30,2013-08-20,-2.8,-0.5,-0.4
2013-07-31,2013-09-19,1.5,1.2,1.2
2013-08-31,2013-10-21,0.5,0.3,0.1
2013-09-30,2013-11-20,0.2,0.3,0.2
2013-10-31,2013-12-18,1.4,0.3,0.3
2013-11-30,2014-01-21,0.0,0.3,0.3
2013-12-31,2014-02-19,-1.4,-0.4,-0.3
