Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2014-03-31,2014-04-04,,,
2014-04-30,2014-05-07,,,
2014-05-31,2014-06-05,,,
2014-06-30,2014-07-04,,,
2014-07-31,2014-08-06,,,
2014-08-31,2014-09-04,,,
2014-09-30,2014-10-06,,,
2014-10-31,2014-11-06,,,
2014-11-30,2014-12-04,,,
2014-12-31,2015-01-07,,,
2015-01-31,2015-02-05,,,
2015-02-28,2015-03-05,,,
2015-03-31,2015-04-08,,,
2015-04-30,2015-05-07,,,
2015-05-31,2015-06-04,,,
2015-06-30,2015-07-06,,,
2015-07-31,2015-08-06,,,
2015-08-31,2015-09-04,,,
2015-09-30,2015-10-06,,,
2015-10-31,2015-11-05,,,
2015-11-30,2015-12-04,,,
2015-12-31,2016-01-07,,,
2016-01-31,2016-02-04,,,
2016-02-29,2016-03-04,,,
2016-03-31,2016-04-06,,,
2016-04-30,2016-05-06,,,
2016-05-31,2016-06-06,,,
2016-06-30,2016-07-06,,,
2016-07-31,2016-08-04,,,
2016-08-31,2016-09-06,,,
2016-09-30,2016-10-06,,,
2016-10-31,2016-11-07,,,
2016-11-30,2016-12-06,,,
2016-12-31,2017-01-05,,,
2017-01-31,2017-02-06,,,
2017-02-28,2017-03-06,,,
2017-03-31,2017-04-06,,,
2017-04-30,2017-05-05,,,
2017-05-31,2017-06-06,,,
2017-06-30,2017-07-06,,,
2017-07-31,2017-08-04,,,
2017-08-31,2017-09-06,,,
2017-09-30,2017-10-05,,,
2017-10-31,2017-11-07,,,
2017-11-30,2017-12-06,,,
2017-12-31,2018-01-05,,,
2018-01-31,2018-02-06,,,
2018-02-28,2018-03-06,,,
2018-03-31,2018-04-06,,,
2018-04-30,2018-05-07,,,
2018-05-31,2018-06-06,,,
2018-06-30,2018-07-05,,,
