Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,80.6,,
2003-09-30,2003-09-30,80.6,,
2003-12-31,2003-12-31,81.2,,
2004-03-31,2004-03-31,81.2,,
2004-06-30,2004-06-30,81.2,,
2004-09-30,2004-09-30,81.6,,
2004-12-31,2004-12-31,81.7,,
2005-03-31,2005-03-31,81.4,,
2005-06-30,2005-06-30,80.7,,
2005-09-30,2005-09-30,81.1,,
2005-12-31,2005-12-31,81.6,,
2006-03-31,2006-03-31,81.8,,
2006-06-30,2006-06-30,82.8,,
2006-09-30,2006-09-30,83.6,,
2006-12-31,2006-12-31,84.0,,
2007-03-31,2007-03-31,84.0,,
2007-06-30,2007-06-30,84.5,,
2007-09-30,2007-09-30,84.4,,
2007-12-31,2007-12-31,84.5,,
2008-03-31,2008-03-31,84.1,,
2008-06-30,2008-06-30,83.5,,
2008-09-30,2008-09-30,82.5,,
2008-12-31,2008-12-31,81.1,,
2009-03-31,2009-03-31,74.1,,
2009-06-30,2009-06-30,69.8,,
2009-09-30,2009-09-30,70.1,,
2009-12-31,2009-12-31,72.2,,
2010-03-31,2010-03-31,73.0,,
2010-06-30,2010-06-30,76.1,,
2010-09-30,2010-09-30,78.1,,
2010-12-31,2010-12-31,79.2,,
2011-03-31,2011-03-31,79.9,,
2011-06-30,2011-06-30,81.2,,
2011-09-30,2011-09-30,80.4,,
2011-12-31,2011-12-31,80.1,,
2012-03-31,2012-03-31,79.5,,
2012-06-30,2012-06-30,79.6,,
2012-09-30,2012-09-30,78.9,,
2012-12-31,2012-12-31,78.3,,
2013-03-31,2013-03-31,77.9,,
2013-06-30,2013-06-30,78.3,,
2013-09-30,2013-09-30,79.3,,
2013-12-31,2013-12-31,79.7,,
2014-03-31,2014-03-31,80.1,,
2014-06-30,2014-06-30,80.2,,
2014-09-30,2014-09-30,80.3,,
2014-12-31,2014-12-31,80.4,,
2015-03-31,2015-03-31,80.5,,
2015-06-30,2015-06-30,81.1,,
2015-09-30,2015-09-30,81.0,,
2015-12-31,2015-12-31,81.1,,
2016-03-31,2016-03-31,81.2,,
2016-06-30,2016-06-30,81.1,,
2016-09-30,2016-09-30,81.3,,
2016-12-31,2016-12-31,82.0,,
2017-03-31,2017-03-31,82.2,,
2017-06-30,2017-06-30,82.4,,
2017-09-30,2017-09-30,83.3,,
2017-12-31,2017-12-31,83.7,,
2018-03-31,2018-03-31,84.0,,
2018-06-30,2018-06-30,83.7,,
2018-09-30,2018-09-30,83.5,,
2018-12-31,2018-12-31,83.5,,
2019-03-31,2019-03-31,83.5,,
2019-06-30,2019-06-30,82.5,,
2019-09-30,2019-09-30,81.6,,
2019-12-31,2019-12-31,81.2,,
2020-03-31,2020-03-31,81.0,,
2020-06-30,2020-06-30,66.4,,
2020-09-30,2020-09-30,72.6,,
2020-12-31,2020-12-31,78.0,,
2021-03-31,2021-03-31,79.6,,
2021-06-30,2021-06-30,80.8,,
2021-09-30,2021-09-30,82.7,,
2021-12-31,2021-12-31,82.8,,
2022-03-31,2022-03-31,82.9,,
2022-06-30,2022-06-30,82.6,,
2022-09-30,2022-09-30,82.0,,
2022-12-31,2022-12-31,81.5,,
2023-03-31,2023-03-31,81.5,,
2023-06-30,2023-06-30,80.8,,
2023-09-30,2023-09-30,79.9,,
2023-12-31,2023-12-31,79.3,,
2024-03-31,2024-03-31,79.0,,
2024-06-30,2024-06-30,78.8,,
2024-09-30,2024-09-30,77.6,,
2024-12-31,2024-12-31,77.2,,
2025-03-31,2025-03-31,77.3,,
