Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-19.0,-20.0,-19.8
2003-07-31,2003-07-31,-18.0,-18.0,-18.3
2003-08-31,,-14.0,,
2003-09-30,2003-09-30,-17.0,-17.0,-16.6
2003-10-31,2003-10-31,-17.0,-17.0,-16.6
2003-11-30,2003-11-28,-16.0,-16.0,-16.3
2003-12-31,2004-01-07,-16.0,-15.0,-15.3
2004-01-31,2004-01-30,-16.0,-16.0,-15.8
2004-02-29,2004-02-27,-14.0,-16.0,-15.6
2004-03-31,2004-03-31,-14.0,-14.0,-14.1
2004-04-30,2004-04-30,-14.0,-14.0,-13.9
2004-05-31,2004-05-28,-16.0,-14.0,-14.1
2004-06-30,2004-06-30,-14.0,-15.0,-14.9
2004-07-31,2004-07-30,-14.0,-14.0,-13.5
2004-08-31,,-14.0,,
2004-09-30,2004-09-30,-13.0,-14.0,-13.4
2004-10-31,2004-10-29,-14.0,-13.0,-13.4
2004-11-30,2004-11-30,-13.0,-14.0,-14.3
2004-12-31,2005-01-06,-13.0,-13.0,-12.6
2005-01-31,2005-01-31,-13.0,-12.0,-12.4
2005-02-28,2005-02-28,-13.0,-13.0,-12.7
2005-03-31,2005-03-31,-14.0,-13.0,-12.9
2005-04-30,2005-04-29,-13.0,-14.0,-14.1
2005-05-31,2005-05-31,-15.0,-14.0,-13.7
2005-06-30,2005-06-30,-15.0,-15.0,-15.0
2005-07-31,2005-07-29,-15.0,-15.0,-14.9
2005-08-31,,-15.0,,
2005-09-30,2005-09-30,-15.0,-15.0,-15.2
2005-10-31,2005-10-28,-13.0,-15.0,-14.5
2005-11-30,2005-11-30,-13.0,-13.0,-12.8
2005-12-31,2006-01-05,-11.0,-12.0,-12.3
2006-01-31,2006-01-31,-11.0,-10.0,-10.5
2006-02-28,2006-02-28,-10.0,-10.0,-10.1
2006-03-31,2006-03-31,-11.0,-10.0,-10.0
2006-04-30,2006-04-28,-10.0,-11.0,-10.6
2006-05-31,2006-05-31,-9.0,-10.0,-9.7
2006-06-30,2006-06-30,-9.0,-9.0,-8.5
2006-07-31,2006-07-31,-8.0,-8.0,-8.4
2006-08-31,2006-08-31,-8.0,-8.0,-7.9
2006-09-30,2006-09-29,-8.0,-8.0,-7.7
2006-10-31,2006-10-31,-8.0,-8.0,-7.5
2006-11-30,2006-11-30,-7.0,-8.0,-7.7
2006-12-31,2007-01-05,-6.0,-7.0,-7.0
2007-01-31,2007-01-31,-7.0,-6.0,-6.4
2007-02-28,2007-02-28,-5.0,-6.0,-6.5
2007-03-31,2007-03-30,-4.0,-4.0,-4.5
2007-04-30,2007-04-30,-4.0,-3.0,-3.5
2007-05-31,2007-05-31,-1.0,-3.0,-3.5
2007-06-30,2007-06-29,-2.0,-1.0,-1.2
2007-07-31,2007-07-31,-2.0,-2.0,-1.9
2007-08-31,2007-08-31,-3.0,-2.0,-2.4
2007-09-30,2007-09-28,-5.0,-4.0,-3.6
2007-10-31,2007-10-31,-6.0,-5.0,-5.5
2007-11-30,2007-11-30,-8.0,-7.0,-6.9
2007-12-31,2008-01-07,-9.0,-8.0,-8.2
2008-01-31,2008-01-31,-12.0,-10.0,-9.9
2008-02-29,2008-02-29,-12.0,-12.0,-12.0
2008-03-31,2008-03-31,-12.0,-12.0,-12.3
2008-04-30,2008-04-30,-12.0,-13.0,-12.7
2008-05-31,2008-05-29,-15.0,-12.0,-12.2
2008-06-30,2008-06-27,-17.0,-16.0,-15.6
2008-07-31,2008-07-30,-20.0,-18.0,-18.4
2008-08-31,2008-08-29,-19.0,-20.0,-19.9
2008-09-30,2008-09-29,-19.0,-19.0,-18.7
2008-10-31,2008-10-30,-24.0,-20.3,-20.7
2008-11-30,2008-11-27,-25.0,-25.0,-24.9
2008-12-31,2009-01-08,-30.0,-26.0,-26.1
2009-01-31,2009-01-29,-31.0,-31.0,-30.5
2009-02-28,2009-02-26,-33.0,-31.0,-31.3
2009-03-31,2009-03-30,-33.7,-33.5,-33.4
2009-04-30,2009-04-29,-31.0,-33.0,-33.2
2009-05-31,2009-05-28,-31.0,-30.0,-30.2
2009-06-30,2009-06-29,-25.0,-30.0,-30.0
2009-07-31,2009-07-30,-23.0,-24.0,-24.0
2009-08-31,2009-08-28,-22.0,-21.0,-21.6
2009-09-30,2009-09-29,-19.0,-21.0,-20.8
