Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,4490.0,,
2003-07-31,2003-07-31,2976.0,,
2003-08-31,2003-08-31,-3506.0,,
2003-09-30,2003-09-30,3529.0,,
2003-10-31,2003-10-31,2926.0,,
2003-11-30,2003-11-30,-1966.0,,
2003-12-31,2003-12-31,7417.0,,
2004-01-31,2004-01-31,-2762.0,,
2004-02-29,2004-02-29,674.0,,
2004-03-31,2004-03-31,4244.0,,
2004-04-30,2004-04-30,3980.0,,
2004-05-31,2004-05-31,849.0,,
2004-06-30,2004-06-30,7529.0,,
2004-07-31,2004-07-31,1917.0,,
2004-08-31,2004-08-31,1062.0,,
2004-09-30,2004-09-30,2371.0,,
2004-10-31,2004-10-31,1658.0,,
2004-11-30,2004-11-30,830.0,,
2004-12-31,2004-12-31,5367.0,,
2005-01-31,2005-01-31,-189.0,,
2005-02-28,2005-02-28,110.0,,
2005-03-31,2005-03-31,4522.0,,
2005-04-30,2005-04-30,4188.0,,
2005-05-31,2005-05-31,4800.0,,
2005-06-30,2005-06-30,6786.0,,
2005-07-31,2005-07-31,2343.0,,
2005-08-31,2005-08-31,2078.0,,
2005-09-30,2005-09-30,4333.0,,
2005-10-31,2005-10-31,4493.0,,
2005-11-30,2005-11-30,2658.0,,
2005-12-31,2005-12-31,5443.0,,
2006-01-31,2006-01-31,1152.0,,
2006-02-28,2006-02-28,1969.0,,
2006-03-31,2006-03-31,2366.0,,
2006-04-30,2006-04-30,4520.0,,
2006-05-31,2006-05-31,7628.0,,
2006-06-30,2006-06-30,7271.0,,
2006-07-31,2006-07-31,3868.0,,
2006-08-31,2006-08-31,445.0,,
2006-09-30,2006-09-30,4543.0,,
2006-10-31,2006-10-31,3180.0,,
2006-11-30,2006-11-30,2404.0,,
2006-12-31,2006-12-31,3784.0,,
2007-01-31,2007-01-31,-1371.0,,
2007-02-28,2007-02-28,-1316.0,,
2007-03-31,2007-03-31,4669.0,,
2007-04-30,2007-04-30,3916.0,,
2007-05-31,2007-05-31,2359.0,,
2007-06-30,2007-06-30,7245.0,,
2007-07-31,2007-07-31,4229.0,,
2007-08-31,2007-08-31,-357.0,,
2007-09-30,2007-09-30,1111.0,,
2007-10-31,2007-10-31,5777.0,,
2007-11-30,2007-11-30,-128.0,,
2007-12-31,2007-12-31,5164.0,,
2008-01-31,2008-01-31,-2660.0,,
2008-02-29,2008-02-29,433.0,,
2008-03-31,2008-03-31,4388.0,,
2008-04-30,2008-04-30,4264.0,,
2008-05-31,2008-05-31,559.0,,
2008-06-30,2008-06-30,7299.0,,
2008-07-31,2008-07-31,1207.0,,
2008-08-31,2008-08-31,-2742.0,,
2008-09-30,2008-09-30,3545.0,,
2008-10-31,2008-10-31,134.0,,
2008-11-30,2008-11-30,-4193.0,,
2008-12-31,2008-12-31,-1840.0,,
2009-01-31,2009-01-31,-4679.0,,
2009-02-28,2009-02-28,-1783.0,,
2009-03-31,2009-03-31,3364.0,,
2009-04-30,2009-04-30,-4354.0,,
2009-05-31,2009-05-31,-590.0,,
2009-06-30,2009-06-30,6746.0,,
2009-07-31,2009-07-31,-31.0,,
2009-08-31,2009-08-31,-2555.0,,
2009-09-30,2009-09-30,2377.0,,
2009-10-31,2009-10-31,-922.0,,
2009-11-30,2009-11-30,-1827.0,,
2009-12-31,2009-12-31,3281.0,,
2010-01-31,2010-01-31,-7134.0,,
2010-02-28,2010-02-28,-3775.0,,
2010-03-31,2010-03-31,2447.0,,
2010-04-30,2010-04-30,-163.0,,
2010-05-31,2010-05-31,-1047.0,,
2010-06-30,2010-06-30,6403.0,,
2010-07-31,2010-07-31,-2049.0,,
2010-08-31,2010-08-31,-1641.0,,
2010-09-30,2010-09-30,-448.0,,
2010-10-31,2010-10-31,-575.0,,
2010-11-30,2010-11-30,225.0,,
2010-12-31,2010-12-31,-907.0,,
2011-01-31,2011-01-31,-4878.0,,
2011-02-28,2011-02-28,-2785.0,,
2011-03-31,2011-03-31,1638.0,,
2011-04-30,2011-04-30,1277.0,,
2011-05-31,2011-05-31,-1906.0,,
2011-06-30,2011-06-30,349.0,,
2011-07-31,2011-07-31,-3558.0,,
2011-08-31,2011-08-31,-1522.0,,
2011-09-30,2011-09-30,470.0,,
2011-10-31,2011-10-31,-678.0,,
2011-11-30,2011-11-30,-1847.0,,
2011-12-31,2011-12-31,1878.0,,
2012-01-31,2012-01-31,-3286.0,,
2012-02-29,2012-02-29,-4601.0,,
2012-03-31,2012-03-31,198.0,,
2012-04-30,2012-04-30,-757.0,,
2012-05-31,2012-05-31,994.0,,
2012-06-30,2012-06-30,405.0,,
2012-07-31,2012-07-31,-5645.0,,
2012-08-31,2012-08-31,-3584.0,,
2012-09-30,2012-09-30,-875.0,,
2012-10-31,2012-10-31,-936.0,,
2012-11-30,2012-11-30,-2030.0,,
2012-12-31,2012-12-31,2373.0,,
2013-01-31,2013-01-31,-4979.0,,
2013-02-28,2013-02-28,-5355.0,,
2013-03-31,2013-03-31,-954.0,,
2013-04-30,2013-04-30,1122.0,,
2013-05-31,2013-05-31,-1366.0,,
2013-06-30,2013-06-30,221.0,,
2013-07-31,2013-07-31,681.0,,
2013-08-31,2013-08-31,-3138.0,,
2013-09-30,2013-09-30,364.0,,
2013-10-31,2013-10-31,-5653.0,,
2013-11-30,2013-11-30,-2683.0,,
2013-12-31,2013-12-31,3488.0,,
2014-01-31,2014-01-31,-4146.0,,
2014-02-28,2014-02-28,-3148.0,,
2014-03-31,2014-03-31,2874.0,,
2014-04-30,2014-04-30,237.0,,
2014-05-31,2014-05-31,-1916.0,,
2014-06-30,2014-06-30,4372.0,,
2014-07-31,2014-07-31,-208.0,,
2014-08-31,2014-08-31,-2969.0,,
2014-09-30,2014-09-30,3244.0,,
2014-10-31,2014-10-31,1048.0,,
2014-11-30,2014-11-30,-2741.0,,
2014-12-31,2014-12-31,231.0,,
2015-01-31,2015-01-31,-3132.0,,
2015-02-28,2015-02-28,-3850.0,,
2015-03-31,2015-03-31,4767.0,,
2015-04-30,2015-04-30,762.0,,
2015-05-31,2015-05-31,1473.0,,
2015-06-30,2015-06-30,11558.0,,
2015-07-31,2015-07-31,656.0,,
2015-08-31,2015-08-31,409.0,,
2015-09-30,2015-09-30,3027.0,,
2015-10-31,2015-10-31,2406.0,,
2015-11-30,2015-11-30,961.0,,
2015-12-31,2015-12-31,2262.0,,
2016-01-31,2016-01-31,-2521.0,,
2016-02-29,2016-02-29,1449.0,,
2016-03-31,2016-03-31,5415.0,,
2016-04-30,2016-04-30,1908.0,,
2016-05-31,2016-05-31,-3318.0,,
2016-06-30,2016-06-30,6318.0,,
2016-07-31,2016-07-31,-491.0,,
2016-08-31,2016-08-31,1918.0,,
2016-09-30,2016-09-30,3095.0,,
2016-10-31,2016-10-31,3744.0,,
2016-11-30,2016-11-30,1056.0,,
2016-12-31,2016-12-31,5002.0,,
2017-01-31,2017-01-31,996.0,,
2017-02-28,2017-02-28,-643.0,,
2017-03-31,2017-03-31,7489.0,,
2017-04-30,2017-04-30,2923.0,,
2017-05-31,2017-05-31,5930.0,,
2017-06-30,2017-06-30,4986.0,,
2017-07-31,2017-07-31,4382.0,,
2017-08-31,2017-08-31,1877.0,,
2017-09-30,2017-09-30,3856.0,,
2017-10-31,2017-10-31,3728.0,,
2017-11-30,2017-11-30,4524.0,,
2017-12-31,2017-12-31,3925.0,,
2018-01-31,2018-01-31,2174.0,,
2018-02-28,2018-02-28,207.0,,
2018-03-31,2018-03-31,6196.0,,
2018-04-30,2018-04-30,4962.0,,
2018-05-31,2018-05-31,4777.0,,
2018-06-30,2018-06-30,5010.0,,
2018-07-31,2018-07-31,5352.0,,
2018-08-31,2018-08-31,1296.0,,
2018-09-30,2018-09-30,1319.0,,
2018-10-31,2018-10-31,6043.0,,
2018-11-30,2018-11-30,2756.0,,
2018-12-31,2018-12-31,2536.5,,
2019-01-31,2019-01-31,581.8,,
2019-02-28,2019-02-28,-548.1,,
2019-03-31,2019-03-31,6284.7,,
2019-04-30,2019-04-30,5645.1,,
2019-05-31,2019-05-31,5732.5,,
2019-06-30,2019-06-30,5171.9,,
2019-07-31,2019-07-31,5488.6,,
2019-08-31,2019-08-31,374.7,,
2019-09-30,2019-09-30,2096.7,,
2019-10-31,2019-10-31,2915.8,,
2019-11-30,2019-11-30,2513.9,,
2019-12-31,2019-12-31,5370.7,,
2020-01-31,2020-01-31,-194.7,,
2020-02-29,2020-02-29,-23.5,,
2020-03-31,2020-03-31,-6631.2,,
2020-04-30,2020-04-30,-14333.6,,
2020-05-31,2020-05-31,-2369.8,,
2020-06-30,2020-06-30,8791.3,,
2020-07-31,2020-07-31,3886.1,,
2020-08-31,2020-08-31,408.2,,
2020-09-30,2020-09-30,-580.8,,
2020-10-31,2020-10-31,1874.8,,
2020-11-30,2020-11-30,-3671.9,,
2020-12-31,2020-12-31,745.4,,
2021-01-31,2021-01-31,-7527.0,,
2021-02-28,2021-02-28,-1754.7,,
2021-03-31,2021-03-31,3291.2,,
2021-04-30,2021-04-30,-679.6,,
2021-05-31,2021-05-31,1915.6,,
2021-06-30,2021-06-30,5951.5,,
2021-07-31,2021-07-31,2333.7,,
2021-08-31,2021-08-31,-851.5,,
2021-09-30,2021-09-30,1460.0,,
2021-10-31,2021-10-31,1518.6,,
2021-11-30,2021-11-30,5351.6,,
2021-12-31,2021-12-31,-688.9,,
2022-01-31,2022-01-31,-2654.5,,
2022-02-28,2022-02-28,546.6,,
2022-03-31,2022-03-31,3601.1,,
2022-04-30,2022-04-30,2382.8,,
2022-05-31,2022-05-31,4942.3,,
2022-06-30,2022-06-30,5545.3,,
2022-07-31,2022-07-31,1971.5,,
2022-08-31,2022-08-31,-822.6,,
2022-09-30,2022-09-30,2620.6,,
2022-10-31,2022-10-31,2208.5,,
2022-11-30,2022-11-30,1878.8,,
2022-12-31,2022-12-31,725.5,,
2023-01-31,2023-01-31,-3111.5,,
2023-02-28,2023-02-28,-897.2,,
2023-03-31,2023-03-31,4515.1,,
2023-04-30,2023-04-30,812.1,,
2023-05-31,2023-05-31,4148.4,,
2023-06-30,2023-06-30,3896.5,,
2023-07-31,2023-07-31,3166.4,,
2023-08-31,2023-08-31,202.0,,
2023-09-30,2023-09-30,2442.5,,
2023-10-31,2023-10-31,1919.8,,
2023-11-30,2023-11-30,522.6,,
2023-12-31,2023-12-31,3.3,,
2024-01-31,2024-01-31,-1630.9,,
2024-02-29,2024-02-29,3.2,,
2024-03-31,2024-03-31,6414.0,,
2024-04-30,2024-04-30,2534.9,,
2024-05-31,2024-05-31,1323.6,,
2024-06-30,2024-06-30,619.4,,
2024-07-31,2024-07-31,6609.9,,
2024-08-31,2024-08-31,-513.9,,
2024-09-30,2024-09-30,2453.9,,
2024-10-31,2024-10-31,4073.4,,
2024-11-30,2024-11-30,885.0,,
2024-12-31,2024-12-31,6039.6,,
2025-01-31,2025-01-31,-2835.9,,
2025-02-28,2025-02-28,-112.8,,
2025-03-31,2025-03-31,7707.3,,
2025-04-30,2025-04-30,2967.6,,
