Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,501875.0,,
2003-07-31,2003-07-31,503553.0,,
2003-08-31,2003-08-31,487105.0,,
2003-09-30,2003-09-30,477880.0,,
2003-10-31,2003-10-31,481195.0,,
2003-11-30,2003-11-30,479003.0,,
2003-12-31,2003-12-31,484489.0,,
2004-01-31,2004-01-31,481240.0,,
2004-02-29,2004-02-29,481419.0,,
2004-03-31,2004-03-31,484545.0,,
2004-04-30,2004-04-30,489339.0,,
2004-05-31,2004-05-31,489732.0,,
2004-06-30,2004-06-30,502197.0,,
2004-07-31,2004-07-31,503950.0,,
2004-08-31,2004-08-31,504824.0,,
2004-09-30,2004-09-30,507511.0,,
2004-10-31,2004-10-31,509318.0,,
2004-11-30,2004-11-30,509874.0,,
2004-12-31,2004-12-31,515442.0,,
2005-01-31,2005-01-31,515108.0,,
2005-02-28,2005-02-28,514788.0,,
2005-03-31,2005-03-31,519304.0,,
2005-04-30,2005-04-30,522923.0,,
2005-05-31,2005-05-31,527479.0,,
2005-06-30,2005-06-30,538743.0,,
2005-07-31,2005-07-31,540558.0,,
2005-08-31,2005-08-31,542040.0,,
2005-09-30,2005-09-30,546215.0,,
2005-10-31,2005-10-31,550282.0,,
2005-11-30,2005-11-30,551603.0,,
2005-12-31,2005-12-31,555535.0,,
2006-01-31,2006-01-31,555994.0,,
2006-02-28,2006-02-28,557288.0,,
2006-03-31,2006-03-31,558440.0,,
2006-04-30,2006-04-30,562757.0,,
2006-05-31,2006-05-31,570326.0,,
2006-06-30,2006-06-30,577586.0,,
2006-07-31,2006-07-31,581023.0,,
2006-08-31,2006-08-31,581511.0,,
2006-09-30,2006-09-30,584383.0,,
2006-10-31,2006-10-31,585945.0,,
2006-11-30,2006-11-30,586847.0,,
2006-12-31,2006-12-31,588130.0,,
2007-01-31,2007-01-31,588428.0,,
2007-02-28,2007-02-28,586666.0,,
2007-03-31,2007-03-31,591534.0,,
2007-04-30,2007-04-30,594912.0,,
