Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-16,0.1,0.1,0.1
2003-07-31,2003-08-19,-0.2,-0.1,-0.1
2003-08-31,2003-09-17,0.2,0.2,0.2
2003-09-30,2003-10-16,0.3,0.3,0.3
2003-10-31,2003-11-18,0.1,0.3,0.3
2003-11-30,2003-12-17,0.1,0.1,0.1
2003-12-31,2004-01-21,0.3,0.4,0.4
2004-01-31,2004-02-27,-0.2,-0.1,0.0
2004-02-29,2004-03-17,0.2,0.2,0.2
2004-03-31,2004-04-16,0.7,0.6,0.6
2004-04-30,2004-05-18,0.4,0.5,0.5
2004-05-31,2004-06-16,0.3,0.3,0.3
2004-06-30,2004-07-16,0.0,0.0,0.0
2004-07-31,2004-08-18,-0.2,-0.1,-0.1
2004-08-31,2004-09-16,0.2,0.2,0.2
2004-09-30,2004-10-18,0.2,0.2,0.2
2004-10-31,2004-11-17,0.3,0.3,0.3
2004-11-30,2004-12-16,-0.1,-0.1,-0.1
2004-12-31,2005-01-20,0.4,0.3,0.1
2005-01-31,2005-02-28,-0.6,-0.6,-0.5
2005-02-28,2005-03-16,0.3,0.3,0.3
2005-03-31,2005-04-18,0.7,0.7,0.7
2005-04-30,2005-05-19,0.4,0.4,0.4
2005-05-31,2005-06-16,0.2,0.3,0.3
2005-06-30,2005-07-18,0.1,0.2,0.2
2005-07-31,2005-08-18,-0.1,0.0,0.0
2005-08-31,2005-09-16,0.3,0.1,0.1
2005-09-30,2005-10-18,0.5,0.4,0.4
2005-10-31,2005-11-16,0.3,0.3,0.3
2005-11-30,2005-12-16,-0.3,-0.2,-0.2
2005-12-31,2006-01-19,0.3,0.3,0.3
2006-01-31,2006-02-28,-0.4,-0.4,-0.4
2006-02-28,2006-03-16,0.3,0.3,0.3
2006-03-31,2006-04-20,0.6,0.6,0.6
2006-04-30,2006-05-17,0.7,0.6,0.6
2006-05-31,2006-06-15,0.3,0.3,0.3
2006-06-30,2006-07-17,0.1,0.1,0.1
2006-07-31,2006-08-17,-0.1,0.0,-0.1
2006-08-31,2006-09-15,0.1,0.1,0.1
2006-09-30,2006-10-17,0.0,0.0,0.0
2006-10-31,2006-11-16,0.1,0.1,0.1
2006-11-30,2006-12-15,0.0,0.0,0.0
2006-12-31,2007-01-17,0.4,0.4,0.4
2007-01-31,2007-02-28,-0.5,-0.5,-0.5
2007-02-28,2007-03-15,0.3,0.3,0.3
2007-03-31,2007-04-16,0.7,0.6,0.6
2007-04-30,2007-05-16,0.6,0.6,0.6
2007-05-31,2007-06-14,0.2,0.3,0.3
2007-06-30,2007-07-16,0.1,0.1,0.1
2007-07-31,2007-08-16,-0.2,-0.2,-0.2
2007-08-31,2007-09-14,0.1,0.1,0.1
2007-09-30,2007-10-16,0.4,0.4,0.4
2007-10-31,2007-11-15,0.5,0.5,0.5
2007-11-30,2007-12-14,0.5,0.5,0.5
2007-12-31,2008-01-16,0.4,0.4,0.4
2008-01-31,2008-02-29,-0.4,-0.4,-0.4
2008-02-29,2008-03-14,0.3,0.3,0.3
2008-03-31,2008-04-16,1.0,0.9,0.9
2008-04-30,2008-05-15,0.3,0.3,0.3
2008-05-31,2008-06-16,0.6,0.6,0.6
2008-06-30,2008-07-16,0.4,0.4,0.4
2008-07-31,2008-08-14,-0.2,-0.1,-0.1
2008-08-31,2008-09-16,-0.1,-0.2,-0.2
2008-09-30,2008-10-15,0.2,0.1,0.1
2008-10-31,2008-11-14,0.0,0.1,0.1
2008-11-30,2008-12-17,-0.5,-0.5,-0.5
2008-12-31,2009-01-15,-0.1,-0.1,-0.1
2009-01-31,2009-02-27,-0.8,-0.8,-0.8
2009-02-28,2009-03-16,0.4,0.4,0.4
2009-03-31,2009-04-16,0.4,0.4,0.4
2009-04-30,2009-05-15,0.4,0.4,0.4
2009-05-31,2009-06-16,0.1,0.0,0.0
2009-06-30,2009-07-15,0.2,0.2,0.2
2009-07-31,2009-08-14,-0.7,-0.6,-0.6
2009-08-31,2009-09-16,0.3,0.3,0.3
2009-09-30,2009-10-15,0.0,0.1,0.1
2009-10-31,2009-11-16,0.2,0.3,0.3
2009-11-30,2009-12-16,0.1,0.2,0.2
2009-12-31,2010-01-15,0.3,0.3,0.3
2010-01-31,2010-02-26,-0.8,-0.8,-0.7
2010-02-28,2010-03-16,0.3,0.3,0.3
2010-03-31,2010-04-16,0.9,0.9,0.9
2010-04-30,2010-05-18,0.5,0.4,0.4
2010-05-31,2010-06-16,0.1,0.1,0.1
2010-06-30,2010-07-14,0.0,0.0,0.0
2010-07-31,2010-08-16,-0.3,-0.4,-0.4
2010-08-31,2010-09-15,0.2,0.2,0.2
2010-09-30,2010-10-15,0.2,0.2,0.2
2010-10-31,2010-11-16,0.4,0.3,0.3
2010-11-30,2010-12-16,0.1,0.1,0.1
2010-12-31,2011-01-14,0.6,0.6,0.6
2011-01-31,2011-02-28,-0.7,-0.6,-0.7
2011-02-28,2011-03-16,0.4,0.4,0.4
2011-03-31,2011-04-15,1.4,1.3,1.2
2011-04-30,2011-05-16,0.6,0.6,0.6
2011-05-31,2011-06-16,0.0,0.0,0.0
2011-06-30,2011-07-14,0.0,0.0,0.0
2011-07-31,2011-08-17,-0.6,-0.6,-0.6
2011-08-31,2011-09-15,0.2,0.2,0.2
2011-09-30,2011-10-14,0.8,0.8,0.8
2011-10-31,2011-11-16,0.3,0.3,0.3
2011-11-30,2011-12-15,0.1,0.1,0.1
2011-12-31,2012-01-17,0.3,0.4,0.4
2012-01-31,2012-02-29,-0.8,-0.8,-0.8
2012-02-29,2012-03-14,0.5,0.5,0.5
2012-03-31,2012-04-17,1.3,1.2,1.3
2012-04-30,2012-05-16,0.5,0.5,0.5
2012-05-31,2012-06-14,-0.1,-0.2,-0.2
2012-06-30,2012-07-16,-0.1,0.0,0.0
