Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-22,3.2,,
2003-07-31,2003-09-24,1.2,,
2003-08-31,2003-10-24,5.0,,
2003-09-30,2003-11-26,9.3,,
2003-10-31,2003-12-23,8.1,,
2003-11-30,2004-01-30,4.4,,
2003-12-31,2004-02-24,5.0,,
2004-01-31,2004-03-23,-5.3,-5.3,-4.186
2004-02-29,2004-04-27,5.8,3.6,3.425
2004-03-31,2004-05-26,12.4,8.3,7.16
2004-04-30,2004-06-25,0.4,-2.0,-1.92
2004-05-31,2004-07-26,3.2,4.0,3.5
2004-06-30,2004-08-20,4.5,4.0,4.2
2004-07-31,2004-09-21,3.1,2.0,2.48
2004-08-31,2004-10-26,2.1,-0.95,-0.367
2004-09-30,2004-11-25,-0.3,2.9,3.067
2004-10-31,2004-12-22,1.1,2.5,2.4
2004-11-30,2005-01-26,3.2,2.0,2.5
2004-12-31,2005-02-22,6.6,3.3,3.1
2005-01-31,2005-03-23,-7.9,-2.0,-1.509
2005-02-28,2005-04-22,8.0,,
2005-03-31,2005-05-27,3.0,7.0,6.6
2005-04-30,2005-06-27,-11.6,-3.5,-3.0
2005-05-31,2005-07-21,-3.9,0.5,0.875
2005-06-30,2005-08-22,-2.1,,
2005-07-31,2005-09-21,0.2,2.5,2.667
2005-08-31,2005-10-24,-2.9,,
2005-09-30,2005-11-24,-4.8,-3.5,-3.467
2005-10-31,2005-12-23,-9.2,-3.0,-3.667
2005-11-30,2006-01-24,-8.5,,
2006-01-31,2006-03-23,-11.3,,
2006-02-28,2006-04-25,-1.8,,
2006-03-31,2006-05-29,-1.3,-1.0,-1.3
2006-04-30,2006-06-26,-8.0,,
2006-05-31,2006-07-25,-11.9,-2.0,-1.9
2006-06-30,2006-08-22,5.5,,
2006-07-31,2006-09-21,1.4,,
2006-08-31,2006-10-24,-3.9,-2.5,-2.2
2006-09-30,2006-11-23,-0.8,,
2006-10-31,2006-12-22,-0.4,0.3,-0.033
2006-11-30,2007-01-25,1.7,0.8,2.333
2006-12-31,2007-02-21,5.0,3.5,3.1
2007-01-31,2007-03-23,-6.0,,
2007-02-28,2007-04-27,-7.2,1.55,1.025
2007-03-31,2007-05-29,8.8,,
2007-04-30,2007-06-26,-6.5,,
2007-05-31,2007-07-24,-14.6,-4.2,-4.233
2007-06-30,2007-08-22,11.4,,
2007-07-31,2007-09-21,3.3,,
2007-08-31,2007-10-24,0.7,,
2007-09-30,2007-11-22,4.4,0.0,-1.133
2007-10-31,2007-12-21,2.0,3.0,2.6
2007-11-30,2008-01-29,1.0,,
2007-12-31,2008-02-21,1.9,,
2008-01-31,2008-03-26,-19.1,,
2008-02-29,2008-04-24,5.0,,
2008-03-31,2008-05-28,-7.8,,
2008-04-30,2008-06-27,-9.2,,
2008-05-31,2008-07-24,-21.4,-6.0,10.733
2008-06-30,2008-08-22,-1.0,,
2008-07-31,2008-09-24,-1.1,,
2008-08-31,2008-10-23,-7.9,,
2008-09-30,2008-11-24,-6.0,,
2008-10-31,2008-12-23,-4.8,,
2008-11-30,2009-01-27,-13.9,,
2008-12-31,2009-02-24,1.4,,
2009-01-31,2009-03-24,-18.2,,
2009-02-28,2009-04-23,-2.3,,
2009-03-31,2009-05-26,-3.5,,
2009-04-30,2009-06-24,-9.2,,
2009-05-31,2009-07-23,-13.0,,
2009-06-30,2009-08-19,-0.3,,
2009-07-31,2009-09-18,8.8,,
2009-08-31,2009-10-22,-5.0,,
2009-09-30,2009-11-18,-5.0,,
2009-10-31,2009-12-18,-3.9,,
2009-11-30,2010-01-26,0.1,,
2009-12-31,2010-02-19,9.4,,
2010-01-31,2010-03-18,-16.7,,
2010-02-28,2010-04-20,-5.2,,
2010-03-31,2010-05-21,1.3,,
2010-04-30,2010-06-22,-6.9,,
2010-05-31,2010-07-19,-16.7,,
2010-06-30,2010-08-17,1.0,,
2010-07-31,2010-09-17,3.7,,
2010-08-31,2010-10-19,-10.5,,
2010-09-30,2010-11-18,-9.2,,
2010-10-31,2010-12-20,-2.3,,
2010-11-30,2011-01-19,-6.0,,
2010-12-31,2011-02-17,-0.1,,
2011-01-31,2011-03-18,-19.6,,
2011-02-28,2011-04-19,-9.5,,
2011-03-31,2011-05-20,-3.8,,
2011-04-30,2011-06-20,-6.5,,
2011-05-31,2011-07-21,-18.3,,
2011-06-30,2011-08-17,-3.3,,
2011-07-31,2011-09-16,-3.2,,
2011-08-31,2011-10-19,-6.3,,
2011-09-30,2011-11-21,-2.5,,
2011-10-31,2011-12-19,1.7,,
2011-11-30,2012-01-19,1.0,,
2011-12-31,2012-02-17,16.3,,
2012-01-31,2012-03-19,-12.3,,
2012-02-29,2012-04-18,-5.9,,
2012-03-31,2012-05-23,7.5,,
2012-04-30,2012-06-21,1.6,,
2012-05-31,2012-07-19,-2.5,,
2012-06-30,2012-08-17,15.7,,
2012-07-31,2012-09-17,15.9,,
2012-08-31,2012-10-19,7.2,,
2012-09-30,2012-11-16,3.5,,
2012-10-31,2012-12-19,7.2,,
2012-11-30,2013-01-24,19.8,,
2012-12-31,2013-02-18,27.0,,
2013-01-31,2013-03-20,-4.5,,
2013-02-28,2013-04-19,12.1,,
2013-03-31,2013-05-22,24.8,,
2013-04-30,2013-06-21,15.3,,
2013-05-31,2013-07-18,9.5,,
2013-06-30,2013-08-16,26.1,,
2013-07-31,2013-09-17,26.6,,
2013-08-31,2013-10-17,12.0,,
2013-09-30,2013-11-18,14.0,,
2013-10-31,2013-12-19,26.2,,
2013-11-30,2014-01-23,27.4,,
2013-12-31,2014-02-18,33.2,,
2014-01-31,2014-03-21,6.4,,
2014-02-28,2014-04-16,13.9,,
2014-03-31,2014-05-21,20.9,,
2014-04-30,2014-06-20,18.7,,
2014-05-31,2014-07-18,8.9,,
2014-06-30,2014-08-19,20.8,,
2014-07-31,2014-09-19,32.3,,
2014-08-31,2014-10-20,15.1,,
2014-09-30,2014-11-19,31.0,,
2014-10-31,2014-12-19,30.6,,
2014-11-30,2015-01-19,24.6,,
2014-12-31,2015-02-19,29.2,,
2015-01-31,2015-03-20,8.2,,
2015-02-28,2015-04-17,13.8,,
2015-03-31,2015-05-21,24.9,,
2015-04-30,2015-06-19,20.4,,
2015-05-31,2015-07-20,3.4,,
2015-06-30,2015-08-19,31.1,,
2015-07-31,2015-09-18,33.8,,
2015-08-31,2015-10-20,13.7,,
2015-09-30,2015-11-19,33.1,,
2015-10-31,2015-12-18,25.9,,
2015-11-30,2016-01-19,29.8,,
2015-12-31,2016-02-18,41.4,,
2016-01-31,2016-03-21,6.3,,
2016-02-29,2016-04-19,11.1,,
2016-03-31,2016-05-20,32.3,,
2016-04-30,2016-06-17,34.0,,
2016-05-31,2016-07-20,15.4,,
2016-06-30,2016-08-18,37.6,,
2016-07-31,2016-09-19,31.5,,
2016-08-31,2016-10-20,23.6,,
2016-09-30,2016-11-18,29.8,,
2016-10-31,2016-12-20,32.8,,
2016-11-30,2017-01-19,40.5,,
2016-12-31,2017-02-17,47.0,,
2017-01-31,2017-03-22,2.5,,
2017-02-28,2017-04-21,27.9,,
2017-03-31,2017-05-19,44.8,,
2017-04-30,2017-06-20,21.5,,
2017-05-31,2017-07-20,18.3,,
2017-06-30,2017-08-18,28.1,,
2017-07-31,2017-09-19,32.5,,
2017-08-31,2017-10-20,29.6,,
2017-09-30,2017-11-17,41.8,,
2017-10-31,2017-12-20,35.9,,
2017-11-30,2018-01-19,37.8,,
2017-12-31,2018-02-19,45.8,,
2018-01-31,2018-03-22,12.8,,
2018-02-28,2018-04-19,22.7,,
2018-03-31,2018-05-18,40.6,,
2018-04-30,2018-06-19,26.2,,
2018-05-31,2018-07-20,4.6,,
