Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-09-30,2003-11-26,7.7,,
2003-10-31,2003-12-23,5.6,4.0,4.14
2003-11-30,2004-01-30,1.7,6.5,6.25
2003-12-31,2004-02-24,2.5,6.0,5.125
2004-01-31,2004-03-23,2.5,,
2004-02-29,2004-04-27,5.4,,
2004-03-31,2004-05-26,5.1,,
2004-04-30,2004-06-25,9.0,9.0,8.8
2004-05-31,2004-07-26,5.8,,
2004-06-30,2004-08-20,-0.5,,
2004-07-31,2004-09-21,1.8,1.2,1.4
2004-08-31,2004-10-26,-0.4,,
2004-09-30,2004-11-25,-3.2,,
2004-10-31,2004-12-22,0.9,,
2004-11-30,2005-01-26,0.4,,
2004-12-31,2005-02-22,2.7,,
2005-01-31,2005-03-23,3.2,3.0,2.833
2005-02-28,2005-04-22,5.1,,
2005-03-31,2005-05-27,2.3,4.5,3.667
2005-04-30,2005-06-27,-0.8,2.0,1.25
2005-05-31,2005-07-21,0.9,,
2005-06-30,2005-08-22,-2.5,1.2,1.24
2005-07-31,2005-09-21,-5.9,-1.5,-1.133
2005-08-31,2005-10-24,-6.6,,
2005-09-30,2005-11-24,-4.5,-5.25,-5.125
2005-10-31,2005-12-23,-9.0,,
2005-11-30,2006-01-24,-10.1,,
2005-12-31,2006-02-22,-5.3,-0.6,0.0
2006-01-31,2006-03-23,-3.3,,
2006-02-28,2006-04-25,-5.6,,
2006-03-31,2006-05-29,-3.2,,
2006-04-30,2006-06-26,0.0,-3.5,-3.5
2006-05-31,2006-07-25,-8.2,-1.3,-2.733
2006-06-30,2006-08-22,4.0,-5.0,-5.2
2006-07-31,2006-09-21,-4.8,0.0,-0.417
2006-08-31,2006-10-24,-6.9,-3.5,-3.82
2006-09-30,2006-11-23,-0.3,,
2006-10-31,2006-12-22,0.0,1.0,0.713
2006-11-30,2007-01-25,-2.0,1.0,1.867
2006-12-31,2007-02-21,2.3,-1.0,-0.538
2007-01-31,2007-03-23,2.7,2.5,2.229
2007-02-28,2007-04-27,-5.3,1.1,0.4
2007-03-31,2007-05-29,5.4,,
2007-04-30,2007-06-26,-4.0,,
2007-05-31,2007-07-24,-8.6,-0.15,-1.075
2007-06-30,2007-08-22,5.9,,
2007-07-31,2007-09-21,1.7,3.5,3.18
2007-08-31,2007-10-24,3.8,2.0,1.1
2007-09-30,2007-11-22,0.6,4.0,3.32
2007-10-31,2007-12-21,1.3,1.8,1.8
2007-11-30,2008-01-29,0.7,,
2007-12-31,2008-02-21,-10.3,0.2,0.117
2008-01-31,2008-03-26,-10.6,,
2008-02-29,2008-04-24,4.3,,
2008-03-31,2008-05-28,-15.3,,
2008-04-30,2008-06-27,-0.3,,
2008-05-31,2008-07-24,-7.3,,
2008-06-30,2008-08-22,-8.2,,
2008-07-31,2008-09-24,-1.7,,
2008-08-31,2008-10-23,-8.4,,
2008-09-30,2008-11-24,-10.6,,
2008-10-31,2008-12-23,-6.4,,
2008-11-30,2009-01-27,-16.0,,
2008-12-31,2009-02-24,-7.3,,
2009-01-31,2009-03-24,-12.7,,
2009-02-28,2009-04-23,-8.1,-10.7,-8.233
2009-03-31,2009-05-26,-6.5,,
2009-04-30,2009-06-24,-5.9,,
2009-05-31,2009-07-23,-1.2,,
2009-06-30,2009-08-19,-5.3,,
2009-07-31,2009-09-18,6.6,,
2009-08-31,2009-10-22,-1.3,,
2009-09-30,2009-11-18,-5.4,,
2009-10-31,2009-12-18,-4.6,,
2009-11-30,2010-01-26,0.1,,
2009-12-31,2010-02-19,1.9,,
2010-01-31,2010-03-18,-8.1,,
2010-02-28,2010-04-20,-3.9,,
2010-03-31,2010-05-21,1.7,,
2010-04-30,2010-06-22,-5.1,,
2010-05-31,2010-07-19,-5.8,,
2010-06-30,2010-08-17,-4.6,,
2010-07-31,2010-09-17,-3.8,,
2010-08-31,2010-10-19,-7.5,,
2010-09-30,2010-11-18,-13.1,,
2010-10-31,2010-12-20,-9.8,,
2010-11-30,2011-01-19,-11.2,,
2010-12-31,2011-02-17,-13.3,,
2011-01-31,2011-03-18,-0.7,,
2011-02-28,2011-04-19,-7.2,,
2011-03-31,2011-05-20,-4.7,,
2011-04-30,2011-06-20,-5.1,,
2011-05-31,2011-07-21,-5.2,,
2011-06-30,2011-08-17,-7.4,,
2011-07-31,2011-09-16,-12.9,,
2011-08-31,2011-10-19,-5.0,,
2011-09-30,2011-11-21,0.5,,
2011-10-31,2011-12-19,-7.5,,
2011-11-30,2012-01-19,-1.8,,
2011-12-31,2012-02-17,2.0,,
2012-01-31,2012-03-19,4.5,,
2012-02-29,2012-04-18,-1.3,,
2012-03-31,2012-05-23,9.1,,
2012-04-30,2012-06-21,4.6,,
2012-05-31,2012-07-19,10.9,,
2012-06-30,2012-08-17,12.7,,
2012-07-31,2012-09-17,9.7,,
2012-08-31,2012-10-19,8.8,,
2012-09-30,2012-11-16,0.8,,
2012-10-31,2012-12-19,3.9,,
2012-11-30,2013-01-24,14.8,,
2012-12-31,2013-02-18,13.9,,
2013-01-31,2013-03-20,14.8,,
2013-02-28,2013-04-19,16.3,,
2013-03-31,2013-05-22,25.9,,
2013-04-30,2013-06-21,19.5,,
2013-05-31,2013-07-18,19.6,,
2013-06-30,2013-08-16,16.9,,
2013-07-31,2013-09-17,16.9,,
2013-08-31,2013-10-17,17.4,,
2013-09-30,2013-11-18,13.7,,
2013-10-31,2013-12-19,21.8,,
2013-11-30,2014-01-23,23.5,,
2013-12-31,2014-02-18,21.3,,
2014-01-31,2014-03-21,25.3,,
2014-02-28,2014-04-16,21.9,,
2014-03-31,2014-05-21,18.8,,
2014-04-30,2014-06-20,21.5,,
2014-05-31,2014-07-18,19.5,,
2014-06-30,2014-08-19,13.1,,
2014-07-31,2014-09-19,18.7,,
2014-08-31,2014-10-20,18.9,,
2014-09-30,2014-11-19,30.0,,
2014-10-31,2014-12-19,20.5,,
2014-11-30,2015-01-19,18.1,,
2014-12-31,2015-02-19,17.8,,
2015-01-31,2015-03-20,29.4,,
2015-02-28,2015-04-17,26.4,,
2015-03-31,2015-05-21,18.6,26.0,26.667
2015-04-30,2015-06-19,22.3,,
2015-05-31,2015-07-20,18.0,,
2015-06-30,2015-08-19,25.4,,
2015-07-31,2015-09-18,22.6,,
2015-08-31,2015-10-20,17.7,,
2015-09-30,2015-11-19,29.4,,
2015-10-31,2015-12-18,20.4,,
2015-11-30,2016-01-19,26.4,,
2015-12-31,2016-02-18,25.5,,
2016-01-31,2016-03-21,25.4,,
2016-02-29,2016-04-19,19.0,,
2016-03-31,2016-05-20,27.3,,
2016-04-30,2016-06-17,36.2,,
2016-05-31,2016-07-20,30.8,,
2016-06-30,2016-08-18,28.2,,
2016-07-31,2016-09-19,21.0,,
2016-08-31,2016-10-20,29.7,,
2016-09-30,2016-11-18,25.3,,
2016-10-31,2016-12-20,28.4,,
2016-11-30,2017-01-19,36.1,,
2016-12-31,2017-02-17,31.0,,
2017-01-31,2017-03-22,24.1,,
2017-02-28,2017-04-21,37.9,,
2017-03-31,2017-05-19,34.1,,
2017-04-30,2017-06-20,22.2,,
2017-05-31,2017-07-20,30.1,,
2017-06-30,2017-08-18,21.2,,
2017-07-31,2017-09-19,25.1,,
2017-08-31,2017-10-20,33.3,,
2017-09-30,2017-11-17,37.8,,
2017-10-31,2017-12-20,30.8,,
2017-11-30,2018-01-19,32.5,,
2017-12-31,2018-02-19,29.9,,
2018-01-31,2018-03-22,37.6,,
2018-02-28,2018-04-19,35.1,,
2018-03-31,2018-05-18,32.0,,
2018-04-30,2018-06-19,28.4,,
2018-05-31,2018-07-20,22.4,,
2018-06-30,2018-08-17,23.5,,
2018-07-31,2018-09-19,21.3,,
2018-08-31,2018-10-19,23.9,,
2018-09-30,2018-11-19,16.9,,
2018-10-31,2018-12-20,23.0,,
2018-11-30,2019-01-18,20.3,,
