Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-0.5,,
2003-09-30,2003-09-30,0.7,,
2003-12-31,2003-12-31,1.0,,
2004-03-31,2004-03-31,0.8,,
2004-06-30,2004-06-30,0.4,,
2004-09-30,2004-09-30,0.7,,
2004-12-31,2004-12-31,1.2,,
2005-03-31,2005-03-31,0.0,,
2005-06-30,2005-06-30,-0.2,,
2005-09-30,2005-09-30,0.3,,
2005-12-31,2005-12-31,0.4,,
2006-03-31,2006-03-31,-0.6,,
2006-06-30,2006-06-30,-0.8,,
2006-09-30,2006-09-30,0.0,,
2006-12-31,2006-12-31,0.8,,
2007-03-31,2007-03-31,0.1,,
2007-06-30,2007-06-30,-0.3,,
2007-09-30,2007-09-30,0.3,,
2007-12-31,2007-12-31,0.2,,
2008-03-31,2008-03-31,-1.8,,
2008-06-30,2008-06-30,-1.7,,
2008-09-30,2008-09-30,-1.6,,
2008-12-31,2008-12-31,-1.1,,
2009-03-31,2009-03-31,-1.2,,
2009-06-30,2009-06-30,-0.6,,
2009-09-30,2009-09-30,0.4,,
2009-12-31,2009-12-31,0.7,,
2010-03-31,2010-03-31,-0.7,,
2010-06-30,2010-06-30,-0.4,,
2010-09-30,2010-09-30,0.4,,
2010-12-31,2010-12-31,0.8,,
2011-03-31,2011-03-31,-0.8,,
2011-06-30,2011-06-30,-0.6,,
2011-09-30,2011-09-30,0.3,,
2011-12-31,2011-12-31,1.5,,
2012-03-31,2012-03-31,-0.1,,
2012-06-30,2012-06-30,1.1,,
2012-09-30,2012-09-30,1.8,,
2012-12-31,2012-12-31,2.6,,
2013-03-31,2013-03-31,1.1,,
2013-06-30,2013-06-30,2.2,,
2013-09-30,2013-09-30,2.2,,
