Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,98.2,98.0,98.1
2003-07-31,2003-07-31,98.0,98.4,98.3
2003-09-30,2003-09-30,95.4,98.4,98.4
2003-10-31,2003-10-31,95.6,95.6,95.5
2003-11-30,2003-11-28,95.9,95.8,95.8
2003-12-31,2004-01-07,95.6,96.2,96.2
2004-01-31,2004-01-30,95.8,95.6,95.6
2004-02-29,2004-02-27,96.0,95.9,95.9
2004-03-31,2004-03-31,96.0,96.0,95.9
2004-04-30,2004-04-30,96.6,96.0,96.0
2004-05-31,2004-05-28,100.3,96.6,96.6
2004-06-30,2004-06-30,99.8,100.5,100.4
2004-07-31,2004-07-30,100.1,100.0,99.9
2004-09-30,2004-09-30,100.7,100.1,100.1
2004-10-31,2004-10-29,101.3,100.4,100.5
2004-11-30,2004-11-30,100.8,100.8,100.8
2004-12-31,2005-01-06,100.3,101.0,100.9
2005-01-31,2005-01-31,100.6,100.6,100.7
2005-02-28,2005-02-28,98.8,100.4,100.4
2005-03-31,2005-03-31,97.4,99.0,99.0
2005-04-30,2005-04-29,96.5,97.0,97.0
2005-05-31,2005-05-31,96.1,96.0,95.9
2005-06-30,2005-06-30,96.3,96.1,96.1
2005-07-31,2005-07-29,97.3,96.7,96.8
2005-08-31,,98.6,,
2005-09-30,2005-09-30,98.6,97.4,97.4
2005-10-31,2005-10-28,100.5,99.0,99.0
2005-11-30,2005-11-30,99.9,100.5,100.5
2005-12-31,2006-01-05,100.5,100.5,100.5
2006-01-31,2006-01-31,101.8,101.0,100.9
2006-02-28,2006-02-28,102.7,102.5,102.5
2006-03-31,2006-03-31,103.5,102.8,102.8
2006-04-30,2006-04-28,105.3,103.3,103.3
2006-05-31,2006-05-31,106.7,104.9,105.0
2006-06-30,2006-06-30,107.2,106.3,106.5
2006-07-31,2006-07-31,107.8,107.0,107.1
2006-08-31,2006-08-31,106.7,107.3,107.3
2006-09-30,2006-09-29,109.3,106.3,106.3
2006-10-31,2006-10-31,110.3,109.5,109.4
2006-11-30,2006-11-30,110.3,110.4,110.3
2006-12-31,2007-01-05,110.1,110.4,110.4
2007-01-31,2007-01-31,109.2,109.8,109.7
2007-02-28,2007-02-28,109.7,109.1,109.2
2007-03-31,2007-03-30,111.2,109.5,109.6
2007-04-30,2007-04-30,111.0,111.7,111.6
2007-05-31,2007-05-31,111.9,111.0,111.0
2007-06-30,2007-06-29,111.7,111.7,111.7
2007-07-31,2007-07-31,111.0,111.2,111.2
2007-08-31,2007-08-31,110.0,110.3,110.2
