Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-0.57,,
2003-07-31,2003-07-31,-0.6,,
2003-08-31,2003-08-31,-0.59,,
2003-09-30,2003-09-30,-0.59,,
2003-10-31,2003-10-31,-0.58,,
2003-11-30,2003-11-30,-0.55,,
2003-12-31,2003-12-31,-0.52,,
2004-01-31,2004-01-31,-0.47,,
2004-02-29,2004-02-29,-0.45,,
2004-03-31,2004-03-31,-0.4,,
2004-04-30,2004-04-30,-0.32,,
2004-05-31,2004-05-31,-0.25,,
2004-06-30,2004-06-30,-0.16,,
2004-07-31,2004-07-31,-0.06,,
2004-08-31,2004-08-31,0.02,,
2004-09-30,2004-09-30,0.1,,
2004-10-31,2004-10-31,0.17,,
2004-11-30,2004-11-30,0.21,,
2004-12-31,2004-12-31,0.26,,
2005-01-31,2005-01-31,0.29,,
2005-02-28,2005-02-28,0.31,,
2005-03-31,2005-03-31,0.2,,
2005-04-30,2005-04-30,0.08,,
2005-05-31,2005-05-31,0.0,,
2005-06-30,2005-06-30,-0.04,,
2005-07-31,2005-07-31,-0.04,,
2005-08-31,2005-08-31,-0.04,,
2005-09-30,2005-09-30,-0.03,,
2005-10-31,2005-10-31,-0.02,,
2005-11-30,2005-11-30,0.03,,
2005-12-31,2005-12-31,0.02,,
2006-01-31,2006-01-31,0.01,,
2006-02-28,2006-02-28,0.04,,
2006-03-31,2006-03-31,0.1,,
2006-04-30,2006-04-30,0.2,,
2006-05-31,2006-05-31,0.29,,
2006-06-30,2006-06-30,0.4,,
2006-07-31,2006-07-31,0.48,,
2006-08-31,2006-08-31,0.58,,
2006-09-30,2006-09-30,0.66,,
2006-10-31,2006-10-31,0.74,,
2006-11-30,2006-11-30,0.83,,
2006-12-31,2006-12-31,0.91,,
2007-01-31,2007-01-31,0.98,,
2007-02-28,2007-02-28,1.06,,
2007-03-31,2007-03-31,1.11,,
2007-04-30,2007-04-30,1.15,,
2007-05-31,2007-05-31,1.19,,
2007-06-30,2007-06-30,1.21,,
2007-07-31,2007-07-31,1.23,,
2007-08-31,2007-08-31,1.24,,
2007-09-30,2007-09-30,1.24,,
2007-10-31,2007-10-31,1.22,,
2007-11-30,2007-11-30,1.19,,
2007-12-31,2007-12-31,1.16,,
2008-01-31,2008-01-31,1.08,,
2008-02-29,2008-02-29,1.03,,
2008-03-31,2008-03-31,0.96,,
2008-04-30,2008-04-30,0.9,,
