Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-0.61,-0.57,-0.6
2003-07-31,2003-07-31,-0.89,-0.55,-0.56
2003-09-30,2003-09-30,-0.42,,
2003-10-31,2003-10-31,-0.18,,
2003-11-30,2003-11-28,0.02,-0.13,-0.13
2003-12-31,2004-01-07,0.01,,
2004-01-31,2004-01-30,0.04,0.0,0.01
2004-02-29,2004-02-27,0.01,0.08,0.02
2004-03-31,2004-03-31,-0.1,0.0,0.0
2004-04-30,2004-04-30,0.38,-0.1,-0.09
2004-05-31,2004-05-28,0.28,0.4,0.34
2004-06-30,2004-06-30,0.43,0.34,0.34
2004-07-31,2004-07-30,0.58,0.44,0.42
2004-09-30,2004-09-30,0.48,0.51,0.49
2004-10-31,2004-10-29,0.54,0.43,0.42
2004-11-30,2004-11-30,0.39,0.48,0.45
2004-12-31,2005-01-06,0.43,0.41,0.42
2005-01-31,2005-01-31,0.4,0.48,0.48
2005-02-28,2005-02-28,0.2,0.4,0.39
2005-03-31,2005-03-31,-0.08,0.25,0.23
2005-04-30,2005-04-29,-0.28,-0.15,-0.14
2005-05-31,2005-05-31,-0.37,-0.35,-0.34
2005-06-30,2005-06-30,-0.29,-0.35,-0.36
2005-07-31,2005-07-29,-0.07,-0.24,-0.24
2005-09-30,2005-09-30,0.07,-0.14,-0.09
2005-10-31,2005-10-28,0.15,0.13,0.1
2005-11-30,2005-11-30,0.13,0.2,0.17
2005-12-31,2006-01-05,0.35,0.2,0.22
2006-01-31,2006-01-31,0.34,0.41,0.37
2006-02-28,2006-02-28,0.61,0.4,0.41
2006-03-31,2006-03-31,0.8,0.62,0.44
2006-04-30,2006-04-28,1.12,0.78,0.72
2006-05-31,2006-05-31,1.06,1.0,0.94
2006-06-30,2006-06-30,1.41,1.0,1.02
2006-07-31,2006-07-31,1.37,1.3,1.3
2006-08-31,2006-08-31,1.28,1.3,1.29
2006-09-30,2006-09-29,1.46,1.2,1.2
2006-10-31,2006-10-31,1.42,1.43,1.44
2006-11-30,2006-11-30,1.54,1.4,1.39
2006-12-31,2007-01-05,1.6,,
2007-01-31,2007-01-31,1.4,1.5,1.49
2007-02-28,2007-02-28,1.56,1.41,1.41
2007-03-31,2007-03-30,1.55,1.47,1.48
2007-04-30,2007-04-30,1.61,1.6,1.6
2007-05-31,2007-05-31,1.53,1.6,1.59
2007-06-30,2007-06-29,1.54,1.5,1.49
2007-07-31,2007-07-31,1.35,1.46,1.47
2007-08-31,2007-08-31,1.41,1.3,1.28
2007-09-30,2007-09-28,1.09,1.3,1.31
2007-10-31,2007-10-31,0.87,1.02,1.03
2007-11-30,2007-11-30,1.04,0.79,0.76
2007-12-31,2008-01-07,0.92,0.9,0.91
2008-01-31,2008-01-31,0.78,0.86,0.86
2008-02-29,2008-02-29,0.72,0.75,0.74
2008-03-31,2008-03-31,0.8,0.72,0.72
2008-04-30,2008-04-30,0.44,0.69,0.65
2008-05-31,2008-05-29,0.54,0.41,0.42
2008-06-30,2008-06-27,0.14,0.4,-0.15
2008-07-31,2008-07-30,-0.21,-0.02,-0.06
2008-08-31,2008-08-29,-0.33,-0.3,-0.28
2008-09-30,2008-09-29,-0.79,-0.5,-0.53
2008-10-31,2008-10-30,-1.34,-0.91,-1.0
2008-11-30,2008-11-27,-2.14,-1.58,-1.62
2008-12-31,2009-01-08,-3.17,-2.7,-2.73
2009-01-31,2009-01-29,-3.16,-3.5,-3.43
2009-02-28,2009-02-26,-3.51,-3.2,-3.26
2009-03-31,2009-03-30,-3.58,-3.48,-3.52
2009-04-30,2009-04-29,-3.33,-3.53,-3.48
2009-05-31,2009-05-28,-3.17,-3.1,-3.05
2009-06-30,2009-06-29,-2.97,-3.0,-3.03
2009-07-31,2009-07-30,-2.71,-2.83,-2.36
2009-08-31,2009-08-28,-2.21,-2.5,-2.52
2009-09-30,2009-09-29,-2.07,-1.92,-1.96
2009-10-31,2009-10-29,-1.78,-1.9,-1.93
2009-11-30,2009-11-27,-1.56,-1.65,-1.63
2009-12-31,2010-01-07,-1.22,-1.43,-1.43
2010-01-31,2010-01-28,-1.12,-1.1,-1.08
2010-02-28,2010-02-25,-0.98,-1.05,-1.03
2010-03-31,2010-03-29,-0.32,-0.82,-0.81
2010-04-30,2010-04-29,0.23,-0.12,-0.11
2010-05-31,2010-05-31,0.34,0.2,0.21
2010-06-30,2010-06-29,0.37,0.32,0.32
2010-07-31,2010-07-29,0.66,0.39,0.42
2010-08-31,2010-08-30,0.61,0.7,0.68
2010-09-30,2010-09-29,0.77,0.58,0.56
2010-10-31,2010-10-28,0.98,0.79,0.78
2010-11-30,2010-11-29,0.96,1.05,1.07
2010-12-31,2011-01-06,1.31,1.0,12.54
2011-01-31,2011-01-27,1.58,1.34,1.35
2011-02-28,2011-02-24,1.45,1.61,1.61
2011-03-31,2011-03-30,1.41,1.42,1.43
2011-04-30,2011-04-29,1.28,1.4,1.38
2011-05-31,2011-05-27,0.99,1.2,1.2
2011-06-30,2011-06-29,0.92,0.9,0.91
2011-07-31,2011-07-28,0.45,0.83,0.79
2011-08-31,2011-08-30,0.07,0.1,0.12
2011-09-30,2011-09-29,-0.06,-0.12,-0.2
2011-10-31,2011-10-27,-0.18,-0.2,-0.16
2011-11-30,2011-11-29,-0.44,-0.3,-0.31
2011-12-31,2012-01-06,-0.31,-0.48,-0.48
2012-01-31,2012-01-30,-0.21,-0.25,-0.41
2012-02-29,2012-02-28,-0.18,-0.15,-0.14
2012-03-31,2012-03-29,-0.3,-0.16,-0.15
2012-04-30,2012-04-26,-0.52,-0.3,-0.33
2012-05-31,2012-05-30,-0.77,-0.67,-0.64
2012-06-30,2012-06-28,-0.94,-0.87,-0.92
2012-07-31,2012-07-30,-1.27,-1.09,-1.07
2012-08-31,2012-08-30,-1.21,-1.3,-1.24
2012-09-30,2012-09-27,-1.34,-1.2,-1.23
2012-10-31,2012-10-30,-1.62,-1.38,-1.38
2012-11-30,2012-11-29,-1.19,-1.6,-1.57
2012-12-31,2013-01-08,-1.12,-1.09,-1.07
2013-01-31,2013-01-30,-1.09,-1.0,-0.96
2013-02-28,2013-02-27,-0.73,-1.02,-1.01
2013-03-31,2013-03-27,-0.86,-0.79,-0.79
2013-04-30,2013-04-29,-0.93,-0.91,-0.92
2013-05-31,2013-05-30,-0.76,-0.85,-0.85
2013-06-30,2013-06-27,-0.68,-0.65,-0.65
2013-07-31,2013-07-30,-0.53,-0.54,-0.54
2013-08-31,2013-08-30,-0.21,-0.36,-0.37
2013-09-30,2013-09-27,-0.2,-0.1,-0.09
2013-10-31,2013-10-30,-0.01,-0.19,-0.17
2013-11-30,2013-11-28,0.18,0.05,0.05
2013-12-31,2014-01-09,0.27,0.22,0.23
2014-01-31,2014-01-30,0.19,0.35,0.34
