Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-12.0,-13.0,-12.7
2003-07-31,2003-07-31,-15.0,-11.0,-11.3
2003-08-31,,-11.1,,
2003-09-30,2003-09-30,-9.0,-12.0,-12.3
2003-10-31,2003-10-31,-8.0,-8.0,-8.4
2003-11-30,2003-11-28,-7.0,-7.0,-6.9
2003-12-31,2004-01-07,-8.0,-6.0,-5.8
2004-01-31,2004-01-30,-7.0,-7.0,-7.5
2004-02-29,2004-02-27,-6.0,-6.0,-6.4
2004-03-31,2004-03-31,-7.0,-6.0,-6.1
2004-04-30,2004-04-30,-5.0,-7.0,-7.0
2004-05-31,2004-05-28,-5.0,-5.0,-4.7
2004-06-30,2004-06-30,-4.0,-5.0,-4.6
2004-07-31,2004-07-30,-4.0,-4.0,-3.7
2004-08-31,,-3.9,,
2004-09-30,2004-09-30,-3.0,-4.3,-4.3
2004-10-31,2004-10-29,-2.0,-4.0,-3.9
2004-11-30,2004-11-30,-3.0,-3.0,-3.3
2004-12-31,2005-01-06,-4.0,-3.5,-3.5
2005-01-31,2005-01-31,-5.0,-3.5,-3.6
2005-02-28,2005-02-28,-7.0,-6.0,-5.5
2005-03-31,2005-03-31,-8.0,-8.0,-7.4
2005-04-30,2005-04-29,-9.0,-9.0,-8.9
2005-05-31,2005-05-31,-11.0,-10.0,-10.1
2005-06-30,2005-06-30,-10.0,-11.0,-10.7
2005-07-31,2005-07-29,-8.0,-9.0,-8.8
2005-08-31,,-7.0,,
2005-09-30,2005-09-30,-7.0,-9.0,-8.6
2005-10-31,2005-10-28,-6.0,-6.0,-6.3
2005-11-30,2005-11-30,-6.0,-6.0,-5.8
2005-12-31,2006-01-05,-5.0,-5.0,-5.1
2006-01-31,2006-01-31,-4.0,-4.0,-4.0
2006-02-28,2006-02-28,-2.0,-3.0,-2.9
2006-03-31,2006-03-31,-1.0,-2.0,-2.0
2006-04-30,2006-04-28,1.0,-1.0,-1.1
2006-05-31,2006-05-31,2.0,0.0,0.3
2006-06-30,2006-06-30,3.0,1.0,1.5
2006-07-31,2006-07-31,4.0,2.0,2.4
2006-08-31,2006-08-31,2.0,3.0,3.3
2006-09-30,2006-09-29,4.0,1.0,1.3
2006-10-31,2006-10-31,5.0,4.0,4.3
2006-11-30,2006-11-30,6.0,5.0,5.1
2006-12-31,2007-01-05,6.0,6.0,6.1
2007-01-31,2007-01-31,5.0,5.0,5.4
2007-02-28,2007-02-28,5.0,5.0,5.0
2007-03-31,2007-03-30,6.0,5.0,4.7
2007-04-30,2007-04-30,7.0,7.0,6.9
2007-05-31,2007-05-31,6.0,7.0,6.6
2007-06-30,2007-06-29,6.0,6.0,5.7
2007-07-31,2007-07-31,5.0,5.0,5.1
2007-08-31,2007-08-31,5.0,4.0,4.0
2007-09-30,2007-09-28,3.0,4.0,3.9
2007-10-31,2007-10-31,2.0,2.0,2.0
2007-11-30,2007-11-30,3.0,1.0,1.0
2007-12-31,2008-01-07,2.0,2.0,1.9
2008-01-31,2008-01-31,1.0,2.0,1.5
2008-02-29,2008-02-29,0.0,1.0,0.5
2008-03-31,2008-03-31,0.0,1.0,0.5
2008-04-30,2008-04-30,-2.0,-1.0,-1.5
2008-05-31,2008-05-29,-2.0,-2.0,-2.0
2008-06-30,2008-06-27,-5.0,-3.0,-3.1
2008-07-31,2008-07-30,-8.0,-7.0,-7.0
2008-08-31,2008-08-29,-10.0,-9.0,-8.6
2008-09-30,2008-09-29,-12.0,-12.0,-12.0
2008-10-31,2008-10-30,-18.0,-14.0,-13.2
2008-11-30,2008-11-27,-25.0,-21.0,-20.6
2008-12-31,2009-01-08,-33.0,-30.0,-29.6
2009-01-31,2009-01-29,-34.0,-34.0,-34.6
2009-02-28,2009-02-26,-36.0,-34.0,-34.8
2009-03-31,2009-03-30,-37.8,-36.0,-36.0
2009-04-30,2009-04-29,-35.0,-36.0,-36.0
2009-05-31,2009-05-28,-34.0,-33.0,-32.9
2009-06-30,2009-06-29,-32.0,-32.0,-32.0
2009-07-31,2009-07-30,-30.0,-30.0,-30.0
2009-08-31,2009-08-28,-26.0,-28.0,-27.4
2009-09-30,2009-09-29,-24.0,-24.0,-23.9
2009-10-31,2009-10-29,-21.0,-22.0,-22.0
2009-11-30,2009-11-27,-19.0,-19.0,-19.1
2009-12-31,2010-01-07,-16.0,-17.0,-17.2
2010-01-31,2010-01-28,-14.0,-15.0,-14.5
2010-02-28,2010-02-25,-13.0,-13.0,-13.0
2010-03-31,2010-03-29,-10.0,-11.0,-10.7
2010-04-30,2010-04-29,-7.0,-8.0,-8.0
2010-05-31,2010-05-31,-6.0,-7.0,-6.7
2010-06-30,2010-06-29,-6.0,-6.0,-6.3
2010-07-31,2010-07-29,-4.0,-5.0,-5.0
2010-08-31,2010-08-30,-4.0,-4.0,-3.7
2010-09-30,2010-09-29,-2.0,-5.0,-4.5
2010-10-31,2010-10-28,0.0,-1.0,-1.7
2010-11-30,2010-11-29,0.9,2.0,1.6
2010-12-31,2011-01-06,4.0,2.0,1.9
2011-01-31,2011-01-27,6.0,5.0,4.9
2011-02-28,2011-02-24,6.5,6.5,6.4
2011-03-31,2011-03-30,6.6,6.0,6.4
2011-04-30,2011-04-29,5.8,6.6,6.5
2011-05-31,2011-05-27,3.9,5.3,5.3
2011-06-30,2011-06-29,3.2,3.5,3.3
2011-07-31,2011-07-28,1.1,1.6,1.7
2011-08-31,2011-08-30,-2.9,-2.0,-1.8
2011-09-30,2011-09-29,-5.9,-5.0,-4.7
2011-10-31,2011-10-27,-6.6,-7.0,-7.1
