Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-01-31,2005-01-31,13.0,10.5,10.7
2005-02-28,2005-02-28,10.0,13.0,13.0
2005-03-31,2005-03-31,9.0,11.0,10.7
2005-04-30,2005-04-29,8.0,9.5,9.4
2005-05-31,2005-05-31,10.0,8.0,8.2
2005-06-30,2005-06-30,9.0,10.0,10.4
2005-07-31,2005-07-29,11.0,9.0,9.2
2005-09-30,2005-09-30,11.0,11.0,10.8
2005-10-31,2005-10-28,15.0,12.0,11.6
2005-11-30,2005-11-30,14.0,15.0,14.9
2005-12-31,2006-01-05,13.0,,
2006-01-31,2006-01-31,15.0,14.0,14.0
2006-02-28,2006-02-28,14.0,16.0,15.8
2006-03-31,2006-03-31,15.0,14.0,14.5
2006-04-30,2006-04-28,18.0,15.0,14.9
2006-05-31,2006-05-31,19.0,17.5,17.3
2006-06-30,2006-06-30,19.0,19.0,18.9
2006-07-31,2006-07-31,19.0,18.5,18.7
2006-08-31,2006-08-31,19.0,18.0,18.4
2006-09-30,2006-09-29,18.0,19.0,18.6
2006-10-31,2006-10-31,21.0,18.0,18.3
2006-11-30,2006-11-30,19.0,21.0,20.8
2006-12-31,2007-01-05,19.0,19.5,19.5
2007-01-31,2007-01-31,20.0,19.0,18.8
2007-02-28,2007-02-28,20.0,20.0,19.7
2007-03-31,2007-03-30,22.0,20.0,19.9
2007-04-30,2007-04-30,22.0,23.0,22.8
2007-05-31,2007-05-31,22.0,23.0,22.5
2007-06-30,2007-06-29,21.0,22.0,22.1
2007-07-31,2007-07-31,21.0,21.0,20.8
2007-08-31,2007-08-31,20.0,20.0,20.3
2007-09-30,2007-09-28,18.0,19.0,19.0
2007-10-31,2007-10-31,18.0,19.0,18.3
2007-11-30,2007-11-30,14.0,17.0,17.0
2007-12-31,2008-01-07,14.0,13.0,13.4
2008-01-31,2008-01-31,12.0,13.0,12.6
2008-02-29,2008-02-29,10.0,11.0,11.3
2008-03-31,2008-03-31,9.0,10.0,9.8
2008-04-30,2008-04-30,7.0,9.0,8.6
2008-05-31,2008-05-29,8.0,7.0,6.4
2008-06-30,2008-06-27,9.0,7.0,7.2
2008-07-31,2008-07-30,1.0,8.0,7.6
2008-08-31,2008-08-29,3.0,0.8,0.6
2008-09-30,2008-09-29,0.0,2.0,1.4
2008-10-31,2008-10-30,-6.0,-2.0,-1.9
2008-11-30,2008-11-27,-12.0,-8.0,-7.7
2008-12-31,2009-01-08,-17.0,-13.5,-14.0
2009-01-31,2009-01-29,-22.0,-18.0,-18.4
2009-02-28,2009-02-26,-23.0,-22.0,-22.1
2009-03-31,2009-03-30,-25.0,-23.5,-23.3
2009-04-30,2009-04-29,-24.0,-24.0,-23.9
2009-05-31,2009-05-28,-23.0,-23.0,-22.8
2009-06-30,2009-06-29,-20.0,-23.0,-22.8
2009-07-31,2009-07-30,-18.0,-19.0,-18.6
2009-08-31,2009-08-28,-11.0,-17.0,-16.7
2009-09-30,2009-09-29,-9.0,-8.5,-8.8
2009-10-31,2009-10-29,-7.0,-8.0,-7.8
2009-11-30,2009-11-27,-4.0,-6.0,-5.9
2009-12-31,2010-01-07,-3.0,-3.0,-2.4
2010-01-31,2010-01-28,-1.0,-3.0,-2.7
2010-02-28,2010-02-25,1.0,-1.0,-1.0
2010-03-31,2010-03-29,1.0,2.0,2.2
2010-04-30,2010-04-29,5.0,3.0,2.7
2010-05-31,2010-05-31,3.0,6.0,5.3
2010-06-30,2010-06-29,4.0,2.5,2.6
2010-07-31,2010-07-29,6.0,5.0,4.6
2010-08-31,2010-08-30,7.0,6.0,6.5
2010-09-30,2010-09-29,8.0,6.5,6.6
2010-10-31,2010-10-28,8.0,7.0,7.7
2010-11-30,2010-11-29,10.2,9.0,9.2
2010-12-31,2011-01-06,9.8,10.1,10.5
2011-01-31,2011-01-27,9.2,10.0,10.2
2011-02-28,2011-02-24,11.1,9.5,9.6
2011-03-31,2011-03-30,10.8,11.5,11.3
2011-04-30,2011-04-29,10.4,10.5,10.5
2011-05-31,2011-05-27,9.2,10.0,10.1
2011-06-30,2011-06-29,9.9,9.0,8.8
2011-07-31,2011-07-28,7.9,9.2,9.3
2011-08-31,2011-08-30,3.7,6.0,5.9
2011-09-30,2011-09-29,0.0,2.0,1.8
2011-10-31,2011-10-27,0.2,-1.0,-1.0
2011-11-30,2011-11-29,-1.7,0.0,-0.2
2011-12-31,2012-01-06,-2.1,-2.1,-1.8
2012-01-31,2012-01-30,-0.6,-1.6,-1.4
2012-02-29,2012-02-28,-0.9,-0.6,-0.3
2012-03-31,2012-03-29,-0.3,-0.8,-0.8
2012-04-30,2012-04-26,-2.4,-0.5,-0.5
2012-05-31,2012-05-30,-4.9,-2.8,-2.9
2012-06-30,2012-06-28,-7.4,-6.0,-5.9
2012-07-31,2012-07-30,-8.5,-8.0,-7.9
2012-08-31,2012-08-30,-10.8,-9.0,-8.9
2012-09-30,2012-09-27,-12.0,-11.1,-11.3
2012-10-31,2012-10-30,-12.1,-12.8,-12.6
2012-11-30,2012-11-29,-11.9,-12.5,-12.6
2012-12-31,2013-01-08,-9.8,-11.5,-11.2
2013-01-31,2013-01-30,-8.8,-9.0,-9.0
2013-02-28,2013-02-27,-5.4,-8.8,-8.7
2013-03-31,2013-03-27,-6.7,-6.5,-6.4
