Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2005-06-30,2005-07-13,4.7,,
2005-08-31,2005-09-14,7.5,,
2005-09-30,2005-10-13,1.9,,
2005-10-31,2005-11-16,-2.6,,
2005-11-30,2005-12-14,-2.8,,
2005-12-31,2006-01-16,-3.9,,
2006-01-31,2006-02-16,2.6,,
2006-02-28,2006-03-16,2.1,,
2006-03-31,2006-04-14,4.1,,
2006-04-30,2006-05-16,-7.3,,
2006-05-31,2006-06-15,9.6,,
2006-06-30,2006-07-14,-4.1,,
2006-08-31,2006-09-15,-1.4,,
2006-09-30,2006-10-13,-2.6,,
2006-10-31,2006-11-15,3.6,,
2006-11-30,2006-12-15,3.9,,
2006-12-31,2007-01-16,-0.3,,
2007-01-31,2007-02-15,1.1,,
2007-02-28,2007-03-15,-2.8,,
2007-03-31,2007-04-13,-0.3,,
2007-04-30,2007-05-16,-0.6,,
2007-05-31,2007-06-14,-1.6,,
2007-06-30,2007-07-13,0.6,,
2007-08-31,2007-09-14,1.9,,
2007-09-30,2007-10-16,-1.7,,
2007-10-31,2007-11-14,5.3,,
2007-11-30,2007-12-14,-1.3,,
2007-12-31,2008-01-16,1.3,,
2008-01-31,2008-02-15,-0.2,,
2008-02-29,2008-03-14,8.6,,
2008-03-31,2008-04-15,-9.5,,
2008-04-30,2008-05-16,9.5,,
2008-05-31,2008-06-13,-7.8,,
2008-06-30,2008-07-16,-8.0,,
2008-08-31,2008-09-16,-15.7,,
2008-09-30,2008-10-15,-8.4,,
2008-10-31,2008-11-14,-14.5,,
2008-11-30,2008-12-16,-25.8,,
2008-12-31,2009-01-15,-18.2,,
2009-01-31,2009-02-13,-26.9,,
2009-02-28,2009-03-13,-18.0,,
2009-03-31,2009-04-16,-9.1,,
2009-04-30,2009-05-14,-11.9,,
2009-05-31,2009-06-16,-4.4,,
2009-06-30,2009-07-15,3.0,,
2009-08-31,2009-09-15,3.3,,
2009-09-30,2009-10-15,6.3,,
2009-10-31,2009-11-16,11.6,,
2009-11-30,2009-12-15,26.9,,
2009-12-31,2010-01-15,16.4,,
2010-01-31,2010-02-16,12.9,,
2010-02-28,2010-03-16,3.0,,
2010-03-31,2010-04-16,10.8,,
2010-04-30,2010-05-17,-7.4,,
2010-05-31,2010-06-15,-9.3,,
2010-06-30,2010-07-15,-6.9,,
2010-08-31,2010-09-16,-12.9,,
2010-09-30,2010-10-15,-9.6,,
2010-10-31,2010-11-16,-16.6,,
2010-11-30,2010-12-15,-7.1,,
2010-12-31,2011-01-14,-3.2,,
2011-01-31,2011-02-16,-1.4,,
2011-02-28,2011-03-16,0.9,,
2011-03-31,2011-04-19,-5.0,,
2011-04-30,2011-05-17,-4.1,,
2011-05-31,2011-06-17,7.1,,
2011-06-30,2011-07-15,-8.1,,
2011-08-31,2011-09-16,7.7,,
2011-09-30,2011-10-18,0.7,,
2011-10-31,2011-11-16,-1.8,,
2011-11-30,2011-12-16,-3.5,,
2011-12-31,2012-01-17,-6.4,,
2012-01-31,2012-02-16,-7.1,,
2012-02-29,2012-03-15,-9.7,,
2012-03-31,2012-04-17,-7.0,,
2012-04-30,2012-05-16,-6.9,,
2012-05-31,2012-06-15,-8.7,,
2012-06-30,2012-07-17,-2.8,,
2012-08-31,2012-09-18,-8.9,,
2012-09-30,2012-10-16,-10.8,,
2012-10-31,2012-11-16,-4.8,,
2012-11-30,2012-12-14,-10.3,,
2012-12-31,2013-01-16,-16.3,,
2013-01-31,2013-02-19,-8.7,,
2013-02-28,2013-03-19,-10.5,,
2013-03-31,2013-04-17,-10.2,,
2013-04-30,2013-05-17,1.7,,
2013-05-31,2013-06-18,-5.9,,
2013-06-30,2013-07-16,-5.6,,
2013-08-31,2013-09-17,-5.0,,
2013-09-30,2013-10-16,5.4,,
2013-10-31,2013-11-19,4.7,,
2013-11-30,2013-12-17,1.2,,
2013-12-31,2014-01-16,13.3,,
2014-01-31,2014-02-18,5.5,,
2014-02-28,2014-03-18,8.0,,
2014-03-31,2014-04-17,10.6,,
2014-04-30,2014-05-16,4.6,,
2014-05-31,2014-06-17,4.5,,
2014-06-30,2014-07-17,4.5,,
2014-08-31,2014-09-17,2.1,,
2014-09-30,2014-10-17,6.4,,
2014-10-31,2014-11-18,6.5,,
2014-11-30,2014-12-16,1.4,,
2014-12-31,2015-01-16,4.7,,
2015-01-31,2015-02-17,6.7,,
2015-02-28,2015-03-17,7.3,,
2015-03-31,2015-04-16,10.6,,
2015-04-30,2015-05-19,6.9,,
2015-05-31,2015-06-16,1.3,,
2015-06-30,2015-07-16,14.6,,
2015-08-31,2015-09-15,11.2,,
2015-09-30,2015-10-16,9.8,,
2015-10-31,2015-11-17,2.9,,
2015-11-30,2015-12-15,13.7,,
2015-12-31,2016-01-15,16.6,,
2016-01-31,2016-02-16,6.2,,
2016-02-29,2016-03-16,14.3,,
2016-03-31,2016-04-15,6.0,,
2016-04-30,2016-05-13,9.1,,
2016-05-31,2016-06-16,16.0,,
2016-06-30,2016-07-15,6.9,,
2016-08-31,2016-09-15,10.0,,
2016-09-30,2016-10-14,7.2,,
2016-10-31,2016-11-17,0.0,,
2016-11-30,2016-12-15,5.8,,
2016-12-31,2017-01-17,3.0,,
2017-01-31,2017-02-16,10.2,,
2017-02-28,2017-03-16,2.2,,
2017-03-31,2017-04-19,11.2,,
2017-04-30,2017-05-16,-6.6,,
2017-05-31,2017-06-16,7.6,,
2017-06-30,2017-07-14,2.1,,
2017-08-31,2017-09-14,5.6,,
2017-09-30,2017-10-17,-2.0,,
2017-10-31,2017-11-16,5.9,,
2017-11-30,2017-12-14,5.9,,
2017-12-31,2018-01-17,-4.9,,
2018-01-31,2018-02-15,7.1,,
2018-02-28,2018-03-15,4.3,,
2018-03-31,2018-04-18,-5.3,,
2018-04-30,2018-05-17,9.6,,
2018-05-31,2018-06-15,0.8,,
2018-06-30,2018-07-17,5.2,,
2018-08-31,2018-09-19,31.2,,
2018-09-30,2018-10-17,-23.5,,
2018-10-31,2018-11-15,-7.3,,
2018-11-30,2018-12-14,-8.0,,
2018-12-31,2019-01-16,-8.4,,
2019-01-31,2019-02-15,-4.6,,
2019-02-28,2019-03-15,-1.0,,
2019-03-31,2019-04-17,-3.9,,
2019-04-30,2019-05-17,-0.4,,
2019-05-31,2019-06-18,0.1,,
2019-06-30,2019-07-17,-7.8,,
2019-08-31,2019-09-18,-8.4,,
2019-09-30,2019-10-16,14.5,,
2019-10-31,2019-11-19,8.7,,
2019-11-30,2019-12-17,4.9,,
2019-12-31,2020-01-16,21.7,,
2020-01-31,2020-02-18,-7.5,,
2020-02-29,2020-03-18,-7.4,,
2020-03-31,2020-04-17,-55.1,,
2020-04-30,2020-05-19,-76.3,,
2020-05-31,2020-06-17,-52.3,,
2020-06-30,2020-07-16,-22.3,,
2020-08-31,2020-09-17,-18.9,,
2020-09-30,2020-10-16,3.1,,
2020-10-31,2020-11-18,-7.8,,
2020-11-30,2020-12-17,-12.0,,
2020-12-31,2021-01-19,-3.3,,
2021-01-31,2021-02-17,-24.0,,
2021-02-28,2021-03-17,-19.3,,
2021-03-31,2021-04-16,87.3,,
2021-04-30,2021-05-19,218.6,,
2021-05-31,2021-06-17,53.4,,
2021-06-30,2021-07-16,10.4,,
2021-08-31,2021-09-16,-19.1,,
2021-09-30,2021-10-15,-23.1,,
2021-10-31,2021-11-18,-30.3,,
2021-11-30,2021-12-17,-20.5,,
2021-12-31,2022-01-18,-22.8,,
2022-01-31,2022-02-17,-6.0,,
2022-02-28,2022-03-17,-6.7,,
2022-03-31,2022-04-20,-20.5,,
2022-04-30,2022-05-18,-20.6,,
2022-05-31,2022-06-16,-11.2,,
2022-06-30,2022-07-15,-15.4,,
2022-08-31,2022-09-16,4.4,,
2022-09-30,2022-10-18,9.6,,
2022-10-31,2022-11-17,12.2,,
2022-11-30,2022-12-15,16.3,,
2022-12-31,2023-01-18,12.8,,
2023-01-31,2023-02-21,11.3,,
2023-02-28,2023-03-21,11.5,,
2023-03-31,2023-04-19,28.8,,
2023-04-30,2023-05-17,17.2,,
2023-05-31,2023-06-21,18.5,,
2023-06-30,2023-07-19,17.8,,
2023-07-31,2023-08-30,15.2,,
2023-08-31,2023-09-20,21.0,,
2023-09-30,2023-10-20,9.2,,
2023-10-31,2023-11-21,14.6,,
2023-11-30,2023-12-20,6.7,,
2023-12-31,2024-01-18,-3.3,,
2024-01-31,2024-02-20,12.1,,
2024-02-29,2024-03-21,10.1,,
2024-03-31,2024-04-18,-5.2,,
2024-04-30,2024-05-22,13.7,,
2024-05-31,2024-06-20,-3.0,,
2024-06-30,2024-07-18,4.3,,
2024-07-31,2024-08-29,0.2,,
2024-08-31,2024-09-19,-18.3,,
2024-09-30,2024-10-22,-6.1,,
2024-10-31,2024-11-21,1.1,,
2024-11-30,2024-12-19,-1.9,,
2024-12-31,2025-01-21,5.1,,
2025-01-31,2025-02-25,-2.6,,
2025-02-28,2025-03-25,-3.4,,
2025-03-31,2025-04-24,-0.2,,
2025-04-30,2025-05-27,1.3,,
2025-05-31,2025-06-25,,,
