Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,85137.0,,
2003-07-31,2003-07-31,92366.0,,
2003-08-31,2003-08-31,75348.0,,
2003-09-30,2003-09-30,90765.0,,
2003-10-31,2003-10-31,97731.0,,
2003-11-30,2003-11-30,88140.0,,
2003-12-31,2003-12-31,88765.0,,
2004-01-31,2004-01-31,80733.0,,
2004-02-29,2004-02-29,86571.0,,
2004-03-31,2004-03-31,100979.0,,
2004-04-30,2004-04-30,94715.0,,
2004-05-31,2004-05-31,92883.0,,
2004-06-30,2004-06-30,100271.0,,
2004-07-31,2004-07-31,100952.0,,
2004-08-31,2004-08-31,85143.0,,
2004-09-30,2004-09-30,97351.0,,
2004-10-31,2004-10-31,100929.0,,
2004-11-30,2004-11-30,101460.0,,
2004-12-31,2004-12-31,97872.0,,
2005-01-31,2005-01-31,86880.0,,
2005-02-28,2005-02-28,90728.0,,
2005-03-31,2005-03-31,102331.0,,
2005-04-30,2005-04-30,100574.0,,
2005-05-31,2005-05-31,100155.0,,
2005-06-30,2005-06-30,107550.0,,
2005-07-31,2005-07-31,104505.0,,
2005-08-31,2005-08-31,97684.0,,
2005-09-30,2005-09-30,110364.0,,
2005-10-31,2005-10-31,108322.0,,
2005-11-30,2005-11-30,112702.0,,
2005-12-31,2005-12-31,109065.0,,
2006-01-31,2006-01-31,101019.0,,
2006-02-28,2006-02-28,104950.0,,
2006-03-31,2006-03-31,122279.0,,
2006-04-30,2006-04-30,106137.0,,
2006-05-31,2006-05-31,115163.0,,
2006-06-30,2006-06-30,117303.0,,
2006-07-31,2006-07-31,112812.0,,
2006-08-31,2006-08-31,106187.0,,
2006-09-30,2006-09-30,120278.0,,
2006-10-31,2006-10-31,126164.0,,
2006-11-30,2006-11-30,128624.0,,
2006-12-31,2006-12-31,116125.0,,
2007-01-31,2007-01-31,112597.0,,
2007-02-28,2007-02-28,115148.0,,
2007-03-31,2007-03-31,130869.0,,
2007-04-30,2007-04-30,118098.0,,
2007-05-31,2007-05-31,123213.0,,
2007-06-30,2007-06-30,129298.0,,
2007-07-31,2007-07-31,130101.0,,
2007-08-31,2007-08-31,119419.0,,
2007-09-30,2007-09-30,125562.0,,
2007-10-31,2007-10-31,140109.0,,
2007-11-30,2007-11-30,135894.0,,
2007-12-31,2007-12-31,116461.0,,
2008-01-31,2008-01-31,125026.0,,
2008-02-29,2008-02-29,130509.0,,
2008-03-31,2008-03-31,129054.0,,
2008-04-30,2008-04-30,139031.0,,
2008-05-31,2008-05-31,127606.0,,
2008-06-30,2008-06-30,136063.0,,
2008-07-31,2008-07-31,142917.0,,
2008-08-31,2008-08-31,116856.0,,
2008-09-30,2008-09-30,137499.0,,
2008-10-31,2008-10-31,141007.0,,
2008-11-30,2008-11-30,120885.0,,
2008-12-31,2008-12-31,112896.0,,
2009-01-31,2009-01-31,93784.0,,
2009-02-28,2009-02-28,100068.0,,
2009-03-31,2009-03-31,110515.0,,
2009-04-30,2009-04-30,103241.0,,
2009-05-31,2009-05-31,99771.0,,
2009-06-30,2009-06-30,109330.0,,
2009-07-31,2009-07-31,117724.0,,
2009-08-31,2009-08-31,93130.0,,
2009-09-30,2009-09-30,112794.0,,
2009-10-31,2009-10-31,115932.0,,
2009-11-30,2009-11-30,113585.0,,
2009-12-31,2009-12-31,111653.0,,
2010-01-31,2010-01-31,98064.0,,
2010-02-28,2010-02-28,110391.0,,
2010-03-31,2010-03-31,135695.0,,
2010-04-30,2010-04-30,121677.0,,
2010-05-31,2010-05-31,122305.0,,
2010-06-30,2010-06-30,138840.0,,
2010-07-31,2010-07-31,138413.0,,
2010-08-31,2010-08-31,121362.0,,
2010-09-30,2010-09-30,138373.0,,
2010-10-31,2010-10-31,140385.0,,
2010-11-30,2010-11-30,141526.0,,
2010-12-31,2010-12-31,135492.0,,
2011-01-31,2011-01-31,125599.0,,
2011-02-28,2011-02-28,135693.0,,
2011-03-31,2011-03-31,158638.0,,
2011-04-30,2011-04-30,139708.0,,
2011-05-31,2011-05-31,149701.0,,
2011-06-30,2011-06-30,144728.0,,
2011-07-31,2011-07-31,146025.0,,
2011-08-31,2011-08-31,138159.0,,
2011-09-30,2011-09-30,152041.0,,
2011-10-31,2011-10-31,148423.0,,
2011-11-30,2011-11-30,155883.0,,
2011-12-31,2011-12-31,148246.0,,
2012-01-31,2012-01-31,139821.0,,
2012-02-29,2012-02-29,150501.0,,
2012-03-31,2012-03-31,165994.0,,
2012-04-30,2012-04-30,148226.0,,
2012-05-31,2012-05-31,159324.0,,
2012-06-30,2012-06-30,162286.0,,
2012-07-31,2012-07-31,162853.0,,
2012-08-31,2012-08-31,153133.0,,
2012-09-30,2012-09-30,153993.0,,
2012-10-31,2012-10-31,170764.0,,
2012-11-30,2012-11-30,165018.0,,
2012-12-31,2012-12-31,144160.0,,
2013-01-31,2013-01-31,146782.0,,
2013-02-28,2013-02-28,148734.0,,
2013-03-31,2013-03-31,165383.0,,
2013-04-30,2013-04-30,161534.0,,
2013-05-31,2013-05-31,158957.0,,
2013-06-30,2013-06-30,157046.0,,
2013-07-31,2013-07-31,168214.0,,
2013-08-31,2013-08-31,144617.0,,
2013-09-30,2013-09-30,158196.0,,
2013-10-31,2013-10-31,172699.0,,
2013-11-30,2013-11-30,161552.0,,
2013-12-31,2013-12-31,149408.0,,
2014-01-31,2014-01-31,147990.0,,
2014-02-28,2014-02-28,153616.0,,
2014-03-31,2014-03-31,163646.0,,
2014-04-30,2014-04-30,158976.0,,
2014-05-31,2014-05-31,159578.0,,
2014-06-30,2014-06-30,162153.0,,
2014-07-31,2014-07-31,173042.0,,
2014-08-31,2014-08-31,139918.0,,
2014-09-30,2014-09-30,171601.0,,
2014-10-31,2014-10-31,179870.0,,
2014-11-30,2014-11-30,163309.0,,
2014-12-31,2014-12-31,161844.0,,
2015-01-31,2015-01-31,147741.0,,
2015-02-28,2015-02-28,160766.0,,
2015-03-31,2015-03-31,182058.0,,
2015-04-30,2015-04-30,173270.0,,
2015-05-31,2015-05-31,163872.0,,
2015-06-30,2015-06-30,182340.0,,
2015-07-31,2015-07-31,184604.0,,
2015-08-31,2015-08-31,147611.0,,
2015-09-30,2015-09-30,172754.0,,
2015-10-31,2015-10-31,180364.0,,
2015-11-30,2015-11-30,173455.0,,
2015-12-31,2015-12-31,168257.0,,
2016-01-31,2016-01-31,144502.0,,
2016-02-29,2016-02-29,162483.0,,
2016-03-31,2016-03-31,178420.0,,
2016-04-30,2016-04-30,172233.0,,
2016-05-31,2016-05-31,167451.0,,
2016-06-30,2016-06-30,179630.0,,
2016-07-31,2016-07-31,167374.0,,
2016-08-31,2016-08-31,160140.0,,
2016-09-30,2016-09-30,176656.0,,
2016-10-31,2016-10-31,172342.0,,
2016-11-30,2016-11-30,182961.0,,
2016-12-31,2016-12-31,178427.0,,
2017-01-31,2017-01-31,163705.0,,
2017-02-28,2017-02-28,171580.0,,
2017-03-31,2017-03-31,204902.0,,
2017-04-30,2017-04-30,168659.0,,
2017-05-31,2017-05-31,190568.0,,
2017-06-30,2017-06-30,186910.0,,
2017-07-31,2017-07-31,176897.0,,
2017-08-31,2017-08-31,171103.0,,
2017-09-30,2017-09-30,185615.0,,
2017-10-31,2017-10-31,187502.0,,
2017-11-30,2017-11-30,198555.0,,
2017-12-31,2017-12-31,180187.0,,
2018-01-31,2018-01-31,178777.0,,
2018-02-28,2018-02-28,175251.0,,
2018-03-31,2018-03-31,198846.0,,
2018-04-30,2018-04-30,182689.0,,
2018-05-31,2018-05-31,189402.0,,
2018-06-30,2018-06-30,198853.0,,
2018-07-31,2018-07-31,194058.0,,
2018-08-31,2018-08-31,180971.0,,
2018-09-30,2018-09-30,185340.0,,
2018-10-31,2018-10-31,208472.0,,
2018-11-30,2018-11-30,202752.0,,
2018-12-31,2018-12-31,176315.0,,
2019-01-31,2019-01-31,183068.0,,
2019-02-28,2019-02-28,185532.0,,
2019-03-31,2019-03-31,205262.0,,
2019-04-30,2019-04-30,192398.0,,
2019-05-31,2019-05-31,202632.0,,
2019-06-30,2019-06-30,188336.0,,
2019-07-31,2019-07-31,205993.0,,
2019-08-31,2019-08-31,177337.0,,
2019-09-30,2019-09-30,195530.0,,
2019-10-31,2019-10-31,218120.0,,
2019-11-30,2019-11-30,197861.0,,
2019-12-31,2019-12-31,185555.0,,
2020-01-31,2020-01-31,183470.0,,
2020-02-29,2020-02-29,187890.0,,
2020-03-31,2020-03-31,193770.0,,
2020-04-30,2020-04-30,134984.0,,
2020-05-31,2020-05-31,142303.0,,
2020-06-30,2020-06-30,168787.0,,
2020-07-31,2020-07-31,184661.0,,
2020-08-31,2020-08-31,155193.0,,
2020-09-30,2020-09-30,189328.0,,
2020-10-31,2020-10-31,198692.0,,
2020-11-30,2020-11-30,196077.0,,
2020-12-31,2020-12-31,191045.0,,
2021-01-31,2021-01-31,167426.0,,
2021-02-28,2021-02-28,184077.0,,
