Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-2.94,,
2003-09-30,2003-09-30,-3.19,,
2003-12-31,2003-12-31,-3.15,,
2004-03-31,2004-03-31,-3.19,,
2004-06-30,2004-06-30,-3.21,,
2004-09-30,2004-09-30,-3.0,,
2004-12-31,2004-12-31,-2.9,,
2005-03-31,2005-03-31,-2.89,,
2005-06-30,2005-06-30,-2.92,,
2005-09-30,2005-09-30,-2.72,,
2005-12-31,2005-12-31,-2.66,,
2006-03-31,2006-03-31,-2.3,,
2006-06-30,2006-06-30,-1.92,,
2006-09-30,2006-09-30,-1.74,,
2006-12-31,2006-12-31,-1.59,,
2007-03-31,2007-03-31,-1.42,,
2007-06-30,2007-06-30,-1.16,,
2007-09-30,2007-09-30,-0.94,,
2007-12-31,2007-12-31,-0.75,,
2008-03-31,2008-03-31,-0.84,,
2008-06-30,2008-06-30,-1.19,,
2008-09-30,2008-09-30,-1.53,,
2008-12-31,2008-12-31,-2.26,,
2009-03-31,2009-03-31,-3.02,,
2009-06-30,2009-06-30,-4.16,,
2009-09-30,2009-09-30,-5.31,,
2009-12-31,2009-12-31,-6.26,,
2010-03-31,2010-03-31,-6.69,,
2010-06-30,2010-06-30,-6.53,,
2010-09-30,2010-09-30,-6.65,,
2010-12-31,2010-12-31,-6.33,,
2011-03-31,2011-03-31,-5.64,,
2011-06-30,2011-06-30,-5.27,,
2011-09-30,2011-09-30,-4.52,,
2011-12-31,2011-12-31,-4.24,,
2012-03-31,2012-03-31,-4.12,,
2012-06-30,2012-06-30,-4.07,,
2012-09-30,2012-09-30,-3.93,,
2012-12-31,2012-12-31,-3.87,,
2013-03-31,2013-03-31,-3.92,,
2013-06-30,2013-06-30,-3.7,,
2013-09-30,2013-09-30,-3.63,,
2013-12-31,2013-12-31,-3.21,,
2014-03-31,2014-03-31,-2.95,,
2014-06-30,2014-06-30,-2.79,,
2014-09-30,2014-09-30,-2.61,,
2014-12-31,2014-12-31,-2.53,,
2015-03-31,2015-03-31,-2.41,,
2015-06-30,2015-06-30,-2.33,,
2015-09-30,2015-09-30,-2.09,,
2015-12-31,2015-12-31,-2.01,,
2016-03-31,2016-03-31,-1.85,,
2016-06-30,2016-06-30,-1.69,,
2016-09-30,2016-09-30,-1.7,,
2016-12-31,2016-12-31,-1.47,,
2017-03-31,2017-03-31,-1.31,,
2017-06-30,2017-06-30,-1.3,,
2017-09-30,2017-09-30,-1.1,,
2017-12-31,2017-12-31,-1.01,,
2018-03-31,2018-03-31,-0.8,,
2018-06-30,2018-06-30,-0.48,,
2018-09-30,2018-09-30,-0.37,,
2018-12-31,2018-12-31,-0.45,,
2019-03-31,2019-03-31,-0.5,,
2019-06-30,2019-06-30,-0.59,,
2019-09-30,2019-09-30,-0.7,,
2019-12-31,2019-12-31,-0.55,,
2020-03-31,2020-03-31,-1.12,,
2020-06-30,2020-06-30,-3.83,,
2020-09-30,2020-09-30,-5.19,,
2020-12-31,2020-12-31,-6.99,,
2021-03-31,2021-03-31,-8.02,,
2021-06-30,2021-06-30,-6.73,,
2021-09-30,2021-09-30,-6.05,,
2021-12-31,2021-12-31,-5.1,,
2022-03-31,2022-03-31,-4.07,,
2022-06-30,2022-06-30,-3.05,,
2022-09-30,2022-09-30,-3.04,,
2022-12-31,2022-12-31,-3.47,,
2023-03-31,2023-03-31,-3.59,,
2023-06-30,2023-06-30,-3.84,,
2023-09-30,2023-09-30,-3.74,,
2023-12-31,2023-12-31,-3.53,,
2024-03-31,2024-03-31,-3.51,,
2024-06-30,2024-06-30,-3.45,,
2024-09-30,2024-09-30,-3.25,,
2024-12-31,2024-12-31,-3.09,,
