Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-06-30,2004-09-07,0.1,0.1,0.2
2004-09-30,2005-01-12,0.7,0.6,0.6
2004-12-31,2005-04-14,0.6,0.6,0.6
2005-03-31,2005-07-14,-0.4,-0.2,-0.1
2005-06-30,2005-10-13,0.5,0.6,0.8
2005-09-30,2005-11-30,1.6,1.3,1.2
2005-12-31,2006-04-12,0.3,0.9,0.8
2006-03-31,2006-07-12,0.9,0.9,0.9
2006-06-30,2006-09-01,2.1,1.8,1.6
2006-09-30,2007-01-11,0.6,1.0,1.1
2006-12-31,2007-04-12,1.5,1.2,1.2
2007-03-31,2007-07-12,2.4,2.4,2.2
2007-06-30,2007-10-11,-0.2,0.0,0.1
2007-09-30,2008-01-09,1.2,1.0,0.9
2007-12-31,2008-04-09,0.8,0.7,0.8
2008-03-31,2008-07-09,1.6,1.5,1.3
2008-06-30,2008-10-08,-1.0,-1.2,-1.2
2008-09-30,2009-01-08,-0.6,-0.6,-0.7
2008-12-31,2009-04-07,-4.0,-2.8,-3.5
2009-03-31,2009-07-08,-4.1,-4.6,-4.2
2009-06-30,2009-10-07,-1.5,-1.7,-1.5
2009-09-30,2010-01-08,-0.8,-0.8,-0.8
2009-12-31,2010-04-07,-1.3,-0.9,-0.6
2010-03-31,2010-07-07,-1.2,-1.1,-1.0
2010-06-30,2010-10-06,1.5,1.8,
2010-09-30,2011-01-07,-0.3,0.4,0.1
2010-12-31,2011-04-06,-0.5,-0.6,-0.6
2011-03-31,2011-06-08,2.1,1.8,1.7
2011-06-30,2011-09-06,0.2,0.8,0.7
2011-09-30,2011-12-06,0.1,0.6,0.6
2011-12-31,2012-03-06,-0.7,-0.4,-0.4
2012-03-31,2012-06-06,-1.4,-1.2,-1.2
2012-06-30,2012-09-06,-0.8,-0.6,-0.7
2012-09-30,2012-12-06,-0.7,-0.8,-0.9
2012-12-31,2013-03-06,-1.1,,
2013-03-31,2013-06-05,-1.6,,
2013-06-30,2013-09-04,0.3,-0.2,0.1
2013-09-30,2013-12-04,0.4,0.2,0.8
2013-12-31,2014-03-05,1.1,0.2,0.3
2014-03-31,2014-06-04,0.3,0.0,0.2
2014-06-30,2014-09-05,-0.3,-0.6,-0.5
2014-09-30,2014-12-05,-0.2,-0.2,-0.3
2014-12-31,2015-03-06,0.4,0.3,0.2
2015-03-31,2015-06-09,0.8,0.6,0.6
2015-06-30,2015-09-08,-0.5,0.3,0.1
2015-09-30,2015-12-08,0.0,0.2,0.2
2015-12-31,2016-03-08,1.3,0.6,0.7
2016-03-31,2016-06-07,0.8,1.1,1.1
2016-06-30,2016-09-06,0.0,-0.1,-0.1
2016-09-30,2016-12-06,0.2,0.4,0.4
2016-12-31,2017-03-07,0.6,0.6,0.6
2017-03-31,2017-06-08,1.3,0.8,0.7
2017-06-30,2017-09-07,0.9,1.0,1.0
2017-09-30,2017-12-07,1.1,0.7,0.7
2017-12-31,2018-03-07,0.9,1.1,1.1
2018-03-31,2018-06-07,0.5,0.7,0.7
2018-06-30,2018-09-07,1.2,1.0,1.0
2018-09-30,2018-12-07,0.2,0.6,0.7
2018-12-31,2019-03-07,0.6,0.3,0.3
2019-03-31,2019-06-06,1.1,0.5,0.5
2019-06-30,2019-09-06,0.5,0.2,0.2
2019-09-30,2019-12-05,0.3,0.3,0.0
2019-12-31,2020-03-10,4.2,0.3,0.4
2020-03-31,2020-06-09,-4.3,-4.8,-5.7
2020-06-30,2020-09-08,-17.0,-12.5,-12.5
2020-09-30,2020-12-08,13.4,13.7,12.7
2020-12-31,2021-03-09,1.6,0.7,0.8
2021-03-31,2021-06-08,0.2,1.0,1.7
2021-06-30,2021-09-07,1.1,1.3,1.5
2021-09-30,2021-12-07,-0.9,0.6,0.7
2021-12-31,2022-03-08,3.5,0.5,0.8
2022-03-31,2022-06-08,0.1,1.1,0.6
2022-06-30,2022-09-07,0.9,,
2022-09-30,2022-12-07,3.6,0.5,0.5
2022-12-31,2023-03-08,-3.6,,
2023-03-31,2023-06-08,0.6,0.5,-0.6
2023-06-30,2023-09-07,0.3,,
2023-09-30,2023-12-07,0.0,0.3,0.3
2023-12-31,2024-03-08,1.0,-0.8,-0.6
2024-03-31,2024-06-07,-1.5,0.4,0.3
2024-06-30,2024-09-06,-2.2,-0.3,-0.1
2024-09-30,2024-12-06,2.0,-0.5,-0.6
2024-12-31,2025-03-07,0.6,,
2025-03-31,2025-06-06,1.8,,
