Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-06-30,2004-09-07,0.3,0.4,0.5
2004-09-30,2005-01-12,0.1,0.2,0.2
2004-12-31,2005-04-14,0.6,0.4,0.4
2005-03-31,2005-07-14,0.3,0.3,0.3
2005-06-30,2005-10-13,0.1,0.1,0.2
2005-09-30,2006-01-13,0.3,0.3,0.3
2005-12-31,2006-04-12,0.1,0.2,0.2
2006-03-31,2006-07-12,0.6,0.4,0.4
2006-06-30,2006-10-11,0.3,0.3,0.3
2006-09-30,2007-01-11,0.6,0.6,0.6
2006-12-31,2007-04-12,0.6,0.5,0.5
2007-03-31,2007-07-12,0.0,0.1,-0.1
2007-06-30,2007-10-11,0.5,0.5,0.5
2007-09-30,2008-01-09,0.5,0.5,0.5
2007-12-31,2008-04-09,-0.1,0.0,0.0
2008-03-31,2008-06-03,0.2,0.2,0.2
2008-06-30,2008-10-08,-0.2,-0.1,-0.2
2008-09-30,2009-01-08,0.0,0.1,0.1
2008-12-31,2009-04-07,-0.3,-0.2,-0.6
2009-03-31,2009-07-08,-0.5,-0.3,-0.5
2009-06-30,2009-10-07,0.1,0.0,0.1
2009-09-30,2010-01-08,-0.1,-0.1,-0.1
2009-12-31,2010-04-07,0.0,-0.1,0.1
2010-03-31,2010-07-07,-0.1,-0.1,-0.1
2010-06-30,2010-10-06,0.2,0.2,0.4
2010-09-30,2011-01-07,0.1,0.3,0.3
2010-12-31,2011-04-06,0.4,0.4,0.4
2011-03-31,2011-06-08,0.3,0.3,0.3
2011-06-30,2011-09-06,-0.2,-0.1,-0.1
2011-09-30,2011-12-06,0.3,0.3,0.3
2011-12-31,2012-03-06,-0.4,-0.2,-0.1
2012-03-31,2012-06-06,0.0,0.1,0.1
2012-06-30,2012-09-06,-0.2,-0.2,-0.2
2012-09-30,2012-12-06,0.0,-0.2,-0.2
2012-12-31,2013-03-06,-0.4,,
2013-03-31,2013-06-05,0.1,,
2013-06-30,2013-09-04,0.2,0.1,0.1
2013-09-30,2013-12-04,0.1,0.1,0.0
2013-12-31,2014-03-05,0.1,0.2,0.1
2014-03-31,2014-06-04,0.1,0.1,0.1
2014-06-30,2014-09-05,0.3,0.3,0.2
2014-09-30,2014-12-05,0.5,0.3,0.2
2014-12-31,2015-03-06,0.4,0.4,0.4
2015-03-31,2015-06-09,0.5,0.6,0.6
2015-06-30,2015-09-08,0.4,0.3,0.3
2015-09-30,2015-12-08,0.4,0.5,0.4
2015-12-31,2016-03-08,0.2,0.3,0.3
2016-03-31,2016-06-07,0.6,0.5,0.5
2016-06-30,2016-09-06,0.2,0.3,0.3
2016-09-30,2016-12-06,0.3,0.3,0.3
2016-12-31,2017-03-07,0.4,0.5,0.5
2017-03-31,2017-06-08,0.3,0.4,0.4
2017-06-30,2017-09-07,0.5,0.5,0.5
2017-09-30,2017-12-07,0.3,0.4,0.4
2017-12-31,2018-03-07,0.2,0.3,0.3
2018-03-31,2018-06-07,0.5,0.2,0.2
2018-06-30,2018-09-07,0.2,0.3,0.3
2018-09-30,2018-12-07,0.1,0.2,0.2
2018-12-31,2019-03-07,0.2,0.2,0.2
2019-03-31,2019-06-06,0.5,0.6,0.6
2019-06-30,2019-09-06,0.2,0.2,0.3
2019-09-30,2019-12-05,0.5,0.3,0.3
2019-12-31,2020-03-10,0.1,0.1,0.1
2020-03-31,2020-06-09,-4.7,-4.8,-4.7
2020-06-30,2020-09-08,-12.4,-12.2,-11.9
2020-09-30,2020-12-08,14.0,13.2,12.9
2020-12-31,2021-03-09,-3.0,-3.0,-3.7
2021-03-31,2021-06-08,-2.3,-2.3,-2.4
2021-06-30,2021-09-07,3.7,3.0,3.2
2021-09-30,2021-12-07,4.1,3.7,3.7
2021-12-31,2022-03-08,-0.6,-0.4,-0.2
2022-03-31,2022-06-08,-0.7,-0.8,-0.8
2022-06-30,2022-09-07,1.3,,
2022-09-30,2022-12-07,0.9,0.9,1.1
2022-12-31,2023-03-08,-0.9,,
2023-03-31,2023-06-08,-0.3,-0.5,-0.6
2023-06-30,2023-09-07,0.0,,
2023-09-30,2023-12-07,0.3,0.0,0.0
2023-12-31,2024-03-08,0.1,0.2,0.3
2024-03-31,2024-06-07,0.2,0.3,0.3
2024-06-30,2024-09-06,-0.1,0.3,0.6
2024-09-30,2024-12-06,0.7,0.6,0.9
2024-12-31,2025-03-07,0.4,,
2025-03-31,2025-06-06,0.2,,
