Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,79936.0,,
2003-07-31,2003-07-31,81055.0,,
2003-08-31,2003-08-31,69969.0,,
2003-09-30,2003-09-30,84387.0,,
2003-10-31,2003-10-31,90043.0,,
2003-11-30,2003-11-30,84738.0,,
2003-12-31,2003-12-31,84177.0,,
2004-01-31,2004-01-31,80566.0,,
2004-02-29,2004-02-29,81210.0,,
2004-03-31,2004-03-31,92722.0,,
2004-04-30,2004-04-30,90021.0,,
2004-05-31,2004-05-31,87260.0,,
2004-06-30,2004-06-30,93826.0,,
2004-07-31,2004-07-31,89304.0,,
2004-08-31,2004-08-31,84352.0,,
2004-09-30,2004-09-30,96541.0,,
2004-10-31,2004-10-31,97691.0,,
2004-11-30,2004-11-30,100718.0,,
2004-12-31,2004-12-31,93915.0,,
2005-01-31,2005-01-31,90341.0,,
2005-02-28,2005-02-28,89044.0,,
2005-03-31,2005-03-31,100453.0,,
2005-04-30,2005-04-30,101792.0,,
2005-05-31,2005-05-31,100212.0,,
2005-06-30,2005-06-30,103361.0,,
2005-07-31,2005-07-31,100154.0,,
2005-08-31,2005-08-31,102130.0,,
2005-09-30,2005-09-30,111418.0,,
2005-10-31,2005-10-31,110732.0,,
2005-11-30,2005-11-30,117364.0,,
2005-12-31,2005-12-31,112914.0,,
2006-01-31,2006-01-31,112865.0,,
2006-02-28,2006-02-28,110150.0,,
2006-03-31,2006-03-31,124557.0,,
2006-04-30,2006-04-30,111916.0,,
2006-05-31,2006-05-31,122736.0,,
2006-06-30,2006-06-30,119729.0,,
2006-07-31,2006-07-31,114652.0,,
2006-08-31,2006-08-31,114047.0,,
2006-09-30,2006-09-30,121099.0,,
2006-10-31,2006-10-31,126071.0,,
2006-11-30,2006-11-30,126360.0,,
2006-12-31,2006-12-31,116411.0,,
2007-01-31,2007-01-31,122545.0,,
2007-02-28,2007-02-28,119995.0,,
2007-03-31,2007-03-31,127261.0,,
2007-04-30,2007-04-30,120294.0,,
2007-05-31,2007-05-31,125903.0,,
2007-06-30,2007-06-30,125015.0,,
2007-07-31,2007-07-31,128380.0,,
2007-08-31,2007-08-31,120979.0,,
2007-09-30,2007-09-30,125290.0,,
2007-10-31,2007-10-31,138899.0,,
2007-11-30,2007-11-30,136499.0,,
2007-12-31,2007-12-31,123563.0,,
2008-01-31,2008-01-31,139544.0,,
2008-02-29,2008-02-29,132179.0,,
2008-03-31,2008-03-31,132928.0,,
2008-04-30,2008-04-30,140591.0,,
2008-05-31,2008-05-31,135658.0,,
2008-06-30,2008-06-30,140542.0,,
2008-07-31,2008-07-31,149062.0,,
2008-08-31,2008-08-31,129062.0,,
2008-09-30,2008-09-30,145366.0,,
2008-10-31,2008-10-31,144181.0,,
2008-11-30,2008-11-30,129436.0,,
2008-12-31,2008-12-31,116301.0,,
2009-01-31,2009-01-31,107486.0,,
2009-02-28,2009-02-28,103399.0,,
2009-03-31,2009-03-31,110789.0,,
2009-04-30,2009-04-30,102577.0,,
2009-05-31,2009-05-31,99064.0,,
2009-06-30,2009-06-30,105014.0,,
2009-07-31,2009-07-31,106439.0,,
2009-08-31,2009-08-31,96422.0,,
2009-09-30,2009-09-30,112958.0,,
2009-10-31,2009-10-31,112930.0,,
2009-11-30,2009-11-30,112222.0,,
2009-12-31,2009-12-31,109793.0,,
2010-01-31,2010-01-31,109409.0,,
2010-02-28,2010-02-28,108870.0,,
2010-03-31,2010-03-31,134284.0,,
2010-04-30,2010-04-30,122780.0,,
2010-05-31,2010-05-31,127777.0,,
2010-06-30,2010-06-30,138406.0,,
2010-07-31,2010-07-31,133910.0,,
2010-08-31,2010-08-31,127709.0,,
2010-09-30,2010-09-30,138358.0,,
2010-10-31,2010-10-31,137802.0,,
2010-11-30,2010-11-30,144669.0,,
2010-12-31,2010-12-31,137490.0,,
2011-01-31,2011-01-31,142510.0,,
2011-02-28,2011-02-28,139442.0,,
2011-03-31,2011-03-31,158890.0,,
2011-04-30,2011-04-30,145019.0,,
2011-05-31,2011-05-31,152295.0,,
2011-06-30,2011-06-30,145952.0,,
2011-07-31,2011-07-31,145463.0,,
2011-08-31,2011-08-31,145230.0,,
2011-09-30,2011-09-30,152234.0,,
2011-10-31,2011-10-31,150694.0,,
2011-11-30,2011-11-30,152572.0,,
2011-12-31,2011-12-31,141239.0,,
2012-01-31,2012-01-31,149208.0,,
2012-02-29,2012-02-29,150144.0,,
2012-03-31,2012-03-31,159279.0,,
2012-04-30,2012-04-30,145572.0,,
2012-05-31,2012-05-31,153472.0,,
2012-06-30,2012-06-30,150009.0,,
2012-07-31,2012-07-31,150049.0,,
2012-08-31,2012-08-31,148487.0,,
2012-09-30,2012-09-30,145652.0,,
2012-10-31,2012-10-31,161787.0,,
2012-11-30,2012-11-30,152918.0,,
2012-12-31,2012-12-31,134259.0,,
2013-01-31,2013-01-31,152566.0,,
2013-02-28,2013-02-28,140161.0,,
2013-03-31,2013-03-31,144226.0,,
2013-04-30,2013-04-30,148238.0,,
2013-05-31,2013-05-31,145164.0,,
2013-06-30,2013-06-30,142354.0,,
2013-07-31,2013-07-31,150852.0,,
2013-08-31,2013-08-31,137832.0,,
2013-09-30,2013-09-30,147953.0,,
2013-10-31,2013-10-31,156514.0,,
2013-11-30,2013-11-30,145296.0,,
2013-12-31,2013-12-31,136038.0,,
2014-01-31,2014-01-31,148916.0,,
2014-02-28,2014-02-28,139629.0,,
2014-03-31,2014-03-31,148010.0,,
2014-04-30,2014-04-30,145004.0,,
2014-05-31,2014-05-31,145851.0,,
2014-06-30,2014-06-30,147326.0,,
2014-07-31,2014-07-31,153447.0,,
2014-08-31,2014-08-31,133526.0,,
2014-09-30,2014-09-30,154636.0,,
2014-10-31,2014-10-31,157894.0,,
2014-11-30,2014-11-30,143720.0,,
2014-12-31,2014-12-31,138036.0,,
2015-01-31,2015-01-31,141448.0,,
2015-02-28,2015-02-28,141650.0,,
2015-03-31,2015-03-31,163386.0,,
2015-04-30,2015-04-30,153287.0,,
2015-05-31,2015-05-31,146238.0,,
2015-06-30,2015-06-30,157415.0,,
2015-07-31,2015-07-31,154657.0,,
2015-08-31,2015-08-31,137165.0,,
2015-09-30,2015-09-30,154256.0,,
2015-10-31,2015-10-31,157065.0,,
2015-11-30,2015-11-30,150601.0,,
2015-12-31,2015-12-31,144035.0,,
2016-01-31,2016-01-31,139965.0,,
2016-02-29,2016-02-29,144903.0,,
2016-03-31,2016-03-31,150683.0,,
2016-04-30,2016-04-30,145101.0,,
2016-05-31,2016-05-31,144842.0,,
2016-06-30,2016-06-30,151069.0,,
2016-07-31,2016-07-31,142574.0,,
2016-08-31,2016-08-31,142952.0,,
2016-09-30,2016-09-30,152250.0,,
2016-10-31,2016-10-31,152776.0,,
2016-11-30,2016-11-30,159510.0,,
2016-12-31,2016-12-31,150684.0,,
2017-01-31,2017-01-31,163892.0,,
2017-02-28,2017-02-28,154902.0,,
2017-03-31,2017-03-31,176123.0,,
2017-04-30,2017-04-30,152476.0,,
2017-05-31,2017-05-31,171239.0,,
2017-06-30,2017-06-30,161222.0,,
2017-07-31,2017-07-31,155894.0,,
2017-08-31,2017-08-31,155945.0,,
2017-09-30,2017-09-30,160750.0,,
2017-10-31,2017-10-31,169613.0,,
2017-11-30,2017-11-30,175282.0,,
2017-12-31,2017-12-31,156020.0,,
2018-01-31,2018-01-31,176478.0,,
2018-02-28,2018-02-28,159061.0,,
