Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-11-12,3.1,,
2003-09-30,2004-02-18,2.9,3.0,3.1
2003-12-31,2004-04-28,2.6,2.8,2.5
2004-03-31,2004-07-28,2.5,2.5,2.3
2004-06-30,2004-10-27,2.1,2.4,2.2
2004-09-30,2005-01-18,1.9,2.2,2.0
2004-12-31,2005-04-15,2.4,1.9,1.9
2005-03-31,2005-07-15,3.1,2.2,2.3
2005-06-30,2005-10-18,2.3,2.8,2.8
2005-09-30,2005-12-15,2.2,2.4,2.3
2005-12-31,2006-03-17,2.4,2.3,2.2
2006-03-31,2006-06-16,2.2,2.5,2.5
2006-06-30,2006-09-14,2.4,2.3,2.3
2006-09-30,2006-12-14,2.0,2.6,2.5
2006-12-31,2007-03-15,2.4,2.2,2.2
2007-03-31,2007-06-14,2.2,2.5,2.5
2007-06-30,2007-09-12,2.5,2.3,2.3
2007-09-30,2007-12-13,2.5,2.6,2.6
2007-12-31,2008-03-14,2.7,2.6,2.6
2008-03-31,2008-06-13,3.3,2.9,2.9
2008-06-30,2008-09-15,2.7,3.5,3.4
2008-09-30,2008-12-12,4.0,2.8,2.9
2008-12-31,2009-03-13,3.8,3.6,3.5
2009-03-31,2009-06-16,3.7,3.0,3.2
2009-06-30,2009-09-15,4.0,3.4,3.4
2009-09-30,2009-12-15,3.2,3.5,3.5
2009-12-31,2010-03-17,2.2,2.7,2.7
2010-03-31,2010-06-16,2.1,2.1,2.0
2010-06-30,2010-09-14,1.6,,
2010-09-30,2010-12-16,0.8,1.5,1.5
2010-12-31,2011-03-16,1.6,1.0,0.9
2011-03-31,2011-06-20,2.6,1.9,1.7
2011-06-30,2011-09-16,3.6,,
2011-09-30,2011-12-16,2.7,,
2011-12-31,2012-03-15,2.8,2.3,2.4
2012-03-31,2012-06-14,2.0,2.6,2.7
2012-06-30,2012-09-17,1.6,1.6,1.6
2012-09-30,2012-12-17,2.0,,
2012-12-31,2013-03-15,1.3,,
2013-03-31,2013-06-17,1.6,,
2013-06-30,2013-09-16,0.9,,
2013-09-30,2013-12-17,1.0,,
2013-12-31,2014-03-19,1.4,,
2014-03-31,2014-06-17,0.9,,
2014-06-30,2014-09-16,1.2,,
2014-09-30,2014-12-17,1.3,,
2014-12-31,2015-03-19,1.1,,
2015-03-31,2015-06-18,2.2,,
2015-06-30,2015-09-16,1.6,,
2015-09-30,2015-12-17,1.1,,
2015-12-31,2016-03-18,1.3,,
2016-03-31,2016-06-17,1.7,,
2016-06-30,2016-09-16,1.0,,
2016-09-30,2016-12-19,1.5,,
2016-12-31,2017-03-20,1.6,,
2017-03-31,2017-06-16,1.5,,
2017-06-30,2017-09-15,1.8,,
2017-09-30,2017-12-19,1.6,,
2017-12-31,2018-03-16,1.5,,
2018-03-31,2018-06-15,2.0,,
2018-06-30,2018-09-14,2.2,,
2018-09-30,2018-12-14,2.5,,
2018-12-31,2019-03-19,2.3,,
2019-03-31,2019-06-17,2.4,,
2019-06-30,2019-09-13,2.7,,
2019-09-30,2019-12-16,2.6,,
2019-12-31,2020-03-17,2.4,,
2020-03-31,2020-06-16,3.4,,
2020-06-30,2020-09-15,4.2,,
2020-09-30,2020-12-16,1.6,,
2020-12-31,2021-03-18,3.0,,
2021-03-31,2021-06-16,1.5,,
2021-06-30,2021-09-15,-0.1,,
2021-09-30,2021-12-16,2.5,,
2021-12-31,2022-03-18,1.9,,
2022-03-31,2022-06-16,3.2,,
2022-06-30,2022-09-15,4.0,,
2022-09-30,2022-12-19,2.9,,
2022-12-31,2023-03-17,5.7,,
2023-03-31,2023-06-16,5.0,,
2023-06-30,2023-09-15,4.5,,
2023-09-30,2023-12-15,5.3,,
2023-12-31,2024-03-19,3.4,,
2024-03-31,2024-06-17,5.1,,
2024-06-30,2024-09-16,4.7,,
2024-09-30,2024-12-16,4.6,,
2024-12-31,2025-03-19,3.7,,
2025-03-31,2025-06-16,,,
