Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,14496.0,,
2003-07-31,2003-07-31,22402.0,,
2003-08-31,2003-08-31,14308.0,,
2003-09-30,2003-09-30,11638.0,,
2003-10-31,2003-10-31,18349.0,,
2003-11-30,2003-11-30,14502.0,,
2003-12-31,2003-12-31,18217.0,,
2004-01-31,2004-01-31,12504.0,,
2004-02-29,2004-02-29,13029.0,,
2004-03-31,2004-03-31,19337.0,,
2004-04-30,2004-04-30,18911.0,,
2004-05-31,2004-05-31,20387.0,,
2004-06-30,2004-06-30,21101.0,,
2004-07-31,2004-07-31,25401.0,,
2004-08-31,2004-08-31,17126.0,,
2004-09-30,2004-09-30,26172.0,,
2004-10-31,2004-10-31,21008.0,,
2004-11-30,2004-11-30,18252.0,,
2004-12-31,2004-12-31,22000.0,,
2005-01-31,2005-01-31,15690.0,,
2005-02-28,2005-02-28,15368.0,,
2005-03-31,2005-03-31,18489.0,,
2005-04-30,2005-04-30,21533.0,,
2005-05-31,2005-05-31,23058.0,,
2005-06-30,2005-06-30,31137.0,,
2005-07-31,2005-07-31,35808.0,,
2005-08-31,2005-08-31,22014.0,,
2005-09-30,2005-09-30,25154.0,,
2005-10-31,2005-10-31,30931.0,,
2005-11-30,2005-11-30,25444.0,,
2005-12-31,2005-12-31,37896.0,,
2006-01-31,2006-01-31,19413.0,,
2006-02-28,2006-02-28,19757.0,,
2006-03-31,2006-03-31,31866.0,,
2006-04-30,2006-04-30,24443.0,,
2006-05-31,2006-05-31,24818.0,,
2006-06-30,2006-06-30,28768.0,,
2006-07-31,2006-07-31,29732.0,,
2006-08-31,2006-08-31,14054.0,,
2006-09-30,2006-09-30,24880.0,,
2006-10-31,2006-10-31,16338.0,,
2006-11-30,2006-11-30,24220.0,,
2006-12-31,2006-12-31,24467.0,,
2007-01-31,2007-01-31,17583.0,,
2007-02-28,2007-02-28,21767.0,,
2007-03-31,2007-03-31,20830.0,,
2007-04-30,2007-04-30,14021.0,,
2007-05-31,2007-05-31,25454.0,,
2007-06-30,2007-06-30,23567.0,,
2007-07-31,2007-07-31,22808.0,,
2007-08-31,2007-08-31,15366.0,,
2007-09-30,2007-09-30,19649.0,,
2007-10-31,2007-10-31,15109.0,,
2007-11-30,2007-11-30,19715.0,,
2007-12-31,2007-12-31,11189.0,,
2008-01-31,2008-01-31,11053.0,,
2008-02-29,2008-02-29,16475.0,,
2008-03-31,2008-03-31,4911.0,,
2008-04-30,2008-04-30,7050.0,,
2008-05-31,2008-05-31,13373.0,,
2008-06-30,2008-06-30,-12774.0,,
2008-07-31,2008-07-31,20660.0,,
2008-08-31,2008-08-31,10629.0,,
2008-09-30,2008-09-30,17942.0,,
2008-10-31,2008-10-31,-5322.0,,
2008-11-30,2008-11-30,-9437.0,,
2008-12-31,2008-12-31,-22111.0,,
2009-01-31,2009-01-31,-7642.0,,
2009-02-28,2009-02-28,-1146.0,,
2009-03-31,2009-03-31,-7744.0,,
2009-04-30,2009-04-30,-2962.0,,
2009-05-31,2009-05-31,3736.0,,
2009-06-30,2009-06-30,6798.0,,
2009-07-31,2009-07-31,12313.0,,
2009-08-31,2009-08-31,2199.0,,
2009-09-30,2009-09-30,11549.0,,
2009-10-31,2009-10-31,7311.0,,
2009-11-30,2009-11-30,7931.0,,
2009-12-31,2009-12-31,19317.0,,
2010-01-31,2010-01-31,4989.0,,
2010-02-28,2010-02-28,7243.0,,
2010-03-31,2010-03-31,9884.0,,
2010-04-30,2010-04-30,6960.0,,
2010-05-31,2010-05-31,11595.0,,
2010-06-30,2010-06-30,15268.0,,
2010-07-31,2010-07-31,14866.0,,
2010-08-31,2010-08-31,4640.0,,
2010-09-30,2010-09-30,11266.0,,
2010-10-31,2010-10-31,13622.0,,
2010-11-30,2010-11-30,3244.0,,
2010-12-31,2010-12-31,30547.0,,
2011-01-31,2011-01-31,13987.0,,
2011-02-28,2011-02-28,3262.0,,
2011-03-31,2011-03-31,30692.0,,
2011-04-30,2011-04-30,7371.0,,
2011-05-31,2011-05-31,10955.0,,
2011-06-30,2011-06-30,14250.0,,
