Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,2262745.0,,
2003-07-31,2003-07-31,2285513.0,,
2003-08-31,2003-08-31,2300340.0,,
2003-09-30,2003-09-30,2310283.0,,
2003-10-31,2003-10-31,2328927.0,,
2003-11-30,2003-11-30,2342876.0,,
2003-12-31,2003-12-31,2360453.0,,
2004-01-31,2004-01-31,2372606.0,,
2004-02-29,2004-02-29,2384915.0,,
2004-03-31,2004-03-31,2400248.0,,
2004-04-30,2004-04-30,2419220.0,,
2004-05-31,2004-05-31,2439564.0,,
2004-06-30,2004-06-30,2463756.0,,
2004-07-31,2004-07-31,2490989.0,,
2004-08-31,2004-08-31,2507979.0,,
2004-09-30,2004-09-30,2533580.0,,
2004-10-31,2004-10-31,2554051.0,,
2004-11-30,2004-11-30,2572078.0,,
2004-12-31,2004-12-31,2591495.0,,
2005-01-31,2005-01-31,2607098.0,,
2005-02-28,2005-02-28,2621939.0,,
2005-03-31,2005-03-31,2640262.0,,
2005-04-30,2005-04-30,2662188.0,,
2005-05-31,2005-05-31,2686138.0,,
2005-06-30,2005-06-30,2742016.0,,
2005-07-31,2005-07-31,2777638.0,,
2005-08-31,2005-08-31,2799801.0,,
2005-09-30,2005-09-30,2824519.0,,
2005-10-31,2005-10-31,2856029.0,,
2005-11-30,2005-11-30,2881533.0,,
2005-12-31,2005-12-31,2911593.0,,
2006-01-31,2006-01-31,2937507.0,,
2006-02-28,2006-02-28,2957566.0,,
2006-03-31,2006-03-31,2993985.0,,
2006-04-30,2006-04-30,3018188.0,,
2006-05-31,2006-05-31,3043160.0,,
2006-06-30,2006-06-30,3071750.0,,
2006-07-31,2006-07-31,3101021.0,,
2006-08-31,2006-08-31,3115003.0,,
2006-09-30,2006-09-30,3139698.0,,
2006-10-31,2006-10-31,3157412.0,,
2006-11-30,2006-11-30,3181787.0,,
2006-12-31,2006-12-31,3203783.0,,
2007-01-31,2007-01-31,3222785.0,,
2007-02-28,2007-02-28,3244259.0,,
2007-03-31,2007-03-31,3265288.0,,
2007-04-30,2007-04-30,3278430.0,,
2007-05-31,2007-05-31,3303862.0,,
2007-06-30,2007-06-30,3327012.0,,
2007-07-31,2007-07-31,3349355.0,,
2007-08-31,2007-08-31,3364814.0,,
2007-09-30,2007-09-30,3383202.0,,
2007-10-31,2007-10-31,3397312.0,,
2007-11-30,2007-11-30,3416882.0,,
2007-12-31,2007-12-31,3429454.0,,
2008-01-31,2008-01-31,3449663.0,,
2008-02-29,2008-02-29,3465826.0,,
2008-03-31,2008-03-31,3470029.0,,
2008-04-30,2008-04-30,3476465.0,,
2008-05-31,2008-05-31,3489284.0,,
2008-06-30,2008-06-30,3475834.0,,
2008-07-31,2008-07-31,3494763.0,,
2008-08-31,2008-08-31,3506626.0,,
2008-09-30,2008-09-30,3525772.0,,
2008-10-31,2008-10-31,3524890.0,,
2008-11-30,2008-11-30,3514474.0,,
2008-12-31,2008-12-31,3491099.0,,
2009-01-31,2009-01-31,3493702.0,,
2009-02-28,2009-02-28,3492280.0,,
2009-03-31,2009-03-31,3481951.0,,
2009-04-30,2009-04-30,3479840.0,,
2009-05-31,2009-05-31,3481962.0,,
2009-06-30,2009-06-30,3488241.0,,
2009-07-31,2009-07-31,3500188.0,,
2009-08-31,2009-08-31,3503763.0,,
2009-09-30,2009-09-30,3515500.0,,
2009-10-31,2009-10-31,3523111.0,,
2009-11-30,2009-11-30,3530956.0,,
2009-12-31,2009-12-31,3551673.0,,
2010-01-31,2010-01-31,3557556.0,,
2010-02-28,2010-02-28,3565159.0,,
2010-03-31,2010-03-31,3576093.0,,
2010-04-30,2010-04-30,3583023.0,,
2010-05-31,2010-05-31,3596836.0,,
2010-06-30,2010-06-30,3626793.0,,
2010-07-31,2010-07-31,3639490.0,,
2010-08-31,2010-08-31,3649511.0,,
2010-09-30,2010-09-30,3657797.0,,
2010-10-31,2010-10-31,3674747.0,,
2010-11-30,2010-11-30,3683084.0,,
2010-12-31,2010-12-31,3706884.0,,
2011-01-31,2011-01-31,3724576.0,,
2011-02-28,2011-02-28,3727626.0,,
2011-03-31,2011-03-31,3756612.0,,
2011-04-30,2011-04-30,3766764.0,,
2011-05-31,2011-05-31,3780078.0,,
2011-06-30,2011-06-30,3794675.0,,
2011-07-31,2011-07-31,3798915.0,,
2011-08-31,2011-08-31,3799390.0,,
2011-09-30,2011-09-30,3809797.0,,
2011-10-31,2011-10-31,3770933.0,,
2011-11-30,2011-11-30,3777332.0,,
2011-12-31,2011-12-31,3784425.0,,
2012-01-31,2012-01-31,3781555.0,,
2012-02-29,2012-02-29,3779890.0,,
2012-03-31,2012-03-31,3786429.0,,
2012-04-30,2012-04-30,3789629.0,,
2012-05-31,2012-05-31,3792523.0,,
2012-06-30,2012-06-30,3806182.0,,
2012-07-31,2012-07-31,3808755.0,,
2012-08-31,2012-08-31,3809797.0,,
2012-09-30,2012-09-30,3815507.0,,
2012-10-31,2012-10-31,3816326.0,,
2012-11-30,2012-11-30,3822417.0,,
2012-12-31,2012-12-31,3830186.0,,
2013-01-31,2013-01-31,3830684.0,,
2013-02-28,2013-02-28,3833869.0,,
2013-03-31,2013-03-31,3837594.0,,
2013-04-30,2013-04-30,3836843.0,,
2013-05-31,2013-05-31,3832540.0,,
2013-06-30,2013-06-30,3840107.0,,
2013-07-31,2013-07-31,3838098.0,,
2013-08-31,2013-08-31,3838631.0,,
2013-09-30,2013-09-30,3846429.0,,
2013-10-31,2013-10-31,3853837.0,,
2013-11-30,2013-11-30,3856571.0,,
2013-12-31,2013-12-31,3858401.0,,
2014-01-31,2014-01-31,3858877.0,,
2014-02-28,2014-02-28,3861043.0,,
2014-03-31,2014-03-31,3861351.0,,
2014-04-30,2014-04-30,3867455.0,,
2014-05-31,2014-05-31,3827544.0,,
2014-06-30,2014-06-30,3829992.0,,
2014-07-31,2014-07-31,3836596.0,,
2014-08-31,2014-08-31,3840970.0,,
2014-09-30,2014-09-30,3844971.0,,
2014-10-31,2014-10-31,3850921.0,,
2014-11-30,2014-11-30,3851797.0,,
2014-12-31,2014-12-31,3865637.0,,
2015-01-31,2015-01-31,3877462.0,,
2015-02-28,2015-02-28,3878694.0,,
2015-03-31,2015-03-31,3886695.0,,
2015-04-30,2015-04-30,3889134.0,,
2015-05-31,2015-05-31,3894881.0,,
2015-06-30,2015-06-30,3906208.0,,
2015-07-31,2015-07-31,3915113.0,,
2015-08-31,2015-08-31,3918300.0,,
2015-09-30,2015-09-30,3929572.0,,
2015-10-31,2015-10-31,3943628.0,,
2015-11-30,2015-11-30,3948489.0,,
2015-12-31,2015-12-31,3953298.0,,
2016-01-31,2016-01-31,3952195.0,,
2016-02-29,2016-02-29,3963802.0,,
2016-03-31,2016-03-31,3969030.0,,
2016-04-30,2016-04-30,3976278.0,,
2016-05-31,2016-05-31,3980967.0,,
2016-06-30,2016-06-30,3982616.0,,
2016-07-31,2016-07-31,3996875.0,,
2016-08-31,2016-08-31,4003348.0,,
2016-09-30,2016-09-30,4020742.0,,
2016-10-31,2016-10-31,4026402.0,,
2016-11-30,2016-11-30,4042694.0,,
2016-12-31,2016-12-31,4088549.0,,
2017-01-31,2017-01-31,4089277.0,,
2017-02-28,2017-02-28,4105329.0,,
2017-03-31,2017-03-31,4116873.0,,
2017-04-30,2017-04-30,4126953.0,,
2017-05-31,2017-05-31,4126076.0,,
2017-06-30,2017-06-30,4144669.0,,
2017-07-31,2017-07-31,4149014.0,,
2017-08-31,2017-08-31,4166033.0,,
2017-09-30,2017-09-30,4182440.0,,
2017-10-31,2017-10-31,4191394.0,,
2017-11-30,2017-11-30,4201890.0,,
2017-12-31,2017-12-31,4221570.0,,
2018-01-31,2018-01-31,4216056.0,,
2018-02-28,2018-02-28,4221676.0,,
2018-03-31,2018-03-31,4243037.0,,
2018-04-30,2018-04-30,4250333.0,,
2018-05-31,2018-05-31,4257181.0,,
2018-06-30,2018-06-30,4276917.0,,
2018-07-31,2018-07-31,4295567.0,,
2018-08-31,2018-08-31,4307172.0,,
2018-09-30,2018-09-30,4320431.0,,
2018-10-31,2018-10-31,4332626.0,,
2018-11-30,2018-11-30,4344255.0,,
2018-12-31,2018-12-31,4359727.0,,
2019-01-31,2019-01-31,4365125.0,,
2019-02-28,2019-02-28,4370735.0,,
2019-03-31,2019-03-31,4386885.0,,
2019-04-30,2019-04-30,4399213.0,,
2019-05-31,2019-05-31,4402983.0,,
2019-06-30,2019-06-30,4421887.0,,
2019-07-31,2019-07-31,4443696.0,,
2019-08-31,2019-08-31,4459249.0,,
2019-09-30,2019-09-30,4475640.0,,
2019-10-31,2019-10-31,4495615.0,,
2019-11-30,2019-11-30,4508872.0,,
2019-12-31,2019-12-31,4528836.0,,
2020-01-31,2020-01-31,4545430.0,,
2020-02-29,2020-02-29,4559298.0,,
2020-03-31,2020-03-31,4558664.0,,
2020-04-30,2020-04-30,4563507.0,,
2020-05-31,2020-05-31,4583003.0,,
2020-06-30,2020-06-30,4598414.0,,
2020-07-31,2020-07-31,4622806.0,,
2020-08-31,2020-08-31,4630550.0,,
2020-09-30,2020-09-30,4668593.0,,
2020-10-31,2020-10-31,4692263.0,,
2020-11-30,2020-11-30,4710688.0,,
2020-12-31,2020-12-31,4730414.0,,
2021-01-31,2021-01-31,4741853.0,,
2021-02-28,2021-02-28,4754521.0,,
2021-03-31,2021-03-31,4778667.0,,
2021-04-30,2021-04-30,4797288.0,,
2021-05-31,2021-05-31,4820290.0,,
2021-06-30,2021-06-30,4848364.0,,
2021-07-31,2021-07-31,4877641.0,,
2021-08-31,2021-08-31,4893037.0,,
2021-09-30,2021-09-30,4916883.0,,
2021-10-31,2021-10-31,4940004.0,,
2021-11-30,2021-11-30,4962385.0,,
2021-12-31,2021-12-31,4979169.0,,
2022-01-31,2022-01-31,5022381.0,,
2022-02-28,2022-02-28,5030386.0,,
2022-03-31,2022-03-31,5056371.0,,
2022-04-30,2022-04-30,5072584.0,,
2022-05-31,2022-05-31,5100424.0,,
2022-06-30,2022-06-30,5136016.0,,
2022-07-31,2022-07-31,5165152.0,,
2022-08-31,2022-08-31,5178499.0,,
2022-09-30,2022-09-30,5197887.0,,
2022-10-31,2022-10-31,5208072.0,,
2022-11-30,2022-11-30,5215540.0,,
2022-12-31,2022-12-31,5223566.0,,
2023-01-31,2023-01-31,5222385.0,,
2023-02-28,2023-02-28,5222528.0,,
2023-03-31,2023-03-31,5230554.0,,
2023-04-30,2023-04-30,5229766.0,,
2023-05-31,2023-05-31,5197634.0,,
2023-06-30,2023-06-30,5206339.0,,
2023-07-31,2023-07-31,5211031.0,,
2023-08-31,2023-08-31,5210118.0,,
2023-09-30,2023-09-30,5216086.0,,
2023-10-31,2023-10-31,5229948.0,,
2023-11-30,2023-11-30,5238311.0,,
2023-12-31,2023-12-31,5238411.0,,
2024-01-31,2024-01-31,5213512.0,,
2024-02-29,2024-02-29,5211675.0,,
2024-03-31,2024-03-31,5215238.0,,
2024-04-30,2024-04-30,5214579.0,,
2024-05-31,2024-05-31,5213353.0,,
2024-06-30,2024-06-30,5222604.0,,
2024-07-31,2024-07-31,5232688.0,,
2024-08-31,2024-08-31,5237305.0,,
2024-09-30,2024-09-30,5246607.0,,
2024-10-31,2024-10-31,5246369.0,,
2024-11-30,2024-11-30,5256567.0,,
2024-12-31,2024-12-31,5265004.0,,
2025-01-31,2025-01-31,5270941.0,,
2025-02-28,2025-02-28,5278841.0,,
2025-03-31,2025-03-31,5287070.0,,
