Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-28,8.5,8.3,8.3
2003-07-31,2003-09-25,8.4,8.4,8.4
2003-08-31,2003-10-28,8.1,8.2,8.2
2003-09-30,2003-11-27,7.9,7.6,7.6
2003-10-31,2003-12-30,7.7,7.8,7.8
2003-11-30,2004-01-29,7.6,7.6,7.6
2003-12-31,2004-02-26,7.0,7.1,7.1
2004-01-31,2004-03-26,6.6,6.5,6.5
2004-02-29,2004-04-29,6.4,6.4,6.4
2004-03-31,2004-05-28,6.1,6.0,6.0
2004-04-30,2004-06-28,5.5,5.8,5.8
2004-05-31,2004-07-28,5.2,5.0,5.0
2004-06-30,2004-08-26,5.2,5.1,5.1
2004-07-31,2004-09-27,5.4,5.5,5.5
2004-08-31,2004-10-28,5.7,5.5,5.5
2004-09-30,2004-11-26,5.8,5.7,5.7
2004-10-31,2004-12-30,5.9,6.0,6.0
2004-11-30,2005-01-28,6.1,5.9,5.9
2004-12-31,2005-02-25,6.3,6.3,6.3
2005-01-31,,6.5,,
2005-02-28,2005-03-30,6.5,6.6,6.6
2005-03-31,2005-04-27,6.7,6.4,6.4
2005-04-30,2005-05-31,6.6,6.6,6.6
2005-05-31,2005-06-28,6.9,6.7,6.7
2005-06-30,2005-07-28,7.2,7.1,7.1
2005-07-31,2005-08-26,7.6,7.4,7.3
2005-08-31,2005-09-27,7.9,7.8,7.8
2005-09-30,2005-10-28,8.2,8.0,8.0
2005-10-31,2005-11-29,8.2,8.4,8.4
2005-11-30,2005-12-29,8.0,8.2,8.2
2005-12-31,2006-01-27,7.6,7.7,7.7
2006-01-31,2006-02-27,7.5,7.4,7.4
2006-02-28,2006-03-28,7.6,7.5,7.5
2006-03-31,2006-04-28,8.1,7.9,7.9
2006-04-30,2006-05-30,8.4,8.3,8.3
2006-05-31,2006-06-29,8.7,8.7,8.7
2006-06-30,2006-07-28,8.7,8.7,8.7
2006-07-31,2006-08-28,8.3,8.5,8.5
2006-08-31,2006-09-27,8.2,7.9,7.9
2006-09-30,2006-10-27,8.2,8.0,8.0
2006-10-31,2006-11-28,8.4,8.5,8.6
2006-11-30,2006-12-29,8.8,8.6,8.6
2006-12-31,2007-01-26,9.2,9.0,9.0
2007-01-31,2007-02-27,9.7,9.5,9.5
2007-02-28,2007-03-28,9.9,9.8,9.8
2007-03-31,2007-04-30,10.3,9.8,9.8
2007-04-30,2007-05-30,10.4,10.5,10.5
2007-05-31,2007-06-28,10.7,10.6,10.6
2007-06-30,2007-07-26,10.6,10.6,10.6
2007-07-31,2007-08-28,11.1,10.9,10.9
2007-08-31,2007-09-27,11.4,11.5,11.5
2007-09-30,2007-10-26,11.5,11.6,11.5
2007-10-31,2007-11-28,11.7,11.5,11.5
2007-11-30,2008-01-03,11.9,11.9,11.9
2007-12-31,2008-01-28,12.1,12.2,12.2
2008-01-31,2008-02-27,11.8,11.8,11.8
2008-02-29,2008-03-31,11.4,11.5,11.5
2008-03-31,2008-04-25,11.1,11.0,11.0
2008-04-30,2008-05-29,10.7,10.7,10.7
2008-05-31,2008-06-26,10.4,10.4,10.4
2008-06-30,2008-07-25,9.9,10.4,10.4
2008-07-31,2008-08-28,9.6,9.5,9.5
2008-08-31,2008-09-25,9.2,9.3,9.2
2008-09-30,2008-10-27,8.9,8.8,8.8
2008-10-31,2008-11-27,8.7,8.5,8.5
2008-11-30,2008-12-30,8.4,8.6,8.6
2008-12-31,2009-01-29,7.9,8.0,8.0
2009-01-31,2009-02-26,7.0,7.3,7.3
2009-02-28,2009-03-26,6.5,6.3,6.3
2009-03-31,2009-04-29,5.6,5.9,5.9
2009-04-30,2009-05-29,5.2,5.1,4.9
2009-05-31,2009-06-30,4.5,4.9,4.8
2009-06-30,2009-07-27,4.1,4.0,3.9
2009-07-31,2009-08-27,3.4,3.5,3.5
2009-08-31,2009-09-25,3.0,3.1,3.1
2009-09-30,2009-10-27,2.5,2.5,2.5
2009-10-31,2009-11-26,1.6,1.7,1.7
2009-11-30,2009-12-30,0.6,0.8,0.8
2009-12-31,2010-01-29,-0.1,-0.1,-0.1
2010-01-31,2010-02-25,-0.1,-0.1,-0.1
2010-02-28,2010-03-25,-0.2,-0.1,-0.1
2010-03-31,2010-04-29,-0.1,-0.2,-0.2
2010-04-30,2010-05-31,-0.2,-0.2,-0.2
2010-05-31,2010-06-28,-0.2,0.0,0.0
2010-06-30,2010-07-27,0.0,-0.2,-0.2
2010-07-31,2010-08-26,0.1,0.1,0.2
2010-08-31,2010-09-27,0.5,0.2,0.2
2010-09-30,2010-10-27,0.8,0.9,1.0
2010-10-31,2010-11-26,1.1,1.1,1.2
2010-11-30,2010-12-29,1.3,1.2,1.2
2010-12-31,2011-01-28,1.6,1.6,1.6
2011-01-31,2011-02-25,1.7,2.0,2.0
2011-02-28,2011-03-25,1.7,1.6,1.7
2011-03-31,2011-04-29,2.0,1.9,1.9
2011-04-30,2011-05-27,2.1,2.3,2.3
2011-05-31,2011-06-30,2.2,2.1,2.1
2011-06-30,2011-07-27,2.2,2.3,2.3
2011-07-31,2011-08-26,2.1,2.3,2.3
2011-08-31,2011-09-27,2.3,2.0,1.9
2011-09-30,2011-10-27,2.6,2.6,2.6
2011-10-31,2011-11-28,2.8,3.1,3.2
2011-11-30,2011-12-29,2.5,2.8,2.7
2011-12-31,2012-01-27,2.1,2.3,2.3
2012-01-31,2012-02-27,2.0,1.8,1.8
2012-02-29,2012-03-28,2.3,2.2,2.2
2012-03-31,2012-04-30,2.8,2.7,2.7
2012-04-30,2012-05-30,2.7,3.1,3.1
2012-05-31,2012-06-29,2.8,2.6,2.6
2012-06-30,2012-07-26,3.0,2.7,2.7
2012-07-31,2012-08-28,3.4,3.1,3.1
2012-08-31,2012-09-27,3.2,3.4,3.5
2012-09-30,2012-10-25,3.0,3.1,3.1
2012-10-31,2012-11-28,3.1,2.8,2.8
2012-11-30,2013-01-03,3.4,3.5,3.4
2012-12-31,2013-01-28,3.7,3.8,3.8
2013-01-31,2013-02-27,3.5,3.4,3.4
2013-02-28,2013-03-28,3.3,3.3,3.3
2013-03-31,2013-04-26,3.0,3.2,3.2
2013-04-30,2013-05-29,3.0,2.9,2.9
2013-05-31,2013-06-27,2.9,2.8,2.8
2013-06-30,2013-07-25,2.8,3.0,3.0
2013-07-31,2013-08-28,2.5,2.4,2.4
2013-08-31,2013-09-26,2.3,2.3,2.2
2013-09-30,2013-10-25,2.2,2.3,2.2
2013-10-31,2013-11-28,1.9,2.0,2.0
2013-11-30,2014-01-03,1.7,1.7,1.6
2013-12-31,2014-01-29,1.3,1.5,1.5
2014-01-31,2014-02-27,1.2,1.2,1.2
2014-02-28,2014-03-27,1.2,1.2,1.2
2014-03-31,2014-04-29,1.2,1.3,1.4
2014-04-30,2014-05-28,1.0,1.2,1.2
2014-05-31,2014-06-30,0.9,0.8,0.8
2014-06-30,2014-07-25,1.1,1.0,1.0
2014-07-31,2014-08-28,1.5,1.3,1.4
2014-08-31,2014-09-25,1.8,1.8,1.8
2014-09-30,2014-10-27,2.1,2.0,2.0
2014-10-31,2014-11-27,2.3,2.4,2.4
2014-11-30,2014-12-30,2.7,2.5,2.5
2014-12-31,2015-01-29,3.1,3.1,3.1
2015-01-31,2015-02-26,3.6,3.4,3.4
2015-02-28,2015-03-26,3.8,4.0,4.1
2015-03-31,2015-04-29,4.1,4.1,4.1
2015-04-30,2015-05-29,4.7,4.5,4.5
2015-05-31,2015-06-26,5.0,5.1,5.1
2015-06-30,2015-07-27,5.1,5.1,5.1
2015-07-31,2015-08-27,5.1,5.0,5.0
2015-08-31,2015-09-25,5.0,5.2,5.2
