Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2004-04-30,2004-05-05,,55.0,55.0
2004-05-31,2004-06-03,,54.7,54.5
2004-06-30,2004-07-05,,55.5,55.5
2004-07-31,2004-08-04,,55.5,55.4
2004-08-31,2004-09-03,,55.0,55.0
2004-09-30,2004-10-05,,54.4,54.4
2004-10-31,2004-11-03,,53.3,53.3
2004-11-30,2004-12-03,,53.2,53.2
2004-12-31,2005-01-05,,52.7,52.7
2005-01-31,2005-02-03,,52.9,52.9
2005-02-28,2005-03-03,,53.3,53.3
2005-03-31,2005-04-05,,52.8,52.6
2005-04-30,2005-05-04,,52.6,52.7
2005-05-31,2005-06-03,,52.5,52.5
2005-06-30,2005-07-04,,53.4,53.4
2005-07-31,2005-08-03,,53.4,53.3
2005-08-31,2005-09-05,,53.2,53.3
2005-09-30,2005-10-05,,53.5,53.4
2005-10-31,2005-11-03,,55.0,55.0
2005-11-30,2005-12-05,,54.7,54.7
2005-12-31,2006-01-05,,55.4,55.4
2006-01-31,2006-02-03,,57.0,57.0
2006-02-28,2006-03-03,,57.3,57.2
2006-03-31,2006-04-05,,58.2,58.3
2006-04-30,2006-05-04,,58.6,58.5
2006-05-31,2006-06-06,,58.5,58.4
2006-06-30,2006-07-05,,59.0,58.9
2006-07-31,2006-08-03,,60.1,60.0
2006-08-31,2006-09-05,,57.5,57.6
2006-09-30,2006-10-04,,57.0,57.0
2006-10-31,2006-11-06,,57.0,56.9
2006-11-30,2006-12-05,,56.5,56.5
2006-12-31,2007-01-04,,57.6,57.5
2007-01-31,2007-02-05,,56.8,56.8
2007-02-28,2007-03-05,,57.6,57.6
2007-03-31,2007-04-04,,57.5,57.4
2007-04-30,2007-05-04,,57.6,57.6
2007-05-31,2007-06-05,,57.1,57.0
2007-06-30,2007-06-21,,58.3,58.1
2007-07-31,2007-07-24,,58.1,58.1
2007-08-31,2007-08-24,,57.9,57.9
2007-09-30,2007-09-21,,54.0,54.0
2007-10-31,2007-10-24,,55.6,55.6
2007-11-30,2007-11-23,,53.7,53.7
2007-12-31,2007-12-17,,53.2,53.3
2008-01-31,2008-01-23,,52.0,52.0
2008-02-29,2008-02-22,,52.3,52.3
2008-03-31,2008-03-20,,51.7,51.9
2008-04-30,2008-04-23,,51.8,51.8
2008-05-31,2008-05-23,,50.6,50.6
2008-06-30,2008-06-23,,49.5,49.5
2008-07-31,2008-07-24,,48.3,48.3
2008-08-31,2008-08-21,,48.2,48.2
2008-09-30,2008-09-23,,48.2,48.2
2008-10-31,2008-10-24,,46.9,46.9
2008-11-30,2008-11-21,,43.3,43.2
2008-12-31,2008-12-16,,42.0,42.0
2009-01-31,2009-01-23,,42.5,42.4
2009-02-28,2009-02-20,,38.9,39.0
2009-03-31,2009-03-24,,40.1,40.1
2009-04-30,2009-04-23,,43.1,43.1
2009-05-31,2009-05-21,,44.7,44.7
2009-06-30,2009-06-23,,44.5,44.5
2009-07-31,2009-07-24,,45.6,45.6
2009-08-31,2009-08-21,,49.5,49.6
2009-09-30,2009-09-23,,50.6,50.6
