Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1956534.0,,
2003-09-30,2003-09-30,1981623.5,,
2003-12-31,2003-12-31,1998539.2,,
2004-03-31,2004-03-31,2019266.6,,
2004-06-30,2004-06-30,2043974.4,,
2004-09-30,2004-09-30,2057986.6,,
2004-12-31,2004-12-31,2079077.5,,
2005-03-31,2005-03-31,2091767.0,,
2005-06-30,2005-06-30,2114425.7,,
2005-09-30,2005-09-30,2141027.6,,
2005-12-31,2005-12-31,2169893.3,,
2006-03-31,2006-03-31,2196083.8,,
2006-06-30,2006-06-30,2234610.5,,
2006-09-30,2006-09-30,2259829.6,,
2006-12-31,2006-12-31,2297819.4,,
2007-03-31,2007-03-31,2334053.5,,
2007-06-30,2007-06-30,2360375.0,,
2007-09-30,2007-09-30,2381882.2,,
2007-12-31,2007-12-31,2410119.3,,
2008-03-31,2008-03-31,2437550.6,,
2008-06-30,2008-06-30,2442072.5,,
2008-09-30,2008-09-30,2435311.5,,
2008-12-31,2008-12-31,2401056.6,,
2009-03-31,2009-03-31,2335727.5,,
2009-06-30,2009-06-30,2335973.3,,
2009-09-30,2009-09-30,2346841.3,,
2009-12-31,2009-12-31,2362632.7,,
2010-03-31,2010-03-31,2374900.4,,
2010-06-30,2010-06-30,2401600.3,,
2010-09-30,2010-09-30,2420994.1,,
2010-12-31,2010-12-31,2439573.7,,
2011-03-31,2011-03-31,2471544.2,,
2011-06-30,2011-06-30,2476982.7,,
2011-09-30,2011-09-30,2485503.7,,
2011-12-31,2011-12-31,2484612.3,,
2012-03-31,2012-03-31,2488009.1,,
2012-06-30,2012-06-30,2485987.1,,
2012-09-30,2012-09-30,2493002.2,,
2012-12-31,2012-12-31,2487338.9,,
2013-03-31,2013-03-31,2493017.7,,
2013-06-30,2013-06-30,2514931.3,,
2013-09-30,2013-09-30,2525272.3,,
2013-12-31,2013-12-31,2532380.3,,
2014-03-31,2014-03-31,2555978.7,,
2014-06-30,2014-06-30,2567530.0,,
2014-09-30,2014-09-30,2583473.7,,
2014-12-31,2014-12-31,2600832.3,,
2015-03-31,2015-03-31,2633603.0,,
2015-06-30,2015-06-30,2656319.6,,
2015-09-30,2015-09-30,2676104.3,,
2015-12-31,2015-12-31,2692464.0,,
2016-03-31,2016-03-31,2713374.3,,
2016-06-30,2016-06-30,2723649.2,,
2016-09-30,2016-09-30,2744028.1,,
2016-12-31,2016-12-31,2767264.5,,
2017-03-31,2017-03-31,2797913.8,,
2017-06-30,2017-06-30,2830284.1,,
2017-09-30,2017-09-30,2856823.4,,
2017-12-31,2017-12-31,2891783.1,,
2018-03-31,2018-03-31,2904778.2,,
2018-06-30,2018-06-30,2926665.3,,
2018-09-30,2018-09-30,2943416.9,,
2018-12-31,2018-12-31,2976050.1,,
2019-03-31,2019-03-31,3007891.3,,
2019-06-30,2019-06-30,3027621.4,,
2019-09-30,2019-09-30,3047523.4,,
2019-12-31,2019-12-31,3063723.7,,
2020-03-31,2020-03-31,2979651.9,,
2020-06-30,2020-06-30,2677986.5,,
2020-09-30,2020-09-30,2958234.7,,
2020-12-31,2020-12-31,2990137.2,,
2021-03-31,2021-03-31,3028697.1,,
2021-06-30,2021-06-30,3106162.9,,
2021-09-30,2021-09-30,3199209.3,,
2021-12-31,2021-12-31,3262780.8,,
2022-03-31,2022-03-31,3326842.6,,
2022-06-30,2022-06-30,3399564.1,,
2022-09-30,2022-09-30,3461407.3,,
2022-12-31,2022-12-31,3526457.1,,
2023-03-31,2023-03-31,3593919.4,,
2023-06-30,2023-06-30,3640540.0,,
2023-09-30,2023-09-30,3667892.6,,
2023-12-31,2023-12-31,3710133.9,,
2024-03-31,2024-03-31,3742568.5,,
2024-06-30,2024-06-30,3765809.0,,
2024-09-30,2024-09-30,3803936.7,,
2024-12-31,2024-12-31,3844155.1,,
2025-03-31,2025-03-31,3888531.4,,
