Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,88.6128,,
2003-07-31,2003-07-31,88.9152,,
2003-08-31,2003-08-31,89.2508,,
2003-09-30,2003-09-30,89.6039,,
2003-10-31,2003-10-31,89.955,,
2003-11-30,2003-11-30,90.2818,,
2003-12-31,2003-12-31,90.5662,,
2004-01-31,2004-01-31,90.8078,,
2004-02-29,2004-02-29,91.0234,,
2004-03-31,2004-03-31,91.219,,
2004-04-30,2004-04-30,91.4009,,
2004-05-31,2004-05-31,91.5715,,
2004-06-30,2004-06-30,91.7323,,
2004-07-31,2004-07-31,91.8861,,
2004-08-31,2004-08-31,92.0361,,
2004-09-30,2004-09-30,92.1866,,
2004-10-31,2004-10-31,92.3321,,
2004-11-30,2004-11-30,92.4645,,
2004-12-31,2004-12-31,92.5774,,
2005-01-31,2005-01-31,92.6677,,
2005-02-28,2005-02-28,92.7403,,
2005-03-31,2005-03-31,92.8071,,
2005-04-30,2005-04-30,92.885,,
2005-05-31,2005-05-31,92.995,,
2005-06-30,2005-06-30,93.1558,,
2005-07-31,2005-07-31,93.3707,,
2005-08-31,2005-08-31,93.6322,,
2005-09-30,2005-09-30,93.9317,,
2005-10-31,2005-10-31,94.2576,,
2005-11-30,2005-11-30,94.6029,,
2005-12-31,2005-12-31,94.9587,,
2006-01-31,2006-01-31,95.3053,,
2006-02-28,2006-02-28,95.6274,,
2006-03-31,2006-03-31,95.9167,,
2006-04-30,2006-04-30,96.1758,,
2006-05-31,2006-05-31,96.406,,
2006-06-30,2006-06-30,96.6223,,
2006-07-31,2006-07-31,96.8414,,
2006-08-31,2006-08-31,97.0771,,
2006-09-30,2006-09-30,97.3298,,
2006-10-31,2006-10-31,97.5977,,
2006-11-30,2006-11-30,97.8715,,
2006-12-31,2006-12-31,98.136,,
2007-01-31,2007-01-31,98.3751,,
2007-02-28,2007-02-28,98.5866,,
2007-03-31,2007-03-31,98.769,,
2007-04-30,2007-04-30,98.9224,,
2007-05-31,2007-05-31,99.0426,,
2007-06-30,2007-06-30,99.1164,,
2007-07-31,2007-07-31,99.1373,,
2007-08-31,2007-08-31,99.1127,,
2007-09-30,2007-09-30,99.0596,,
2007-10-31,2007-10-31,98.9858,,
2007-11-30,2007-11-30,98.8837,,
2007-12-31,2007-12-31,98.7513,,
2008-01-31,2008-01-31,98.587,,
2008-02-29,2008-02-29,98.3817,,
2008-03-31,2008-03-31,98.119,,
2008-04-30,2008-04-30,97.7819,,
2008-05-31,2008-05-31,97.3529,,
2008-06-30,2008-06-30,96.8259,,
2008-07-31,2008-07-31,96.211,,
2008-08-31,2008-08-31,95.5212,,
2008-09-30,2008-09-30,94.7673,,
2008-10-31,2008-10-31,93.9882,,
2008-11-30,2008-11-30,93.2672,,
2008-12-31,2008-12-31,92.6958,,
2009-01-31,2009-01-31,92.3411,,
2009-02-28,2009-02-28,92.2241,,
2009-03-31,2009-03-31,92.3545,,
2009-04-30,2009-04-30,92.7118,,
2009-05-31,2009-05-31,93.2398,,
2009-06-30,2009-06-30,93.8662,,
2009-07-31,2009-07-31,94.5275,,
2009-08-31,2009-08-31,95.1744,,
2009-09-30,2009-09-30,95.7691,,
2009-10-31,2009-10-31,96.2748,,
2009-11-30,2009-11-30,96.6758,,
2009-12-31,2009-12-31,96.9723,,
2010-01-31,2010-01-31,97.1849,,
2010-02-28,2010-02-28,97.3382,,
2010-03-31,2010-03-31,97.461,,
2010-04-30,2010-04-30,97.5624,,
2010-05-31,2010-05-31,97.6501,,
2010-06-30,2010-06-30,97.7518,,
2010-07-31,2010-07-31,97.8911,,
2010-08-31,2010-08-31,98.0689,,
2010-09-30,2010-09-30,98.2662,,
2010-10-31,2010-10-31,98.4597,,
2010-11-30,2010-11-30,98.6282,,
2010-12-31,2010-12-31,98.7546,,
2011-01-31,2011-01-31,98.8246,,
2011-02-28,2011-02-28,98.8256,,
2011-03-31,2011-03-31,98.7531,,
2011-04-30,2011-04-30,98.6103,,
2011-05-31,2011-05-31,98.4061,,
2011-06-30,2011-06-30,98.1436,,
2011-07-31,2011-07-31,97.8357,,
2011-08-31,2011-08-31,97.5021,,
2011-09-30,2011-09-30,97.1835,,
2011-10-31,2011-10-31,96.9122,,
2011-11-30,2011-11-30,96.6974,,
2011-12-31,2011-12-31,96.5332,,
2012-01-31,2012-01-31,96.4068,,
2012-02-29,2012-02-29,96.3061,,
2012-03-31,2012-03-31,96.2028,,
2012-04-30,2012-04-30,96.0778,,
2012-05-31,2012-05-31,95.9354,,
2012-06-30,2012-06-30,95.7834,,
2012-07-31,2012-07-31,95.6375,,
2012-08-31,2012-08-31,95.5133,,
2012-09-30,2012-09-30,95.4253,,
2012-10-31,2012-10-31,95.3899,,
2012-11-30,2012-11-30,95.418,,
2012-12-31,2012-12-31,95.5052,,
2013-01-31,2013-01-31,95.64,,
2013-02-28,2013-02-28,95.8029,,
2013-03-31,2013-03-31,95.9763,,
2013-04-30,2013-04-30,96.1629,,
2013-05-31,2013-05-31,96.3762,,
2013-06-30,2013-06-30,96.6195,,
2013-07-31,2013-07-31,96.8895,,
2013-08-31,2013-08-31,97.1802,,
2013-09-30,2013-09-30,97.4696,,
2013-10-31,2013-10-31,97.7359,,
2013-11-30,2013-11-30,97.9771,,
2013-12-31,2013-12-31,98.1914,,
2014-01-31,2014-01-31,98.3839,,
2014-02-28,2014-02-28,98.5442,,
2014-03-31,2014-03-31,98.6694,,
2014-04-30,2014-04-30,98.75,,
2014-05-31,2014-05-31,98.7879,,
2014-06-30,2014-06-30,98.7999,,
2014-07-31,2014-07-31,98.8062,,
2014-08-31,2014-08-31,98.8254,,
2014-09-30,2014-09-30,98.8827,,
2014-10-31,2014-10-31,98.9922,,
2014-11-30,2014-11-30,99.1593,,
2014-12-31,2014-12-31,99.3812,,
2015-01-31,2015-01-31,99.6465,,
2015-02-28,2015-02-28,99.9266,,
2015-03-31,2015-03-31,100.1923,,
2015-04-30,2015-04-30,100.4174,,
2015-05-31,2015-05-31,100.5954,,
2015-06-30,2015-06-30,100.7408,,
2015-07-31,2015-07-31,100.8708,,
2015-08-31,2015-08-31,101.0002,,
2015-09-30,2015-09-30,101.137,,
2015-10-31,2015-10-31,101.2758,,
2015-11-30,2015-11-30,101.4067,,
2015-12-31,2015-12-31,101.5214,,
2016-01-31,2016-01-31,101.6185,,
2016-02-29,2016-02-29,101.6997,,
2016-03-31,2016-03-31,101.7748,,
2016-04-30,2016-04-30,101.8478,,
2016-05-31,2016-05-31,101.921,,
2016-06-30,2016-06-30,102.0102,,
2016-07-31,2016-07-31,102.1262,,
2016-08-31,2016-08-31,102.2819,,
2016-09-30,2016-09-30,102.4851,,
2016-10-31,2016-10-31,102.7286,,
2016-11-30,2016-11-30,102.999,,
