Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,0.9221,,
2003-07-31,2003-07-31,1.2211,,
2003-08-31,2003-08-31,1.5879,,
2003-09-30,2003-09-30,1.9857,,
2003-10-31,2003-10-31,2.3801,,
2003-11-30,2003-11-30,2.7392,,
2003-12-31,2003-12-31,3.0478,,
2004-01-31,2004-01-31,3.2973,,
2004-02-29,2004-02-29,3.4973,,
2004-03-31,2004-03-31,3.631,,
2004-04-30,2004-04-30,3.6776,,
2004-05-31,2004-05-31,3.6385,,
2004-06-30,2004-06-30,3.5203,,
2004-07-31,2004-07-31,3.3413,,
2004-08-31,2004-08-31,3.1208,,
2004-09-30,2004-09-30,2.8823,,
2004-10-31,2004-10-31,2.6426,,
2004-11-30,2004-11-30,2.4177,,
2004-12-31,2004-12-31,2.2206,,
2005-01-31,2005-01-31,2.0483,,
2005-02-28,2005-02-28,1.8863,,
2005-03-31,2005-03-31,1.741,,
2005-04-30,2005-04-30,1.6237,,
2005-05-31,2005-05-31,1.5545,,
2005-06-30,2005-06-30,1.5519,,
2005-07-31,2005-07-31,1.6157,,
2005-08-31,2005-08-31,1.7343,,
2005-09-30,2005-09-30,1.8931,,
2005-10-31,2005-10-31,2.0854,,
2005-11-30,2005-11-30,2.3127,,
2005-12-31,2005-12-31,2.5722,,
2006-01-31,2006-01-31,2.8463,,
2006-02-28,2006-02-28,3.113,,
2006-03-31,2006-03-31,3.3505,,
2006-04-30,2006-04-30,3.5429,,
2006-05-31,2006-05-31,3.668,,
2006-06-30,2006-06-30,3.7212,,
2006-07-31,2006-07-31,3.7171,,
2006-08-31,2006-08-31,3.6791,,
2006-09-30,2006-09-30,3.6176,,
2006-10-31,2006-10-31,3.5437,,
2006-11-30,2006-11-30,3.455,,
2006-12-31,2006-12-31,3.346,,
2007-01-31,2007-01-31,3.221,,
2007-02-28,2007-02-28,3.0945,,
2007-03-31,2007-03-31,2.9737,,
2007-04-30,2007-04-30,2.8557,,
2007-05-31,2007-05-31,2.7349,,
2007-06-30,2007-06-30,2.5813,,
2007-07-31,2007-07-31,2.3708,,
2007-08-31,2007-08-31,2.097,,
2007-09-30,2007-09-30,1.7772,,
2007-10-31,2007-10-31,1.4223,,
2007-11-30,2007-11-30,1.0342,,
2007-12-31,2007-12-31,0.627,,
2008-01-31,2008-01-31,0.2154,,
2008-02-29,2008-02-29,-0.2078,,
2008-03-31,2008-03-31,-0.658,,
2008-04-30,2008-04-30,-1.1529,,
2008-05-31,2008-05-31,-1.706,,
2008-06-30,2008-06-30,-2.3109,,
2008-07-31,2008-07-31,-2.9517,,
2008-08-31,2008-08-31,-3.6237,,
2008-09-30,2008-09-30,-4.333,,
2008-10-31,2008-10-31,-5.0488,,
2008-11-30,2008-11-30,-5.6799,,
2008-12-31,2008-12-31,-6.1321,,
2009-01-31,2009-01-31,-6.3354,,
2009-02-28,2009-02-28,-6.2589,,
2009-03-31,2009-03-31,-5.875,,
2009-04-30,2009-04-30,-5.1851,,
2009-05-31,2009-05-31,-4.2249,,
2009-06-30,2009-06-30,-3.0567,,
2009-07-31,2009-07-31,-1.7499,,
2009-08-31,2009-08-31,-0.363,,
2009-09-30,2009-09-30,1.0571,,
2009-10-31,2009-10-31,2.4329,,
2009-11-30,2009-11-30,3.6547,,
2009-12-31,2009-12-31,4.6135,,
2010-01-31,2010-01-31,5.2455,,
2010-02-28,2010-02-28,5.5452,,
2010-03-31,2010-03-31,5.5292,,
2010-04-30,2010-04-30,5.2319,,
2010-05-31,2010-05-31,4.73,,
2010-06-30,2010-06-30,4.1395,,
2010-07-31,2010-07-31,3.5584,,
2010-08-31,2010-08-31,3.0412,,
2010-09-30,2010-09-30,2.6073,,
2010-10-31,2010-10-31,2.2694,,
2010-11-30,2010-11-30,2.0195,,
2010-12-31,2010-12-31,1.8379,,
2011-01-31,2011-01-31,1.6872,,
2011-02-28,2011-02-28,1.528,,
2011-03-31,2011-03-31,1.3258,,
2011-04-30,2011-04-30,1.0741,,
2011-05-31,2011-05-31,0.7742,,
2011-06-30,2011-06-30,0.4008,,
2011-07-31,2011-07-31,-0.0566,,
2011-08-31,2011-08-31,-0.5779,,
2011-09-30,2011-09-30,-1.1018,,
2011-10-31,2011-10-31,-1.5717,,
2011-11-30,2011-11-30,-1.9577,,
2011-12-31,2011-12-31,-2.2494,,
2012-01-31,2012-01-31,-2.4466,,
2012-02-29,2012-02-29,-2.5494,,
2012-03-31,2012-03-31,-2.5825,,
2012-04-30,2012-04-30,-2.5682,,
2012-05-31,2012-05-31,-2.5108,,
2012-06-30,2012-06-30,-2.4048,,
2012-07-31,2012-07-31,-2.2468,,
2012-08-31,2012-08-31,-2.0397,,
2012-09-30,2012-09-30,-1.8091,,
2012-10-31,2012-10-31,-1.5708,,
2012-11-30,2012-11-30,-1.3231,,
