Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,-31.47,,
2003-09-30,2003-09-30,-27.66,,
2003-12-31,2003-12-31,-18.22,,
2004-03-31,2004-03-31,2.63,,
2004-06-30,2004-06-30,-18.94,,
2004-09-30,2004-09-30,-4.41,,
2004-12-31,2004-12-31,-11.65,,
2005-03-31,2005-03-31,-8.51,,
2005-06-30,2005-06-30,-2.12,,
2005-09-30,2005-09-30,-5.59,,
2005-12-31,2005-12-31,16.98,,
2006-03-31,2006-03-31,28.19,,
2006-06-30,2006-06-30,19.4,,
2006-09-30,2006-09-30,24.84,,
2006-12-31,2006-12-31,17.49,,
2007-03-31,2007-03-31,24.69,,
2007-06-30,2007-06-30,14.89,,
2007-09-30,2007-09-30,15.45,,
2007-12-31,2007-12-31,1.21,,
2008-03-31,2008-03-31,1.42,,
2008-06-30,2008-06-30,-16.03,,
2008-09-30,2008-09-30,-12.76,,
2008-12-31,2008-12-31,-20.98,,
2009-03-31,2009-03-31,-40.82,,
2009-06-30,2009-06-30,-34.55,,
2009-09-30,2009-09-30,-33.48,,
2009-12-31,2009-12-31,-22.17,,
2010-03-31,2010-03-31,-8.95,,
2010-06-30,2010-06-30,-12.86,,
2010-09-30,2010-09-30,-0.37,,
2010-12-31,2010-12-31,6.42,,
2011-03-31,2011-03-31,11.16,,
2011-06-30,2011-06-30,20.04,,
2011-09-30,2011-09-30,6.73,,
2011-12-31,2011-12-31,-5.35,,
2012-03-31,2012-03-31,-5.34,,
2012-06-30,2012-06-30,-32.59,,
2012-09-30,2012-09-30,-30.12,,
2012-12-31,2012-12-31,-29.02,,
2013-03-31,2013-03-31,-30.68,,
2013-06-30,2013-06-30,-26.64,,
2013-09-30,2013-09-30,-21.42,,
2013-12-31,2013-12-31,-12.84,,
2014-03-31,2014-03-31,-8.24,,
2014-06-30,2014-06-30,2.65,,
2014-09-30,2014-09-30,5.16,,
2014-12-31,2014-12-31,5.83,,
2015-03-31,2015-03-31,19.44,,
2015-06-30,2015-06-30,0.63,,
2015-09-30,2015-09-30,11.89,,
2015-12-31,2015-12-31,15.19,,
2016-03-31,2016-03-31,27.04,,
2016-06-30,2016-06-30,17.1,,
2016-09-30,2016-09-30,17.57,,
2016-12-31,2016-12-31,11.69,,
2017-03-31,2017-03-31,17.51,,
2017-06-30,2017-06-30,5.98,,
2017-09-30,2017-09-30,14.54,,
2017-12-31,2017-12-31,15.19,,
2018-03-31,2018-03-31,21.43,,
2018-06-30,2018-06-30,14.98,,
2018-09-30,2018-09-30,15.75,,
2018-12-31,2018-12-31,11.54,,
2019-03-31,2019-03-31,9.17,,
2019-06-30,2019-06-30,0.32,,
2019-09-30,2019-09-30,5.8,,
2019-12-31,2019-12-31,1.43,,
2020-03-31,2020-03-31,-8.01,,
2020-06-30,2020-06-30,26.03,,
2020-09-30,2020-09-30,62.16,,
2020-12-31,2020-12-31,-3.92,,
2021-03-31,2021-03-31,-12.42,,
2021-06-30,2021-06-30,-19.67,,
2021-09-30,2021-09-30,8.19,,
2021-12-31,2021-12-31,1.58,,
2022-03-31,2022-03-31,18.31,,
2022-06-30,2022-06-30,16.57,,
2022-09-30,2022-09-30,11.74,,
2022-12-31,2022-12-31,12.53,,
2023-03-31,2023-03-31,-11.43,,
2023-06-30,2023-06-30,-37.91,,
2023-09-30,2023-09-30,-42.26,,
2023-12-31,2023-12-31,-36.28,,
2024-03-31,2024-03-31,-19.59,,
2024-06-30,2024-06-30,-27.77,,
2024-09-30,2024-09-30,-6.85,,
2024-12-31,2024-12-31,3.79,,
2025-03-31,2025-03-31,2.8,,
