Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,46.3,,
2003-09-30,2003-09-30,27.54,,
2003-12-31,2003-12-31,22.8,,
2004-03-31,2004-03-31,14.97,,
2004-06-30,2004-06-30,13.42,,
2004-09-30,2004-09-30,0.24,,
2004-12-31,2004-12-31,-2.7,,
2005-03-31,2005-03-31,-1.88,,
2005-06-30,2005-06-30,-9.97,,
2005-09-30,2005-09-30,-16.33,,
2005-12-31,2005-12-31,2.1,,
2006-03-31,2006-03-31,-3.77,,
2006-06-30,2006-06-30,-8.75,,
2006-09-30,2006-09-30,-0.31,,
2006-12-31,2006-12-31,0.72,,
2007-03-31,2007-03-31,0.31,,
2007-06-30,2007-06-30,-4.28,,
2007-09-30,2007-09-30,-2.55,,
2007-12-31,2007-12-31,30.76,,
2008-03-31,2008-03-31,39.61,,
2008-06-30,2008-06-30,48.99,,
2008-09-30,2008-09-30,43.16,,
2008-12-31,2008-12-31,65.06,,
2009-03-31,2009-03-31,64.35,,
2009-06-30,2009-06-30,43.62,,
2009-09-30,2009-09-30,20.88,,
2009-12-31,2009-12-31,8.23,,
2010-03-31,2010-03-31,3.41,,
2010-06-30,2010-06-30,3.5,,
2010-09-30,2010-09-30,11.0,,
2010-12-31,2010-12-31,3.9,,
2011-03-31,2011-03-31,-0.03,,
2011-06-30,2011-06-30,3.76,,
2011-09-30,2011-09-30,2.36,,
2011-12-31,2011-12-31,16.12,,
2012-03-31,2012-03-31,34.78,,
2012-06-30,2012-06-30,9.46,,
2012-09-30,2012-09-30,9.76,,
2012-12-31,2012-12-31,14.59,,
2013-03-31,2013-03-31,12.89,,
2013-06-30,2013-06-30,7.34,,
2013-09-30,2013-09-30,5.99,,
2013-12-31,2013-12-31,4.58,,
2014-03-31,2014-03-31,2.21,,
2014-06-30,2014-06-30,0.51,,
2014-09-30,2014-09-30,-3.97,,
2014-12-31,2014-12-31,-2.47,,
2015-03-31,2015-03-31,-5.13,,
2015-06-30,2015-06-30,-9.08,,
2015-09-30,2015-09-30,-4.22,,
2015-12-31,2015-12-31,-3.21,,
2016-03-31,2016-03-31,-3.48,,
2016-06-30,2016-06-30,-4.75,,
2016-09-30,2016-09-30,-5.2,,
2016-12-31,2016-12-31,0.1,,
2017-03-31,2017-03-31,1.88,,
2017-06-30,2017-06-30,-1.66,,
2017-09-30,2017-09-30,-3.37,,
2017-12-31,2017-12-31,-1.07,,
2018-03-31,2018-03-31,-0.39,,
2018-06-30,2018-06-30,-5.32,,
2018-09-30,2018-09-30,-3.38,,
2018-12-31,2018-12-31,-4.76,,
2019-03-31,2019-03-31,0.16,,
2019-06-30,2019-06-30,-1.66,,
2019-09-30,2019-09-30,5.82,,
2019-12-31,2019-12-31,0.14,,
2020-03-31,2020-03-31,3.22,,
2020-06-30,2020-06-30,4.85,,
2020-09-30,2020-09-30,-5.25,,
2020-12-31,2020-12-31,14.48,,
2021-03-31,2021-03-31,13.08,,
2021-06-30,2021-06-30,6.53,,
2021-09-30,2021-09-30,-1.0,,
2021-12-31,2021-12-31,0.98,,
2022-03-31,2022-03-31,1.55,,
2022-06-30,2022-06-30,6.48,,
2022-09-30,2022-09-30,15.6,,
2022-12-31,2022-12-31,19.39,,
2023-03-31,2023-03-31,25.96,,
2023-06-30,2023-06-30,27.22,,
2023-09-30,2023-09-30,14.15,,
2023-12-31,2023-12-31,11.73,,
2024-03-31,2024-03-31,4.41,,
2024-06-30,2024-06-30,3.28,,
2024-09-30,2024-09-30,2.54,,
2024-12-31,2024-12-31,0.13,,
2025-03-31,2025-03-31,7.05,,
