Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-08-04,1.4,1.4,1.43
2003-07-31,2003-09-02,1.3,1.5,1.52
2003-08-31,2003-10-02,1.4,1.4,1.36
2003-09-30,2003-10-31,1.1,1.1,1.15
2003-10-31,2003-12-02,0.9,0.9,0.93
2003-11-30,2004-01-08,1.4,1.3,1.31
2003-12-31,2004-02-03,1.0,1.1,1.05
2004-01-31,2004-03-03,0.3,0.1,0.1
2004-02-29,2004-04-02,0.0,0.0,0.02
2004-03-31,2004-05-04,0.4,0.4,0.35
2004-04-30,2004-06-02,1.4,1.3,1.33
2004-05-31,2004-07-02,2.4,2.2,2.2
2004-06-30,2004-08-03,2.4,2.4,2.38
2004-07-31,2004-09-02,2.8,2.8,2.77
2004-08-31,2004-10-04,3.1,3.0,2.98
2004-09-30,2004-11-04,3.4,3.3,3.31
2004-10-31,2004-12-02,4.0,4.0,3.91
2004-11-30,2005-01-06,3.6,3.6,3.58
2004-12-31,2005-02-02,3.6,3.6,3.57
2005-01-31,2005-03-02,3.9,3.8,3.79
2005-02-28,2005-04-04,4.2,4.1,4.06
2005-03-31,2005-05-03,4.2,4.2,4.16
2005-04-30,2005-06-02,4.2,4.2,4.2
2005-05-31,2005-07-04,3.5,3.5,3.53
2005-06-30,2005-08-02,4.0,3.9,3.89
2005-07-31,2005-09-02,4.0,4.0,3.99
2005-08-31,2005-10-04,4.0,4.0,3.96
2005-09-30,2005-11-04,4.4,4.3,4.33
2005-10-31,2005-12-02,4.1,3.9,3.94
2005-11-30,2006-01-05,4.2,4.1,4.16
2005-12-31,2006-02-02,4.6,4.6,4.53
2006-01-31,2006-03-02,5.3,4.8,4.79
2006-02-28,2006-04-04,5.4,5.4,5.39
2006-03-31,2006-05-03,5.1,5.1,5.12
2006-04-30,2006-06-02,5.4,5.3,5.3
2006-05-31,2006-07-04,6.0,6.0,6.0
2006-06-30,2006-08-02,5.8,5.7,5.72
2006-07-31,2006-09-04,5.9,5.8,5.83
2006-08-31,2006-10-03,5.7,5.7,5.69
2006-09-30,2006-11-06,4.6,4.6,4.68
2006-10-31,2006-12-04,4.0,4.1,4.06
2006-11-30,2007-01-05,4.3,4.3,4.31
2006-12-31,2007-02-02,4.1,4.1,4.1
2007-01-31,2007-03-02,2.9,3.1,3.16
2007-02-28,2007-04-03,2.9,2.75,2.78
2007-03-31,2007-05-03,2.7,2.8,2.8
2007-04-30,2007-06-04,2.4,2.3,2.24
2007-05-31,2007-07-03,2.3,2.4,2.37
2007-06-30,2007-08-02,2.3,2.3,2.29
2007-07-31,2007-09-04,1.8,1.7,1.7
2007-08-31,2007-10-02,1.7,1.8,1.76
2007-09-30,2007-11-06,2.7,2.6,2.59
2007-10-31,2007-12-04,3.3,3.0,3.01
2007-11-30,2008-01-07,4.1,4.0,3.99
2007-12-31,2008-02-04,4.3,4.3,4.3
2008-01-31,2008-03-04,4.9,4.9,4.84
2008-02-29,2008-04-02,5.3,5.2,5.2
2008-03-31,2008-05-06,5.7,5.6,5.64
2008-04-30,2008-06-03,6.1,6.1,6.04
2008-05-31,2008-07-02,7.1,6.7,6.7
2008-06-30,2008-08-04,8.0,7.9,7.85
2008-07-31,2008-09-02,9.0,9.1,9.01
2008-08-31,2008-10-02,8.5,8.4,8.51
2008-09-30,2008-11-04,7.9,8.0,8.04
2008-10-31,2008-12-02,6.3,6.95,6.89
2008-11-30,2009-01-07,3.3,4.4,4.22
2008-12-31,2009-02-03,1.8,2.05,1.88
2009-01-31,2009-03-12,-0.5,0.5,0.49
2009-02-28,2009-04-06,-1.8,-1.5,-1.43
2009-03-31,2009-05-05,-3.1,-2.9,-2.88
2009-04-30,2009-06-03,-4.6,-4.5,-4.51
2009-05-31,2009-07-02,-5.8,-5.6,-5.61
2009-06-30,2009-08-04,-6.6,-6.6,-6.6
2009-07-31,2009-09-02,-8.5,-8.4,-8.19
2009-08-31,2009-10-02,-7.5,-7.6,-7.64
2009-09-30,2009-11-04,-7.7,-7.7,-7.68
2009-10-31,2009-12-02,-6.7,-6.8,-6.84
2009-11-30,2010-01-06,-4.4,-4.5,-4.55
2009-12-31,2010-02-02,-2.9,-3.0,-3.11
2010-01-31,2010-03-02,-1.0,-1.1,-1.12
2010-02-28,2010-04-07,-0.5,-0.4,-0.31
2010-03-31,2010-05-04,0.9,0.9,0.86
2010-04-30,2010-06-02,2.8,2.6,2.43
2010-05-31,2010-07-02,3.1,3.1,2.87
2010-06-30,2010-08-03,3.0,3.1,3.13
2010-07-31,2010-09-02,4.0,3.95,3.81
2010-08-31,2010-10-04,3.6,3.6,3.49
2010-09-30,2010-11-04,4.2,4.2,4.21
2010-10-31,2010-12-02,4.4,4.3,4.24
2010-11-30,2011-01-05,4.5,4.4,4.36
2010-12-31,2011-02-02,5.3,5.2,5.18
2011-01-31,2011-03-02,6.1,5.65,5.59
2011-02-28,2011-04-04,6.6,6.7,6.74
2011-03-31,2011-05-03,6.7,6.6,6.72
2011-04-30,2011-06-06,6.7,6.6,6.51
2011-05-31,2011-07-04,6.2,6.3,6.3
2011-06-30,2011-08-02,5.9,5.9,5.88
2011-07-31,2011-09-02,6.1,6.1,6.12
2011-08-31,2011-10-04,5.9,5.8,5.86
2011-09-30,2011-11-04,5.8,5.8,5.47
2011-10-31,2011-12-02,5.5,5.6,5.52
2011-11-30,2012-01-05,5.3,5.2,5.16
2011-12-31,2012-02-02,4.3,4.3,4.35
2012-01-31,2012-03-02,3.7,3.5,3.57
2012-02-29,2012-04-03,3.6,3.5,3.51
2012-03-31,2012-05-03,3.3,3.4,3.42
2012-04-30,2012-06-04,2.6,2.7,2.68
2012-05-31,2012-07-03,2.3,2.5,2.53
2012-06-30,2012-08-02,1.8,1.9,1.94
2012-07-31,2012-09-04,1.8,1.6,1.62
2012-08-31,2012-10-02,2.7,2.6,2.54
2012-09-30,2012-11-06,2.7,2.6,2.43
2012-10-31,2012-12-04,2.6,2.5,2.49
2012-11-30,2013-01-07,2.1,2.4,2.28
2012-12-31,2013-02-04,2.1,2.1,2.14
2013-01-31,2013-03-04,1.9,1.85,1.78
2013-02-28,2013-04-04,1.3,1.4,1.42
2013-03-31,2013-05-03,0.7,0.6,0.68
2013-04-30,2013-06-04,-0.2,0.2,0.07
2013-05-31,2013-07-02,-0.1,0.0,0.02
2013-06-30,2013-08-02,0.3,0.3,0.18
2013-07-31,2013-09-03,0.2,0.1,0.13
