Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-07-11,0.5,,
2003-08-31,2003-09-11,-5.4,,
2003-09-30,2003-10-14,6.3,,
2003-10-31,2003-11-14,0.0,,
2003-11-30,2003-12-11,-1.0,,
2003-12-31,2004-01-15,-3.7,,
2004-01-31,2004-02-12,-2.9,,
2004-02-29,2004-03-11,1.8,,
2004-03-31,2004-04-15,6.6,,
2004-04-30,2004-05-13,5.3,,
2004-05-31,2004-06-15,2.0,,
2004-06-30,2004-07-13,6.7,,
2004-07-31,2004-09-14,-5.2,,
2004-08-31,2004-09-14,-0.9,,
2004-09-30,2004-10-13,-0.5,,
2004-10-31,2004-11-16,-3.1,,
2004-11-30,2004-12-14,10.6,,
2004-12-31,2005-01-14,9.4,,
2005-01-31,2005-02-16,1.3,,
2005-02-28,2005-03-16,-2.3,-1.6,-0.6
2005-03-31,2005-04-13,-3.0,-3.2,-2.4
2005-04-30,2005-05-13,2.1,2.0,2.1
2005-05-31,2005-06-15,-1.3,-1.3,-0.7
2005-06-30,2005-07-13,6.8,,
2005-08-31,2005-09-14,9.6,,
2005-09-30,2005-10-13,4.4,4.2,4.2
2005-10-31,2005-11-16,-1.4,,
2005-11-30,2005-12-14,-2.0,,
2005-12-31,2006-01-16,-5.9,,
2006-01-31,2006-02-16,6.1,,
2006-02-28,2006-03-16,2.7,,
2006-03-31,2006-04-14,6.4,5.8,5.6
2006-04-30,2006-05-16,-7.3,,
2006-11-30,,3.9,,
2006-12-31,,-0.3,,
