Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2003-06-30,2003-06-30,1.01,,
2003-09-30,2003-09-30,0.0,,
2003-12-31,2003-12-31,13.3,,
2004-03-31,2004-03-31,15.68,,
2004-06-30,2004-06-30,7.88,,
2004-09-30,2004-09-30,13.98,,
2004-12-31,2004-12-31,20.05,,
2005-03-31,2005-03-31,18.18,,
2005-06-30,2005-06-30,17.21,,
2005-09-30,2005-09-30,13.73,,
2005-12-31,2005-12-31,23.87,,
2006-03-31,2006-03-31,27.0,,
2006-06-30,2006-06-30,40.0,,
2006-09-30,2006-09-30,32.97,,
2006-12-31,2006-12-31,33.75,,
2007-03-31,2007-03-31,21.66,,
2007-06-30,2007-06-30,24.68,,
2007-09-30,2007-09-30,18.24,,
2007-12-31,2007-12-31,-1.07,,
2008-03-31,2008-03-31,-21.97,,
2008-06-30,2008-06-30,-12.81,,
2008-09-30,2008-09-30,-26.77,,
2008-12-31,2008-12-31,-31.28,,
2009-03-31,2009-03-31,-34.78,,
2009-06-30,2009-06-30,-21.88,,
2009-09-30,2009-09-30,-9.7,,
2009-12-31,2009-12-31,4.19,,
2010-03-31,2010-03-31,-5.0,,
2010-06-30,2010-06-30,1.95,,
2010-09-30,2010-09-30,-6.84,,
2010-12-31,2010-12-31,8.01,,
2011-03-31,2011-03-31,5.5,,
2011-06-30,2011-06-30,4.21,,
2011-09-30,2011-09-30,-3.85,,
2011-12-31,2011-12-31,-13.85,,
2012-03-31,2012-03-31,-23.25,,
2012-06-30,2012-06-30,-3.29,,
2012-09-30,2012-09-30,-7.3,,
2012-12-31,2012-12-31,-9.29,,
2013-03-31,2013-03-31,-19.19,,
2013-06-30,2013-06-30,-8.65,,
2013-09-30,2013-09-30,-0.7,,
2013-12-31,2013-12-31,4.38,,
2014-03-31,2014-03-31,10.11,,
2014-06-30,2014-06-30,16.08,,
2014-09-30,2014-09-30,15.84,,
2014-12-31,2014-12-31,17.98,,
2015-03-31,2015-03-31,21.57,,
2015-06-30,2015-06-30,32.27,,
2015-09-30,2015-09-30,21.2,,
2015-12-31,2015-12-31,25.46,,
2016-03-31,2016-03-31,24.11,,
2016-06-30,2016-06-30,26.21,,
2016-09-30,2016-09-30,20.22,,
2016-12-31,2016-12-31,23.42,,
2017-03-31,2017-03-31,15.65,,
2017-06-30,2017-06-30,13.69,,
2017-09-30,2017-09-30,17.13,,
2017-12-31,2017-12-31,15.74,,
2018-03-31,2018-03-31,23.85,,
2018-06-30,2018-06-30,22.27,,
2018-09-30,2018-09-30,15.65,,
2018-12-31,2018-12-31,15.22,,
2019-03-31,2019-03-31,18.0,,
2019-06-30,2019-06-30,11.0,,
2019-09-30,2019-09-30,10.85,,
2019-12-31,2019-12-31,13.59,,
2020-03-31,2020-03-31,14.62,,
2020-06-30,2020-06-30,-29.77,,
2020-09-30,2020-09-30,29.88,,
2020-12-31,2020-12-31,2.78,,
2021-03-31,2021-03-31,3.72,,
2021-06-30,2021-06-30,12.63,,
2021-09-30,2021-09-30,31.05,,
2021-12-31,2021-12-31,11.75,,
2022-03-31,2022-03-31,12.39,,
2022-06-30,2022-06-30,0.57,,
2022-09-30,2022-09-30,0.89,,
2022-12-31,2022-12-31,-16.89,,
2023-03-31,2023-03-31,-19.67,,
2023-06-30,2023-06-30,-16.14,,
2023-09-30,2023-09-30,-7.66,,
2023-12-31,2023-12-31,-7.33,,
2024-03-31,2024-03-31,-5.95,,
2024-06-30,2024-06-30,5.59,,
2024-09-30,2024-09-30,6.6,,
2024-12-31,2024-12-31,10.97,,
2025-03-31,2025-03-31,12.08,,
